user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
이율,1,2019년 12월 21일,2019년 12월 23일,"아 열받네 진짜,,, 이게 뭐지,,, 다른 어플과 다르게 까다롭지않아 하고있는데 사진 어깨보인다고 노출이라고 일주일 차단정지 때리고 아무것도 안해도 누가 신고하면 차단정지 때리고 문의 넣으래서 넣어도 답변 및 개선도 안오고 똑같은 말만 복사 붙여넣기 하고 차단정지 먹어서 짱나서 안들어가고 있는데 마치 놀리듯 매칭이 남아있습니다 이딴거, 날아와서 클릭하면 역시나 차단 뭐 어쩌라는거요??",answer
닭다리날아라,1,2019년 12월 21일,2019년 12월 23일,매칭할때 드는 보석수도 전보다 늘었는것같기도 하구 그리고 연결되서 5초도 안지났는데 떠나버리면 보석차감은 안되도록 해줄수는 없나요?. 무슨 카메라 돌리는 기능도 vip로 막아버리고... 돈독올랐나,answer
윤지수,2,2019년 12월 15일,2019년 12월 16일,무료체험만 동의했는데 무료체험기간이 자나자 동의없이 결제가 되었어요. 결제이후로 이용한적도 없어요. 구글플레이에 환불요청만 7번했는데 환불사유는 읽지도 않고 거부하는 것 같네요. 따로 환불신청링크가 있으면 알려주세요.,answer
yan Le,1,2019년 12월 6일,2019년 12월 9일,"뭐죠 이게??? 아니 진짜..ㅋ 깔지도 않은 어플로 갑자기 문자와서는 인증코드오고 뭐에요. 조치좀 취해주시죠?? 관리 제대로 하시는거 맞아요?? 짜증나네 진짜 누가 제 번호로 인증했는지 빨리 알아봐주시죠. 전 가입한적이 없는데, 리뷰를 쓸수가 없어서 일단 깔고 리뷰쓰는겁니다.",answer
BJ킹호맨20살,5,2019년 12월 28일,no_answer,아자르운영자 믿지마세요 정지엄청심해요,no_answer
Jehyeon Yoon,5,2019년 12월 28일,no_answer,이거 좋타 화상채팅하면서 동시통역도 되고 어플대박 ㅋ,no_answer
Seon Il,1,2019년 12월 27일,no_answer,Vip회원 탈퇴하고싶은데 안돼네요 좀 어떻게좀 해주세요,no_answer
김유수,1,2019년 12월 27일,2019년 12월 27일,우씨 !! 아니 노출도 안했는데 불꺼죠있는데 무슨노출을했다는 소리입니까 정지풀어주세요,answer
담배한갑술한병,1,2019년 12월 27일,2019년 12월 27일,먼저 상대방이 장난으로 노출유도하고 장난치면서 웃통 깠는데 난 신고당하고 정지당하는데 상대방은 보석타먹는 꽃뱀 양산 어플 보석 사주는 고객대우잘해라 운영진들아 밥주는사람 을 잘해줘야된다,answer
땡땡채널,1,2019년 12월 26일,2019년 12월 27일,구독 무료체험인데 결제가 되었습니다. 환불해 주세요.,answer
김태헌,4,2019년 12월 26일,2019년 12월 27일,이거 문자인증 국가선택에 한국밖에 없는데 어떻게 미국으로 바꿀 수 있나요?,answer
그놈,1,2019년 12월 24일,2019년 12월 27일,근데 신고하면 뭘로 확인하고 정지하는거지? 통화하는게 녹화되서 녹화된거를 관리자가보고? 아님 프로그램이 자동으로분석? 판단해서 정지할지말지 판단하는건지~ 그게아니라면 그냥 신고하면 프로그램이 그냥 정지 때린다는 얘기잖아~ 둘중에 뭐에요? 궁굼해서,answer
미처,1,2019년 12월 24일,2019년 12월 27일,아니 상대방이 신고하면 확인은 하는거에요? 아무짓도안했는데 신고접수경고 그리고 신고접수후 몇초만에 한달정지~뭐지? 어떤 근거로 정지를하는거지?,answer
눈설,3,2019년 12월 22일,2019년 12월 23일,친구는 관심있는사람 눌르는거? 생겼다는데 저는 왜 없나여...ㅠ,answer
놈우큰,1,2019년 12월 22일,2019년 12월 23일,최악임,answer
밍밍,4,2019년 12월 22일,2019년 12월 23일,친구가 된 사람끼리 톡도 전화도 아무것도 안되고 상대방이 내가 보낸 매세지를 읽었는지도 안뜸 좀 수정 좀 해주세요 메세지 읽음 표시 또 친구끼리의 영상통화 이런거 좀 잘 해주세요 아무것도 안되면 왜 친구함..?아 그리고 상대가 날 차단했는지 앙했는지 그건 어떻게보나요?,answer
이율,1,2019년 12월 21일,2019년 12월 23일,"아 열받네 진짜,,, 이게 뭐지,,, 다른 어플과 다르게 까다롭지않아 하고있는데 사진 어깨보인다고 노출이라고 일주일 차단정지 때리고 아무것도 안해도 누가 신고하면 차단정지 때리고 문의 넣으래서 넣어도 답변 및 개선도 안오고 똑같은 말만 복사 붙여넣기 하고 차단정지 먹어서 짱나서 안들어가고 있는데 마치 놀리듯 매칭이 남아있습니다 이딴거, 날아와서 클릭하면 역시나 차단 뭐 어쩌라는거요??",answer
닭다리날아라,1,2019년 12월 21일,2019년 12월 23일,매칭할때 드는 보석수도 전보다 늘었는것같기도 하구 그리고 연결되서 5초도 안지났는데 떠나버리면 보석차감은 안되도록 해줄수는 없나요?. 무슨 카메라 돌리는 기능도 vip로 막아버리고... 돈독올랐나,answer
캉테에,1,2019년 12월 21일,2019년 12월 23일,아니 이전에 컴플레인했는데 정말 황당한 답장을 하시더라구요 문명 7일간 무료에 저는 하루도 사용하지않고 도중에 취소했는데 갑자기 다음날 자동결제가 되었습니다. 이에대해 답변을 요청하니 자꾸 이상한 답변이오고 확인한다는 말로만으로 끝내고 연락을 안주시네요. 17000원 도대체 왜 가져가신건가요? 분명 7일 !!!간 무료 도중에 취소하면 결제되는 금액은 없다고 기재가 되어있었는데 참 어이가 없습니다 이제 포기했습니다 ㅋㅋㅋ,answer
문해빈,4,2019년 12월 20일,2019년 12월 23일,가끔씩 이상한 사람들이 있지만 그래도 재미있어요!!,answer
휴윰송,3,2019년 12월 20일,2019년 12월 20일,아지르 보호모드가 뭔가요ㅡ?,answer
우림,1,2019년 12월 20일,2019년 12월 20일,ㅇㅏ니친구랑 통화하는거 1시간에 1번 무료로 바뀌었네 ..어지간하네요..,answer
오민재,1,2019년 12월 19일,2019년 12월 19일,상의탈의 신고먹었는데 상탈한적이없는데ㅡㅡ 잘보고 정지먹여야할꺼아냐,answer
음몰라,1,2019년 12월 18일,2019년 12월 19일,환불요청이요,answer
현우김,1,2019년 12월 18일,2019년 12월 19일,진짜 알수없는 이유로 정지만 몇번째입니까 허위신고로 정지5번째 그냥 본사찾아감 진짜 일을 왜이따위로하지,answer
백화,1,2019년 12월 18일,2019년 12월 19일,내 돈 내놔 결제된거 후덜덜이네,answer
김종이,1,2019년 12월 18일,2019년 12월 19일,이거 문자인증 돈 얼마나 드는거에요??,answer
송연이,2,2019년 12월 18일,2019년 12월 19일,남자가 성별 여자로 해 가지고 지금 이거 보석 지금 다 날라갔는데 근데 이거 보상 되나요 뭐 신고해도 아무것도 없고 지금 뭐 이거 그냥 돈만 쓰고 날리고 뭐 하는 건지 모르겠는데,answer
희원,1,2019년 12월 18일,2019년 12월 18일,이번에 업데이트 된 유료 서비스를 결제한 적이 없는데 지금 사용이 가능하다고 뜨는데 오류인가요 ? ? ?,answer
속속속현지,1,2019년 12월 17일,2019년 12월 17일,아 진짜 아파가꼬 집에서 누워만있다 할꺼없어서 깔았는데 변태밖에 없어요ㅜㅜㅜㅠ 아 내눈 보석없으면 일반인 못찾나요,answer
