user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
조수정,1,2019년 11월 2일,2019년 11월 5일,항공권 예약할때랑 결제할때 가격이 달라짐. 고객센터에 문의하니 실시간 좌석 때문에 그럴 수 있다는 말만 무한반복. 나는 그 가격에 그 결제시한까지 예약할 수 있다고해서 예약한건데 사기 아님? 그러면서 불만이면 취소하고 다른 예약하란식으로 말해서 진짜 기분 나쁨. 그럴거면 결제시한을 적게해서 그 가격에 확실히 예약하게 하던가. 나중에 뒷통수 때리는것도 아니고. 예약내역에 써놓기라도 하던가. 그럼 바로 결제했지... 결제 안하고 취소하는 사람 있을까봐 오버부킹하는거 같은데 시정할 필요있다고 본다.,answer
최재훈,4,2020년 1월 5일,no_answer,원화로 계산되고 네이버페이로 결제할 수 있는 편리함 때문에 이번 여행에서 이 앱만 사용하고 있습니다. 그런데 가입축하쿠폰은 무슨 기준으로 적용가능하고 적용안되는지 모르겠어요. 처음에 가입하고 적용시키려고 고생했던 기억이 나네요. 이 점은 아쉽긴 합니다.,no_answer
Moom,4,2019년 12월 9일,2019년 12월 9일,만약 크롬이나 인터넷 창에서 네이버 자동 로그인을 사용하고 있는 상태라면 앱에서는 로그인이 안됩니다. 그래서 로그인 하려면 일일이 인터넷 들어가서 로그아웃 해야 하는게 불편하네요. 다른 문제는 없는 것 같습니다.,answer
이진하,4,2020년 1월 8일,no_answer,이번 여행에 많은 도움을 준 앱입니다. 아직은 사용자가 적어서 인지 숙소나 맛집등 기타 후기가 부족하거나 정확하지 않지만 그래도 정말 좋은 앱입니다.,no_answer
JB Chae,5,2020년 1월 12일,no_answer,"가성비, 사용 편의성, 정보제공능력 모두 괜찮았습니다 ~^^",no_answer
김초롱,5,2020년 1월 12일,no_answer,현지투어 및 교통편 예약하기에는 편하고 저렴해요. 가성비가 좋은게 많아요!,no_answer
고민아,5,2020년 1월 12일,no_answer,여러 상품을비교해서 선택할수 있어좋아요,no_answer
백승철,1,2020년 1월 12일,no_answer,별 한개도 아까워요. 항공권 예매는 쉽고 취소는 어려운데 자신들은 여행사여서 항공사 수수료 따로 여행사 수수료 따로에요 ㅋㅋ 하루 만에 취소했는데 3인 가족 수수료 18만원 냈어요.,no_answer
Byoung Jae Bae,5,2020년 1월 12일,no_answer,해외여행시 필수,no_answer
권형근,5,2020년 1월 12일,no_answer,Good,no_answer
고미소,5,2020년 1월 12일,no_answer,여행자에게 필수 앱! 현지에서도 관광지 및 여행에 필요한 정보를 습득해 이용하고 있습니다. 가이드님들도 굉장히 수준있고 전문적입니다. 후회없는 선택 앱! 꼭 설치하세요^^,no_answer
정유경,5,2020년 1월 12일,no_answer,여행지의 투어를 한꺼번에 보고 내게 필요한 투어를 선택할 수 있어 편리합니다.,no_answer
donghee choi,5,2020년 1월 12일,no_answer,다양한 상품을 비교하고 나한테 맞는 최적의 여행상품을 구매할 수 있어서 좋습니다,no_answer
younhan열혈방카,5,2020년 1월 12일,no_answer,여행에 행운을 주는 마이리얼트립^^,no_answer
