user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
applemango,4,2020년 1월 9일,2020년 1월 9일,"정말 잘 쓰고 있습니다! 기능적으로는 크게 불편함이 없어요~ 다만 결제 종류별로 이번 달에 쓴 내용과 금액을 볼 수 있으면 좋을 것 같습니다. 추가로 색을 선택하거나, 가계부 내역의 폰트를 시스템 폰트로 변경할 수 있으면 좋겠습니다 좋은 앱 만들어주셔서 감사해요 ㅎㅎㅎ",answer
해바 Hyeba's Bin Project,4,2020년 1월 7일,2020년 1월 7일,이곳저곳에 있는 은행 잔금을 한 곳에서 볼 수 있다는 장점은 있습니다. 그런데 이번에 새로 연동시킨 카뱅을 제외하고 그전부터 연동시켜놨던 케이뱅크와 농협의 잔금이 19년 12월 31일 이후로 잔금이 변동되지않고 멈춰있다라구요. 앱 업데이트 문제인가 싶어서 지우고 다시 깔기까지 했는데 여전하더라구요. 어떻게 된건지 조치를 취해주셨으면 좋겠습니다.,answer
M,1,2020년 1월 9일,2020년 1월 9일,처음에는 비교적 만족하면서 사용했는데 최근 3개월간 어플이 잘 열리지 않습니다. 데이터에도 이상없고 와이파이 문제도 아니고 다름 금융사의 어플들은 문제 없이 잘 열리는데 뱅크샐러드는 업데이트도 잘 안돼고 애초에 열리지 않아 사용자체가 불가한 상황이 되었습니다.,answer
박지윤,5,2020년 1월 2일,2020년 1월 3일,한참 전부터 앱이 무거워졌는지 너무 느리네요 확인하려다고 로딩시간때문에 안보고 마는 경우가 많아요. 그리고 업데이트 되면서 신용카드 쓴건 바로 지출로 뜨질 않으니.. 신카 앱에 들어가서 확인해야해서.직관적으로 파악이 어려워서 앱을 갈아타야하나 싶어요.. 설정가능하게 해주실 수 있나요?,answer
K필스너,5,2020년 1월 12일,no_answer,카카오뱅크가 등록되다니ㅠㅠㅠㅠ너무 행복합니다.. 고마워요,no_answer
김경률,4,2020년 1월 12일,no_answer,다 좋은데 14세 미만도 가입하게 해주세요 절제력이 없는 초중딩도 이 앱 쓰게 해주세요ㅠㅠ,no_answer
이태규,4,2020년 1월 12일,no_answer,좋음,no_answer
N,3,2020년 1월 12일,no_answer,ios는 저축은행이 연동되서 편했는데 안드로이드는 저축은행이 연동이 안되서 수동으로 관리하기 불편해요. 안드로이드는 연동 계획이 없나요?,no_answer
이용현,5,2020년 1월 12일,no_answer,왜 진작 안깔았나하는 생각이 듭니다. ^오^,no_answer
윤여준,5,2020년 1월 12일,no_answer,업데이트 편하고 얼마나 어떻게 쓰는지 구분을 잘해줘서 유용하다.,no_answer
