user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
홍인영,3,2019년 12월 9일,no_answer,"로켓배송이란 장점때문에 많이 이용 하는데.상품 누락 현상과 물건 파손.플라스틱.경우.특히 더,깨져서,내용물이 새거나.터져서.교환하는 경우가 많네요.그럼 교환또는 반품 경우가 생기죠.로켓 배송이란 담날 오는건데.이틀 걸리는 현상 이죠...자주 이러니 문제 인듯",no_answer
윤프로디테,1,2019년 12월 14일,no_answer,"쿠팡을 처음이자 마지막으로 한 번 이용하고, 다시는 이용하지 않을거에요. 에어팟 기스상품을 보내고, 반품회수는 4일째 미뤄지고 있으며 기다리라는 말밖에 돌아오지 않습니다. 고객센터 직원들의 태도는 정말 무례하기 짝이 없습니다. 제가 ' 도대체 언제까지 기다려야 합니까? ' 라고 했더니, 심한 말과 상담원을 깍아내리는 언행은 하지 말아달랍니다. 그러고 한마디도 없이 전화를 끊더군요. 도대체 언제까지 기다려야 하냐는 제 질문 한마디가 그렇게 상담원을 깍아내리는 말인가요? 다시는 이용할 일 없습니다.",no_answer
나선주,1,2019년 12월 17일,no_answer,전화기만 켜면 상품광고가 정신을 못차리게 하네요 가끔 구매하느라 사용하기 때문에 지우지않고는 있지만 광고가 무자비하게 뜰때는 지워버릴까도 생각을 무수히 하고 있네요 전화기 켤때마다 무자비하게 나타나는 광고 좀 자제했으면 좋겠네요 제발~ 확 지워버리기 전에 제발~,no_answer
이석규,2,2019년 12월 17일,no_answer,포털기사나 날씨앱 등 보다가 실수로 쿠팡광고 누르면 거의 후진이 안된다 또 첫화면에 뭔놈의 쓸데없는 광고 일일이 지워야지만 없어지는 미친광고를 그렇게 해대나 ~ ? 진짜 이쯤되면 한심한 쿠팡 앱개발부들 제얼굴에 침밷기고 돌았나 싶다 ~ !!,no_answer
zodiac MJH,1,2019년 12월 30일,no_answer,쿠팡은 좋은데 영등포센터 근무자들 인성이 글러먹었음,no_answer
우대규,5,2019년 12월 29일,no_answer,저렴하고 배송 빨라요,no_answer
김대홍,5,2019년 12월 29일,no_answer,"직구로 참편리하구,제품이 많아서 만족합니다",no_answer
유리TV,5,2019년 12월 29일,no_answer,잘되요~~^^♥♥엄청 좋아요♥-♥,no_answer
Jung Wun Kim,5,2019년 12월 29일,no_answer,굿,no_answer
김정현,2,2019년 12월 29일,no_answer,사진과 실물의 차이가 많이 다름,no_answer
이선주,2,2019년 12월 29일,no_answer,날이 갈수록 배송이늦어짐. 문자시간이라도 좀 근접하게 주면 좋겠음. 14:30~19:30사이 배송 문자 >>17:30분배송 기다리다가 돌아버림! 급하니까 로켓배송 시키는건데 점점 늦어지니 의미없음. 겨우 그날 맞추려고 식겁하는 듯!,no_answer
박종희,5,2019년 12월 29일,no_answer,좋아요,no_answer
양도추론,1,2019년 12월 29일,no_answer,지멋대로 켜짐,no_answer
Google 사용자,5,2019년 12월 29일,no_answer,타 사이트보다는 조금가격대가ㅈ쎄다 하지만 조으다~^^,no_answer
이창훈,5,2019년 12월 29일,no_answer,좋네요! 빠르고~ 편리하네요!,no_answer
소현,1,2019년 12월 29일,no_answer,쿠팡로켓 와우 배송으로 월 2900내고 배달 시켰는데 다른집 주소로 배송완료 라고 알람뜨고 어처구니가 없어서 원..,no_answer
서연,2,2019년 12월 28일,no_answer,다른건 다 좋은데 입점하는 가게 검토 꼼꼼히했으면 좋겠네요 ㅡㅡ,no_answer
이희순,4,2019년 12월 28일,no_answer,편리하고 간단해서 바쁜중에도 활인된쇼핑을할수있어서 시간ㄹ약할수있네요,no_answer
노가다,5,2019년 12월 28일,no_answer,굿,no_answer
마이산,5,2019년 12월 28일,no_answer,좋아요,no_answer
심태종,5,2019년 12월 28일,no_answer,신속 정확 친절 아주 만족 ~~ 좋아요,no_answer
김주용,5,2019년 12월 28일,no_answer,Great!,no_answer
우상균,2,2019년 12월 28일,no_answer,이거 로켓배송하면 빨리 온다고해서 다른 상품도 구매해서 주문시켰는데 왜 3일이나 걸리죠? 로켓배송은 늦어야 이틀 아닌가요?,no_answer
우즈마키나루토,1,2019년 12월 28일,no_answer,로켓배송으로 다른상품 유도하는거 좀 역겹다,no_answer
김원호,5,2019년 12월 28일,no_answer,빛이 어둠을 몰아 냄니다,no_answer
홍기전,1,2019년 12월 28일,no_answer,아니 손자 사줄려고 트레져x에일리언을 살려고 봤는데 세개에 30000원이여서 3개 샀는데 손자말로 들어보니까 1개가 왔다고 해서 계좌통장보니까 30000원에다가 배송비까지 나와서 32500원이나 나옴...아니 이게 뭐하자는 거임?,no_answer
손유미,5,2019년 12월 28일,no_answer,쿠팡 최고임다,no_answer
소끼가노under my had,5,2019년 12월 28일,no_answer,배송도빠르고저렴해서 좋습니다. 별5개!!,no_answer
김은영,5,2019년 12월 28일,no_answer,빠른 배송은 역시 쿠팡! 로켓 프레시도 잘사용하고있음! 식품도 싸고 괜찮아요,no_answer
강훈,5,2019년 12월 28일,no_answer,신속 저렴 좋은품질,no_answer
방귀뿡,1,2019년 12월 28일,no_answer,이게 물건이 제대로 안오고 기대했더니 이게 뭐죠?ㅋ,no_answer
맘이니,5,2019년 12월 28일,no_answer,Good♡good,no_answer
손동석,1,2019년 12월 28일,no_answer,새벽배송도 좋치만 무슨 무적차량도아니고 신호위반에 중앙선침범에 무슨 운전을 그따구로하는지 지목숨뿐아니라 다른사람목숨도잃는다는걸잊지말기를 운전 똑바로하고다녀라,no_answer
김민주,5,2019년 12월 28일,no_answer,물건 품절 된것은 품절이라고 해주세요,no_answer
qwe ssd,1,2019년 12월 27일,no_answer,제가 쿠팡에서 피규어를 시켰는데 3일 동안 안오고 있어요,no_answer
