user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
이지원,3,2020년 8월 20일,no_answer,좋음. 근데 좀 개선됐으면 하는점이 있음 1. 하트누른 닉네임 목록 볼수있게 2. 신고를 하거나 받을때 운영자님이 확인 1차로 직접해주기 (누다신고잘못해서 억울하게 정지당한사람봤음) 3. 말 잘만하다가 갑자기 다른사람한테 팔거나 그냥 말한마디없이 게시물삭제하는 비매너들 어떻게 좀 조치해주세요 4. 거래후 리뷰 꼭 작성하기 (1주나 1달에 알림 울리기) 5. 모든 평가(비매너.매너.구매 후) 선택사항 외에도 자유롭게 주관식으로 적을수있는칸 생기면 좋겠어요 내가 말하고싶은바가 없는경우가 많음..,no_answer
Kwon Sanghun,5,2020년 8월 20일,no_answer,가까운 곳에서 중고로 사고 팔 수 있어서 좋아요 한가지 건의 드리자면 중고거래 물품 사진올릴때 워터마크 설정하는 기능 만들어 주시면 좋겠어요. 다른사람이 타인이 찍은 사진을 도용해서 다른 사이트에서 사용하는 걸 봤어요... 워터마크 기능이 있으면 좋을 것 같아요,no_answer
Curie Lee,4,2020년 8월 6일,no_answer,시간이 지나니 당근마켓에서 강조하는 정이 많이 사라진 느낌. 그리고 업데이트로 불편한 점도 많음 1. 없어진 댓글기능 : 동네생활이 생기면서 댓글이 없어진거겠지만 판매자가 내놓지않은 정보를 물어보거나 가품논의 할 장소가 사라짐. 전자기기의 사기꾼이나 의심쩍은 채팅을 한다는 경고성 댓글도 올리지 못함. 2. 판매자에게 모니터링되지않는 하트 : 누가 하트를 눌렀는지 모르고 하트는 이제 찜이라는 관심도보다는 '가격내려가면 살거임^^' 이라는 의미가 된듯. 적어도 하트를 건 사람이 채팅으로 거래한다고 한다면 채팅에서 '이 이웃분은 판매물건에 찜해주셨어요!' 라고 고지할 필요가 있을듯 함. 3. 간소화된 리뷰 : 리뷰를 항목만 기입하게 업데이트되면서 리뷰가 활발해지는게 아니라 형식상 정없이 이루어지는 리뷰나 또는 그냥 리뷰를 안해버리는 경우가 비일비재함. 그래서 거래를 많이 해도 매너온도가 상승되지 않음. 이런게 당근거래에서 의도한대로인지...?,no_answer
집사들의이야기,4,2020년 8월 13일,no_answer,당근 마켓 너무 좋아서 후기 남겨요! 좋은물건을 싼 가격에 구매할수 있어서 너무 좋은것 같아요 조작법도 쉽고 동네에서만 거래할수있어서 직거래를 하더라도 부담도 덜 되더라구요! 그리고 전화번호 주소같은 개인정보를 알려주지않아도 거래할수있는점도 너무 좋았어요^^ 너무너무 좋은데 약간 고쳐주셨으면 하는게 있어요 키워드를 설정해 내가 찾는 상품이 올라올때마다 알람이 오는건 좋은데 키워드를 설정할때 가격도 같이 설정할수 있으면 좋겠어요 예를 들면 **을1000~5000원 이런식으로 설정해서 원하는 상품이 원하는 가격에 올라오면 알람이 올수있게 해주시면 너무너무 좋을것같아요! 이점만 수정해주시면 별5개 드릴게요!,no_answer
정성호,5,2020년 8월 23일,no_answer,굿,no_answer
MLOV E,5,2020년 8월 23일,no_answer,"판매글 올리기전 시세검색을 위해 판매완료글만 보기 기능도 있으면 좋겠어요. 판매완료글 안보기만 있는데, 판매글만 보기 기능도 넣어주세요!",no_answer
로니팡,5,2020년 8월 23일,no_answer,편리.,no_answer
임현,1,2020년 8월 23일,no_answer,"사기 관련 신고와 게시글을 올렸더니 불법이용자! 다시 복구를 해주셔야죠 관리자에게 해당 사항 문의는 했어요 당근에서 카톡 대화 요구, 선입금 요구, 안전거래 요구 모두 사기 입니다. 중나보다 사기꾼들이 더 많아요",no_answer
안상연,5,2020년 8월 23일,no_answer,좋은 상품을 좋은가격에 잘 거래하고있어요,no_answer
백정구,5,2020년 8월 23일,no_answer,가까운 곳에서 언제든 거래 가능해서 좋아요,no_answer
고천석,5,2020년 8월 22일,no_answer,필요한 물건 싸게사서 정말좋네요,no_answer
xia Xu,1,2020년 8월 22일,no_answer,진상 많아 .,no_answer
와따시,3,2020년 8월 22일,no_answer,1. 다른건 다괜찮은데 몇개 게시물올리면 중고거래에 안떠요 2. 이름이 한달동안 기달리고 하루남았는데 하루가 지나도 하루남았데요ㅠ 3. 억울하게 정지당하는경우 고쳐주세요,no_answer
ᄃᄃ,4,2020년 8월 22일,no_answer,당근마켓 진짜 좋은데 당근마켓에서 미성년자들이 알바도 많이 구하더라구요?근데 거기에 정신나간 사람들이 1대1 사진촬영알바녜 뭐녜해서 접근하는 경우가 많은데 관리를 철저하게 해주셔야될거같아요 불안하네요 오래보고 사용하는 어플리케이션이 됐으면 하는 마음에 적어봅니다,no_answer
7방과 후,1,2020년 8월 22일,no_answer,1년 제재당했어요. ㅋ근데 뭐가 문제냐니까 답을 안 줌. 피드백 최악임.,no_answer
올레초밥,4,2020년 8월 22일,no_answer,심플해서 좋아요,no_answer
방상광,5,2020년 8월 22일,no_answer,최고,no_answer
한혜경,5,2020년 8월 22일,no_answer,한번 빠져드니..헤어나올수가 없네요~^^,no_answer
지봉순,5,2020년 8월 22일,no_answer,대청소를 하다보니. 구석 구석 아껴둔 물건들이 잠자고 있네요 첫거래~ 기분좋았습니다 참좋은 경험했습니다.,no_answer
Sean Seo,5,2020년 8월 22일,no_answer,ㅋ 좋네요,no_answer
이송희,5,2020년 8월 22일,no_answer,유용해요,no_answer
BK,5,2020년 8월 22일,no_answer,아내의 추천으로 사용하고 있습니다. 우리동네 분들과 쉽게 직거래를 할수있게 해주는 편리한 앱이네요. 판매자와 구매자가 상호 평가하고 그것이 점수화되는 시스템도 멋집니다. 앞으로도 잘 사용할것 같아요.,no_answer
브로스전문가용실리콘헤라,5,2020년 8월 22일,no_answer,가까운거리에서 필요한 물건들을 저렴하게 살수있어서 좋아요~,no_answer
오정진,5,2020년 8월 22일,no_answer,흡족합니다.좋아좋아요,no_answer
김선유,5,2020년 8월 22일,no_answer,넘잘쓰고있어요! 감사합니다,no_answer
김창현,5,2020년 8월 22일,no_answer,Good,no_answer
Janghyun,3,2020년 8월 22일,no_answer,카테고리를 못찾겠어요. 중고거래어플이 게시판으로 변질되어가네요,no_answer
손정균,5,2020년 8월 22일,no_answer,위치 기반 판매 서비스가 정말 좋네요,no_answer
01 snaf,5,2020년 8월 22일,no_answer,최고에요!!,no_answer
HYUNYOUNG LEE,5,2020년 8월 22일,no_answer,좋아요 쉬워요,no_answer
이재현,5,2020년 8월 22일,no_answer,거래가 다른마켓보다 훨씬 잘되네요 너무 만족합니다^^,no_answer
GB Kim,5,2020년 8월 22일,no_answer,거래가 용이하고 동네 직거래라 좋습니다^^,no_answer
박종현,5,2020년 8월 22일,no_answer,직거래라서 너무좋네요,no_answer
p초기,5,2020년 8월 22일,no_answer,좋아요,no_answer
박미혜,5,2020년 8월 22일,no_answer,물건 재활용 뿐만 아니라 취향 공유에 있어서도 의미 있는 장이네요 잘 이용하겠습니다,no_answer
랑이Tv,4,2020년 8월 22일,no_answer,굿,no_answer
JY A,5,2020년 8월 22일,no_answer,최고,no_answer
진미성,5,2020년 8월 22일,no_answer,좋아요,no_answer
신현주,5,2020년 8월 22일,no_answer,첫거래해봤는데 좋네요♡,no_answer
윤철희,5,2020년 8월 22일,no_answer,편리유용합니다,no_answer
산골총각,5,2020년 8월 22일,no_answer,perfect:),no_answer
Jaesung Lee,4,2020년 8월 22일,no_answer,아주 빨리 거래 되네요,no_answer
김한울,5,2020년 8월 22일,no_answer,잘 사용하고 있습니다~,no_answer
박민철,5,2020년 8월 22일,no_answer,아주좋은앱이예요,no_answer
박성훈,2,2020년 8월 22일,no_answer,리뷰랄까 뭐랄까.. 물건 소지자가 갑이고 구매자가 을인 기분이 너무 확 들어요. 내가 원하는 가격으로 바로 구매 안하면 물건 팔 마음 없다는 식으로 가격 물어보니 어쩜 그리 막말을 하는지.. 초기와 달리 비매노 사용자가 점점 늘어가는 기분이 들고 그러다보니 앱 이용 가치가 사라졌어요 당근마켓에 물건이 있어도 차라리 인터넷 더 뒤져서 가격 싼 새 제품 살 정도로 이용하기가 싫네요,no_answer
李敏哲李敏哲,1,2020년 8월 22일,no_answer,뭔 버그가 이리 많나요 뭐만 할려하면 수시로 접속불량에 차라리 새벽에 날잡아서 점검을 하시든 해주세요,no_answer
한현민,1,2020년 8월 22일,no_answer,에러가 왜자꾸나냐,no_answer
성태기,5,2020년 8월 22일,no_answer,첫판매 감사합니다.,no_answer
송쉐비,5,2020년 8월 22일,no_answer,가까운 동네근처에서 필요한물건을 간편하게 구할수 있어서 좋습니다 필요없는물건도 간편하게 올려서 팔수있어서도 좋구요^^,no_answer
하람아 하성아놀러가자,5,2020년 8월 22일,no_answer,좋아요ㅋ,no_answer
ken,5,2020년 8월 22일,no_answer,갑자기 서비스이용이 안돼요 어떻해 해야될까요?,no_answer
배지우,2,2020년 8월 22일,no_answer,에러가 나오네요,no_answer
이오,1,2020년 8월 22일,no_answer,서버 폭발인가 채팅 한번 드가기가 매우 힘드네 결정적인 거래 순간에서 매우 딥빡,no_answer
