user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
박깽,5,2019년 12월 25일,2019년 12월 27일,다른건 다 좋아요! 불편한것도 없습니다! 근데 한가지 바라는 점이 있다면 카메라를 조정할 수 있으면 좋겠습니다! 현재는 카메라에서 얼굴만 보이도록 되있지만 전면과 후면카메라 전부 사용할수있다면 좋을것같아요! ^^,answer
[최강관종]레이,1,2019년 12월 25일,2019년 12월 26일,막 단어가 삐처리 될 때도 있고 정지 왜먹었는지 알려주지도 않고 그냥 계속 답변에다 ^-_^_*-(-^_(를 해서 처벌과 제재를 가합니다 하지 말고 왜! 왜 정지를 먹었는지 해보라고요 어떤 사람은 나한테 어깨를 보여달라하고 배꼽을 보여달라고 하는 이상한 짓 하는데 작업도 걸고 왜 내가 정지를 먹냐고요. 왜!!!!!!!!!!!!!!!!!!!,answer
뽀얀이실버ッ,2,2019년 12월 17일,2019년 12월 18일,저.. 방송에들어갔는데 계속 소리가 안 들리고 캠방하셨는데 캠도 안 켜지도 라디오 방송사진에 로딩화면? 같은거밖에 안 나오고 해서..제발 고쳐주세요 ㅜㅜ 캠방 처음가봤는데 이런점이 있으니 불편하네요..,answer
하루,5,2019년 12월 18일,2019년 12월 19일,유튜브에서는 구독자 몇명이 돼야 실시간을 킬수있는데 여기서는 그런거 상관없이 누구든 킬수있어서 너무너무 좋아요!!!100퍼센트 만족입니다!^^* 이런 앱을 만들어주셔서 너무 감사해요ㅠㅠ 실시간을 키고싶어도 구독자때문에 못했는데 여기서는 자유롭게 마음껏 켜도된다니....WOW..감사합니다♡,answer
김우진,5,2019년 12월 29일,no_answer,GOOD,no_answer
[ fIower l girl ]카논,5,2019년 12월 29일,no_answer,"정말 좋네여 ! , 추가 사항이 잇다면 룰렛같은걸 추가해서 트위치 처럼 룰렛을 돌리면 뭐가 당첨되는걸로 하는게 어떨까요 ? 그러면 더 재밋어질거같아요 !!!",no_answer
피그맨,1,2019년 12월 29일,2019년 12월 23일,신고하면제대로조회하십니까???,answer
깡순이,5,2019년 12월 29일,no_answer,다른거는다좋습니다!! 아쉬운거는 하쿠나오래보면 베터리도빨리나가고 렉도좀심하게걸릴때도있고 좀심하게끊낄때가있어서 그런게 방송볼때좀 불편하네요 이런점은개선해줬으면좋겠습니다~,no_answer
주유빈,4,2019년 12월 29일,no_answer,닉 : 픔 키 놈 으로 활동하면서 방송을 하는데 정지를 수 없이 많이 먹어 방송 진행과 소통 앱 사용을 못하고 있습니다. 문의도 넣고 하였지만 계속 정지를 먹어 힘이드는 상황입니다. 쓸때없이 정지를 먹어 팬분들과 소통을 못하고 있고 접을까 생각중입니다. 제발 쓸대없이 정지 좀 작작 먹여주세요.,no_answer
윤메YT,2,2019년 12월 29일,no_answer,제발 정지 쓸때없이 안맥이는게;;,no_answer
오로라별빛,3,2019년 12월 28일,no_answer,성별을 잘못했을때 지우고 설치하고 계속해도 안되요 제발 복원 좀 할스있게해주세요!!!!!!!,no_answer
웅이,3,2019년 12월 28일,no_answer,운영자님 저는하쿠나를 엄청사랑하고 좋아합니다 하지만 요즘 프사를 신체부위를찍어서 프사로해놓고 게스트되서 보여주는변태들이있어요 그럴땐 진짜 싫습니다 너무불편해요 ㄲㅊ사진보여주기까지합니다 하쿠나는 어린친구들도있어서 그런 발정난사람이 하쿠를한다는것을화를 참을수가없어요 신고하면되지만 그런놈들은 반복해서 계정을만듭니다 진짜하쿠나에서 완전히 추방해주세요 부탁합니다 운영자님 요즘은 시대는하쿠나잖아요 광고도많이나오고요 그런데 광고보고온사람도있을테고 친구나 지인한테 소개받아서온사람도있을텐데 그냥평곰하게 방송할려고왔는데 그런사진찍은사람만나면 기분나쁘잖아요 저는그런사람들이 그런피해안받았으면좋겠습니다 끝까지 노력해주세요 응원하겠습니다!,no_answer
김김대철,5,2019년 12월 28일,no_answer,친구가 추천해조서 들어 왔는데 좋네요,no_answer
김가영,5,2019년 12월 28일,no_answer,후아 안뇨옹,no_answer
c loud,4,2019년 12월 28일,no_answer,"안녕하세요, 리나 라는 닉네임으로 활동중인 사람입니다. 제가 시계와 튤립을 받았는데 시계는 어떻게 주는지 모르겠고, 또 그걸 다이아몬드로 받아야 할것 같은데 첨에 있돈 다이아와 동일하네요. 그것을 좀 알려주시면 감사할것 같습니다",no_answer
