user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
Bun Young Kim,1,2019년 12월 24일,2019년 12월 24일,"회원가입할 때 분명히 휴대폰으로 본인인증했어요. 근데 구매할 때 수령자에 또 휴대폰인증하라고해서 가입자아닌 수령자 휴대폰번호로 인증했더니 구입이력있다고 첫구매10프로 할인쿠폰이 사라졌어요ㅡㅡ 그럴거면 첫구매쿠폰이 아니고 첫수령쿠폰이라고 바꾸던지요. 어디에도 그런 설명없었는데, 소비자 농락하는것도 아니고 짜증나네요. 앱은 계속 앱대기로 오류창뜨고ㅡㅡ 물건이 싸서 계속 이용은 하는데 차이앱 할인 끝나면 이용할 생각 1도없는 어플입니다.",answer
Miyoun Lee,1,2019년 12월 5일,2019년 12월 10일,회원가입 하지 않고는 앱 이용이 아예 불가능한건가요? 한번 둘러보고싶은데 그렇게 할 수가 없네요. 어쩔 수 없이 회원가입하려 시도했는데 간편로그인이고 이메일 로그인이고 회원가입도 안돼요. 별명까지 입력하고 가입하기 누르면 가입중이라고 잠깐 뜨고는 가입실패했다고 나오네요. 결국 이 앱의 그 어느 부분도 이용할 수가 없어요. 저만 그런건가요?,answer
김옥경,5,2019년 12월 16일,2019년 12월 16일,"제품의 다양성과 가격! 굿입니다^^ 인테리어에 관심 많은 저에겐 최고의 아이템들이 너무 많아 도움이 많이 되었습니다. 앱이용 편리성,화면구성이 좋아 자꾸 앱에 들어가게 됩니다~제가 구매한 모든 제품에 만족하고 있습니다~~감사합니다",answer
YEJIN LEE,4,2019년 12월 28일,no_answer,요즘들어 오늘의집 앱만 켜면 폰화면이 멈추고(까만화면 또는 흰화면만 떠요) 앱도 실행이 안되요ㅠㅠ(제 폰은 LG V50 THINQ입니다)항상 유용하게 쓰는앱인데 왜그런걸까요ㅠㅠ,no_answer
오동균,5,2019년 12월 30일,no_answer,너무 너무 좋은 것들 뿐이네요.,no_answer
이정인,4,2019년 12월 30일,no_answer,스토어 사진 뜨는게 너무 느려요.. 진짜 느려요. 껐다켜도 느리고 와이파이에서도 느리고 데이터도 느려요 왤까요^^,no_answer
김선실,4,2019년 12월 30일,no_answer,정보 좋아요~^^,no_answer
안지혜,5,2019년 12월 29일,no_answer,조아요,no_answer
쿄노하나한나,3,2019년 12월 29일,2019년 12월 29일,차이앱 결제를 했는데 결제가 취소되면서..쿠폰이 사라졌어요.. 10프로 쿠폰 복구 부탁드려요,answer
정성원,5,2019년 12월 29일,no_answer,굿,no_answer
