user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
김동회,4,2019년 12월 28일,2020년 1월 3일,쏘카페어링 만26세 이상만 이용할수 있도록 바뀌었나요? 11월만해도 이용가능했는데 이제 저한텐 인앱 메뉴가 안뜨네요 이것말고도 몇달마다 서비스 하고 안하고 바뀌는게 많은데 블로그 같은곳에 공지해주면 좋겠어요. 20대 초반이 단기로 빌릴땐 쏘카 (무인시스템이라 반납할때 양아치짓 없음)>>일반렌터카. 대신 큰 문제 아니면 내가 다 해결해야됨. (ex. 지정주차자리인데 다른 차가 주차되어있네요 > 차량제어 풀어줄테니 고객님이 두대 모두 옮겨주세요!),answer
태리,4,2020년 1월 3일,2020년 1월 9일,반값패쓰와 주행요금 정책 변경으로 인한 합리적인 가격이 마음에 듭니다만 CS 대응은 부족한거 같습니다. 엔진 경고등 불들어와서 차량 견인해갔는데 보상도 거의 없구요... 여행시간만 많이 소모되었어요. 그래도 좋은 서비스라고 생각되어 별4개 드립니다. 쏘카 화이팅입니다.,answer
임진성,3,2019년 12월 24일,2019년 12월 26일,아직까지 어플에 아쉬운 부분이 많다 차량이 신호를 제대로 수신 못하는 경우도 있고 패널티에 대한 설명도 특수한 경우에 대한 안내사항도 조금씩 발전 했으면 하는 부분이 크다 그래도 예전에 비해 차량 관리는 잘 되어 있어서 별 3개,answer
주선희,1,2019년 12월 21일,2019년 12월 26일,처음 이용하는데 차량가격이나 차가 있는지 알아보려 회원가입까지 했는데 카드등록하라고 하네요 카드등록 안하면 이용 못 하는 건가요? 이용하고 결제 때 해도 되지 않나요?,answer
은채김,3,2020년 1월 12일,no_answer,본인명의 장려기능이먼가여? 업데이트햇는데 머가달라진지모르겟네요? 몬가여?,no_answer
장갑,5,2020년 1월 12일,no_answer,쏘카 덕분에 20대초반을 넘 재밌게 보냅니다.,no_answer
장상민,5,2020년 1월 12일,no_answer,편하고 좋아욤,no_answer
최광호,5,2020년 1월 11일,no_answer,쏘카 좋아요,no_answer
은주우,5,2020년 1월 11일,no_answer,good,no_answer
w지기르일.,5,2020년 1월 11일,no_answer,너무좋고 항상이거써요,no_answer
모모,4,2020년 1월 11일,no_answer,부름서비스 너무비싸요ㅠ,no_answer
심현석,5,2020년 1월 11일,no_answer,편리한 서비스,no_answer
do ju,1,2020년 1월 11일,no_answer,왜 t멥버쉽 번호가 계속 수정이 안되는건가요 이유를 알수있을까요??,no_answer
박종상,1,2020년 1월 11일,no_answer,금방 그린카 딜카한테 따라잡힐듯 1등 주자라고 안일한 운영 토악질 나오네요,no_answer
이소은,1,2020년 1월 11일,no_answer,"쏘카 덕분에 오늘 모텔에서 자보네요 쏘카는 부름이라는 서비스를 이용하지 않으면 반납장소 변경이 안됩니다 그것도 모르고 대여했다가 부산에서 통영까지 갔다가 다시 부산 반납존에 차 갖다주고 버스가없어서 모텔잡고 자기 전에 글씁니다 어플에 1.이용방법 지정된 반납장소에 주차 애매합니다 어디가 지정된건지 쏘카존에 주차하면 되는거네?하고 오해 소지 있습니다 대여 한 곳에 반납해야 합니다 단,부름 서비스를 이용하면 반납장소 변경가능합니다 라는 문구 넣으세요 2. 결제 전에 대여반납 아이콘이 있던데 반납 아이콘 눌렀을때 현재 선택하신 소카존은 반납 장소 변경 불가합니다 기능 추가하세요 3. 상담원 교육 똑바로 시키세요 고객님 잘못인데 형식적인 답변 이해하는데 통화하면서 참 속터지더라고요 융통성있게 해결 해주길 부탁했는데 앱으로 하셔서.. 그럴수 없어서... 이용방법 고지 다시 살펴보시고 수정해주세요 아그리고 월요일에 소비자보호원에 민원 제기할겁니다",no_answer
구동욱,5,2020년 1월 10일,no_answer,쏘카 짱👍,no_answer
차정휘,5,2020년 1월 10일,no_answer,편리하고 좋습니다ㅎㅎ,no_answer
홍자몽,5,2020년 1월 10일,no_answer,너무 편합니다,no_answer
