user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
토레타,1,2020년 7월 3일,no_answer,아진짜!!!!!주식계좌만 3개인데 로그인으로 스트레스주는 어플은 이거밖에없네요!!! 왜자꾸 재접속한다고 튕기나요 와이파이로도 해보고 데이터로해보고!!!맨날업데이트하라고 뜨는데 뭘업데이트한거죠 업데이트후 더튕기는데? 오래된 핸드폰도 아닌데!!,no_answer
노수빈한,1,2020년 6월 18일,no_answer,앱평가보고 계좌개설을했어야했다.... 뭔 이벤트 참가를 못하게 막아놓음. 코스피 랜덤추첨해서 주는 패널 눌러봤자 수없이 로그인요청만뜸. 이런거 사기로 고발할수있었으면 좋겠다진짜... 그리고 그 외의 기능도 제대로 기능하는 게 거의없음. 현직개발자로서 어플개발자한테 월급안주나 하는 생각까지 들고있고... 어떻게 어플을 이렇게 거지같이 만들었나? 이슈보고 안들어오나? 별평점2점대라니 어지간한 똥망겜보다 낮은 점수인데 좀 창피한줄 알았으면...,no_answer
방주일,1,2020년 7월 1일,no_answer,"화면 이동시 렉걸림 현상 때문에 고객센터에 항의했다. 답변 ' 이런 클레임이 별로 없다 '즉 내폰이 문제라는 답변. lg v50인데 구린건가..리뷰보니 답나온다..개 쓰레기 어플이네..속도가 생명인데 매수, 매도, 화면 이동시마다 버퍼링 286도 이것보다 빠르겠다. 이 글 보는 개발자나 관리자는 서버를 확충하던지 mts에 최적화 시켜라. 월급이 아깝다.",no_answer
이창훈,1,2020년 6월 24일,no_answer,내가 근래에 써 본 앱들 중 단연 최악!!! 웹쪽도 가봤더니 엉망진창. 청약후 환불계좌 등록도 타사들은 청약하며 바로 등록인데 여긴 암튼2시간 뺑뺑이 돌다 결국 포기함. 청약 아니면 다시는 안 쓸 앱. 한투 간부들이나 임원이나 가족들 있음 좀 써보고 개선 좀 해라. 진짜 한심하다,no_answer
siyoon yang,1,2020년 8월 29일,no_answer,로그인 무한반복.,no_answer
뚫뷁,1,2020년 8월 29일,no_answer,뭐만 하면 모의투자로는 안된다고 팝업창이 너무 많이 뜹니다,no_answer
정찬수,1,2020년 8월 29일,no_answer,월봉보면 팅김 ㅡㅡ 고쳐줘,no_answer
김진선,1,2020년 8월 28일,no_answer,들어가면 튕기고 들어가면 튕기고!!,no_answer
임여경,1,2020년 8월 28일,no_answer,몇번을 다시 설치하는데 왜 실행이 되지 않을까요? 다른 증권사 2곳엔 아무 문제 없이 사용하는데 한국투자 로그 화면에서 꼼짝도 안하고 있어요. 이런 어플 처음....,no_answer
Hyeonjin Yi,1,2020년 8월 28일,no_answer,"아침부터 로그인이 자꾸 튕기질 않나, 모의투자 신청한 적도 없는데 모의투자 에러창이 수십개 뜨면서 계좌조회 비롯한 정상업무 하나도 안 되지를 않나. 고객센터에 전화하니 대기번호 60번대에 몇십분을 기다려도 연결이 안됩니다.",no_answer
Jae Woong Lee,1,2020년 8월 28일,no_answer,설치할수없다네요.,no_answer
Huichang Lee,1,2020년 8월 28일,no_answer,"아아아아아아아아 2일 연속 사진찍는다. 사진 찍는 부분 만드 시끼 대리고와서 수정하던지, 다시 좀 만들어 주세요",no_answer
김진홍,1,2020년 8월 28일,no_answer,렉 겁나 심하네.. 뭐하나 확인하려면 빙글빙글 돌고 있는것 때문에 미치네요... 주식은 시간이 생명 아닌가?,no_answer
mikado ryu,1,2020년 8월 28일,no_answer,신분증인식이안된다며 계속 새로 찍으라는데 언제까지 찍으라는건지 100번 찍어도 안됩니다 개설을 하라는건지 말라는건지 금융어플이 이러는거 처음이네요,no_answer
이영선,1,2020년 8월 28일,2020년 8월 28일,도대체 왜 이렇게 접속자체도 안되는 앱으로 우롱하는건지 대단히 실망스럽내요.,answer
Hyunmok Yu,2,2020년 8월 28일,2020년 8월 28일,그냥 모바일로 거래가 된다는거에 만족하세요. 잔렉이 심해서 중요한 타이밍 몇번 놓쳐보면 예약 걸 때나 쓸모있다는 걸 알게되실겁니다.,answer
가투날라리,1,2020년 8월 28일,no_answer,이런걸로 어떻게 투자를 하냐,no_answer
하얀고양이키키,1,2020년 8월 28일,2020년 8월 28일,계좌 개설 시 데이터 오류입니다. 다른 확인절차를 이용하시기 바랍니다. 라고 계속 뜨면서 안 넘어감,answer
김강성,1,2020년 8월 28일,2020년 8월 28일,어플 이용속도가 너무 느림. 보안에만 치중했는지 정작 중요한 주식 시장에서의 매수 매도가 원활하게 이뤄지지 못해 주식을 제때 못팔고 못사는 경우가 허다함. 계좌 전부 폐쇄하고 다른 어플로 갈 예정,answer
얌냠냠,1,2020년 8월 28일,2020년 8월 28일,계좌개설이 안 되네요;,answer
릴리-,1,2020년 8월 28일,2020년 8월 28일,다른 앱과의 화면 이동시 렉 발생이 너무 심각합니다. 매번 이럽니다.,answer
KH hh_,1,2020년 8월 28일,2020년 8월 28일,키움이랑 이거쓰는데 한투어플들 좀 별루임ㅡㅡ... 잘멈추고 접속도잘안됌ㅡㅡ...,answer
Luna li,1,2020년 8월 27일,2020년 8월 28일,카카오톡 이벤트로 가입했는데 1주 주식 무료 팝업도 안뜨고 안내/등록-이벤트/혜택 - 할인/고객등급으로 가서 추첨 참여하려고 해도 로그인 팝업뜨고 로그인해도 이벤트 창으로 안넘어가고 정말 재 로그인해도 마찬가지고 정말 짜증스럽네요... 고객센터는 전화도 안되고!! 빠른 답변 부탁드립니다,answer
정희연,1,2020년 8월 27일,no_answer,탈퇴하고시퍼여,no_answer
모롱김,1,2020년 8월 27일,no_answer,개가튼 신분증촬영 없애버리시길^^,no_answer
밍디,1,2020년 8월 27일,2020년 8월 28일,"스트레스받아 죽을 것 같네요.. 계좌개설해서 계좌번호랑 ID까지 다 나왔는데, ID등록 또는 스마트폰이용등록을 하라고 떠서 이용등록을 하려고보니까 연결가능한 계좌가 없다고뜨질않나 타기관 인증서 등록하려고하니까 입력해야하는 계좌번호 텍스트박스를 입력못하게 잠가두질않나 이거 사용하라고 만든 앱 맞나요..? 이런 리뷰 써본 적도 없는데 하.. 이 앱 다신 안쓸 것 같습니다",answer
정희준,1,2020년 8월 27일,no_answer,퀵 메뉴 설정 다 해놓으면 다음 접속때 초기화 됨 세상세상 귀찮음 다시 설정하고 리셋되고 반복,no_answer
Yunhyun Kim,1,2020년 8월 27일,2020년 8월 28일,종목토론 게시글 업뎃이 안되네요. 직접 사니트로 보면 뜨고 이럴거면 링크를 지우시지요,answer
최재성,1,2020년 8월 27일,2020년 8월 28일,종목 검색이 안되요 지금 몇 번 다시 설치하는지 모릅니다 개발을 도댜체 어떻게 한건지...,answer
박박성호,1,2020년 8월 27일,2020년 8월 28일,신한투자랑 같이 사용하는데 한국투자증권 렉이 넘 심함,answer
곰도리,1,2020년 8월 27일,no_answer,오류 너무 많이생김,no_answer
Chan Chan,1,2020년 8월 27일,2020년 8월 28일,종목검색이 안됨 절대 여기 계좌 개설 ㄴㄴ,answer
박효정,1,2020년 8월 26일,no_answer,로그인이 계속안됨..스트레스..하아..,no_answer
명상,1,2020년 8월 26일,no_answer,아놔.. 고객상담원 연결하려다 늙어죽겠다. 평균 60명 대기. 절대 연결 안 됨. 증권사가 한투 하나뿐이냐? 다른 증권사 이용하고 만다.,no_answer
