user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
상방가즈아,1,2020년 7월 2일,2020년 7월 3일,하루에만 몇 번을 로그인하는건지 참...도대체 이 증상 언제 개선하실건가요? 메뉴얼대로만 대응 하지마시구요. 실질적인 개선을 좀 하셨으면 합니다. 잠시간 다른 어플 이용했다고 앱이 팅겨서 재로그인을 계속 해야하는게 정상인겁니까? 폰 문제 단 1g도 없습니다. 앵무새도 아니고 앱을 재설치 해라마라 완전히삭제하라마라 메모리 관리해라마라 그딴 도움 1도 안되는 답변은 그만 늘어놓으시구요. 제대로 좀 개선합시다. 다른 증권사 앱은 별 문제가 없는데 왜 유독 키움만 이럽니까? 월급 값 좀 합시다. 해도해도 너무 하잖아요. 개별 사람들의 문제로 치부하지 말구요 이건 키움측에서 반드시 해결하고 넘어가야 할 문제입니다. 스마트폰 초창기시절도 아니고 이게 멉니까 자꾸 많은 사람들이 공통적으로 호소하는데 실질적인 대안을 좀 만들어주세요,answer
Maya Blue,1,2020년 7월 29일,no_answer,"계좌 계설하다가 열이 받아서 글 올립니다. 인증번호 받다가 초기화면으로 돌아가기를 수십번 한 거 같아요. 며칠째 이런 증상이 반복되고 있는데, 오늘은 아주 지대로 사람 골탕먹이네요. 우리나라 최고 증권 거래사 어플이 이모양이라니! 내참! 다른 증권사들은 이용하기 쉽고 에러도 없어요. 사람들이 많이 쓴다기에 갈아탈까 했는데 말아야겠어요! 돈 많이 버셨잖아요. 그렇다면 최소한 사용자들이 불편 겪는 일은 없게 하셔야죠!!",no_answer
리JY,5,2020년 7월 1일,2020년 7월 1일,"비밀번호 넣고, 들어가서 계좌들어가려고 pin번호 넣고나면, 바로 넘어가지 않고, 다시 비밀번호(4자리) 화면이 뜨고, 넘어가질 않네요. 폰 홈으로 나와서, 다시 비밀번호 넣어야 계좌로 넘어간다는... 여러가지로, 수고해 수시면 감사하겠습니다. 홧팅!",answer
선그리킴,1,2020년 6월 17일,2020년 6월 18일,"영웅문s글로벌도 간편인증(비번,지문)으로 로그인 및 주문 할 수 있도록 해주세요 영웅문s는 공인인증서 발급 및 등록 필요없이 저렇게 이용하니 편합니다.. 이제 시대흐름에 맞게 불편한 공인인증서 고집할 이유있나 싶네요., 이전에 생체등록 할때도 이상하게 꼭 공인인증서 기반으로 하던데 이제 타금융권도 꼭 공인인증서 없이도 바로 생체 등록해서 거래 할수 있게 바뀌고 있습니다 공인인증서 기반은 오류가 너무많고 사용자가 힙듭니다",answer
박중철,5,2020년 8월 29일,no_answer,1.hts에 저장된 추세선을 mts에서도 공유할수있는 기능 업데이트 해주세요 2.차트 자동으로 가로/세로보기 설정만 되게하지말고 따로 차트창에 가로/세로보기 버튼을 만들어주세요,no_answer
익명,1,2020년 8월 29일,no_answer,로딩화면에서 왜 안넘어가냐 개빡치네 운영 좀 제대로 해라 다 짤리기싫으면,no_answer
jbro제이브로,4,2020년 8월 29일,no_answer,모바일mts 조건검색에 거래량보이듯이 메모부분도 바로 볼수있게해주세요,no_answer
에스씨유,5,2020년 8월 29일,no_answer,최고얌~~^♡^~~,no_answer
Mr. Philip516,1,2020년 8월 28일,no_answer,컨텐츠 다운로드중만 10분은 하는듯 계속 100퍼 갔다가 원상태...,no_answer
아낙수나문,1,2020년 8월 28일,no_answer,오늘깔았는데요 계좌계설까지다했어요 그런데 앱실행되고 바로종료됩니다 계속시도해도 창뜨고 설정중이라고나오고 바로종료되버립니다 어떻게해결하나요?,no_answer
이주동,5,2020년 8월 28일,no_answer,조아요,no_answer
장장태성,3,2020년 8월 28일,no_answer,장태승 너무좋은데~~~,no_answer
찬진진,5,2020년 8월 28일,no_answer,잘사용하고있습니다.,no_answer
김재민,3,2020년 8월 28일,no_answer,좋아요,no_answer
Sehyun Kim,1,2020년 8월 28일,no_answer,90년대 앱을 보는 것 같네요...,no_answer
얍얍,3,2020년 8월 28일,no_answer,디자이너좀 뽑으세요.....uiux가 이게 뭐에요;;;;;;;;;;;;; 개발자에게 디자인을 시키면 어떤 일이 벌어지는지를 보여주는 최악의 예시를 보여주는것같아요. 정말 이렇게까지 끔찍할수가.....,no_answer
짭와이,1,2020년 8월 27일,no_answer,공인인증서 pc에서 폰으로 가져오기 성공했다고 뜨고 로그인 하려고 공인인증서 암호 누르면 공인인증서가 없다고 하네요 ㅌㅌㅋ 왜이러죠 빡치네,no_answer
JM K,2,2020년 8월 27일,no_answer,앱이 직관적이지 못해서 사용하는데 너무 불편합니다,no_answer
s YoungTube,1,2020년 8월 27일,no_answer,최악 렉걸려,no_answer
류민형,1,2020년 8월 27일,no_answer,자꾸 다운되요 왜 이런건가요? 매도해야되는데 미치것네요,no_answer
박윤호,1,2020년 8월 27일,no_answer,차트 보기 하면 먹통이 됨,no_answer
문동준,4,2020년 8월 27일,no_answer,인터페이스가 익숙해서 사용이 편하고 지표 추가되어서 좋은데 볼린저밴드 2개 이상 추가시 이상한 선이 생기는 버그만 고쳐주면 좋을거 같습니다. 그리고 추가로 같은 지표 추가는 3개가 최대던데 4개까지 되면 좋겠네요~,no_answer
독재자강승구,3,2020년 8월 26일,2020년 8월 28일,스토케스틱 오실레이터 차트 추가해주세요. 하나대투는 이번에 적용했던데요. 최고의 키움아닙니까..,answer
김무균,1,2020년 8월 26일,2020년 8월 28일,와이파이 사용시 연결이 안되서 손해가 크네요ㅜㅜ,answer
Jw제이더,5,2020년 8월 26일,2019년 8월 5일,모바일영웅문 조건검색에서 메모부분이 거래량보이는것처럼 화면에 바로 보이게 해주세요 컴에서는 매수 전에도 손실.수익 목표를 스탑로스로 걸어두고 매수후 자동작동하는데 폰의 자동감시에서는 꼭 매수 후에만 설정이 되네요. 매수전에도 설정할수 있게해주세요,answer
이승환,1,2020년 8월 26일,2020년 8월 28일,갑자기 튕기네요 어플... 왜그런지..,answer
황원식,1,2020년 8월 26일,2020년 8월 28일,새로깔아서 입장할라는데 컨텐츠 다운로드 3/3에서 안넘어가네요 어찌합니까,answer
박문기,2,2020년 8월 26일,2020년 8월 28일,타기관 공인인증서등록이 자꾸 안되네요.. 화면이 계속 나가져요,answer
jung nam kim,1,2020년 8월 25일,2020년 8월 25일,아나 몇번을 튕기는거야 짜증나게 매도 타이밍 놓쳐서 얼마를 손해 보는거야 진짜 앱 좀 똑바로 만들지 장난하나 진짜,answer
김종국,1,2020년 8월 25일,2020년 8월 28일,이거 가로세로 전환 자동으로 안되게 좀 못하나? 귀찮게 검색 종목누르면 꼭 자동으로 가로전환되냐,answer
정철,2,2020년 8월 24일,no_answer,위젯도 만들어주세요,no_answer
황정평,4,2020년 8월 24일,2020년 8월 27일,요거 하나만 추가해주세요~~ HTS에서 0254-당일주요거래원 에서 보이는 상위이탈원이 모바일에서는 안보여요~ 모바일에선 거래원에서 보이는데 이탈거래원들이 안보이네요 개발자님들 부탁드려요~♡♡,answer
청주열이,2,2020년 8월 24일,2020년 8월 27일,차트설정하는데 종목 마다 설정을 해야되는 번거로움이 있음 설정한 차트 일괄 볼수있게 바꿔주쇼~~,answer
Brooklyn Choi,1,2020년 8월 24일,no_answer,UI좀바꿔주세요,no_answer
하하하,1,2020년 8월 24일,2020년 8월 24일,앱 실행하면 바로 자동으로 닫힘 사용해볼래야 사용할수도 없음ㄷㄷ 당황스럽습니다,answer
Sanghyun Park,1,2020년 8월 24일,no_answer,업데이트가 너무 잦음,no_answer
임정윤,3,2020년 8월 24일,2018년 5월 23일,신규설치했는데 업데이트 다운로드에서 넘어가지않고 계속다운만받는데 어찌된건지요,answer
