user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
Jungwoo Seo,3,2020년 6월 2일,no_answer,"말도 많고 탈도 많지만 단점보단 장점이 더 크게 느껴져서 잘 쓰고있는 편이긴합니다. 다 좋은데 가끔, 특히 장초반 오전 9시~10시 사이에 로딩만 돌아가면서 잔고 조회도, 신규 주문도, 주문 정정이나 취소도, 심지어 이미 나간 주문이 호가도 맞는데 체결도 안되는건 도대체 무슨 신개념인가요? 꼭 좀 조치해주길 바라며, 개선되어야 하는 기본중의 기본입니다..",no_answer
rain s,1,2020년 7월 7일,no_answer,계좌개설 신분증 촬영후 다음버튼이 왜 없어지나요. 이전에 다른분도 이런 경험 남기셨던데 개선 안하시나요? 계좌개설 시도만 몇번 째인지 모르겠네요. 고객센터는 대기 60명인데 언제 연락되나요. 모바일 아니면 컴퓨터로 비대면 개설도 안되고 어이없네요. 도대체 쓰라는 건지 말라는건지..수수료만 낮으면 뭐하나요. 다른 증권사 갑니다.,no_answer
JungYoon Park,2,2020년 6월 23일,no_answer,어플 자체 디자인이 깔끔한 편이라 쓰고 있는데 주식 잔고 볼때 너무 자주 재접속을 요구해요. 그리고 주식 검색할 때도 검색어 입력하면 인식을 못 할 때도 있고 검색하는데 시간이 너무 많이 걸릴 때도 있습니다. 주식 어플은 빠르고 가벼운게 좋은데 이 어플은 무겁고 너무 자주 보안 요청을 하고.... 가끔 답답합니다.,no_answer
tk k,1,2020년 6월 24일,no_answer,"근 한달간 장초에 어플 접속이 잘 되지않고, 로딩속도가 무척 느려졌어요. 장초거래를 아예 하지 못했던 날도 있었을 정도입니다. 그리고 주식잔고 화면에서 어플이 자꾸 꺼져요. 어플에서 튕기는 일이 과장없이 하루에도 10번 이상은 일어나요. 재접속하는것도 일이고.... 스켈핑, 초단타 치시는 분들은 절대 이용하시면 안됩니다",no_answer
구민이,3,2020년 8월 29일,no_answer,삼성 갤럭시 폴드는 언제 전체화면 쓸수있을까요? 크게 쓰다가 화면이 좁아져서 너무 불편합니다. 협의는 언제 이루어지는지 협의할 생각이 없다면 전체지원 안된다고 표기 부탁합니다.,no_answer
앗고래다냥,1,2020년 8월 29일,no_answer,폴드 사용중이였는데 갑자기 전체화면이였던게 양옆이 짤립니다,no_answer
오승진,5,2020년 8월 29일,no_answer,2.안쓰는 메뉴 숨김기능도좀 해주시고요 3.관심종목에 각종목마다 메모할수 있는 기능도 넣어주세요 조그만 4.수급화면 개선 부탁해요,no_answer
남향우,5,2020년 8월 28일,no_answer,단정해서 좋습니다. 감사합니다,no_answer
김대현,4,2020년 8월 28일,no_answer,앱자체는 괜찮음. 잘 쓰고 있음. 건의사항 1.해외주식 외화 합계 또는 보유 달러까지 합한 외화 자산 통계 정보가 부족함. 2.재접속 요구가 너무 잦음. 3.장 마감즈음에 렉인지 모르겠지만 거래가 지연되다가 장마감후 갑자기 따닥 거래가 된다거나 하는 오류가 있음 4. 채권을 매수는 가능한데 매도할때 일자를 입력하라는 오류가 뜨며 매도가 불가능함,no_answer
김명희,5,2020년 8월 28일,no_answer,사용하기 편리하고 좋아요,no_answer
사용소감,1,2020년 8월 28일,no_answer,카카오페이 연동으로 설치는 했는데 NH투자증권에서 실명확인이 않된다고 하네요.. 해결방법도 모르겠고..,no_answer
이원철,2,2020년 8월 28일,no_answer,갤럭시 폴드 화면비율조정이 안되. 얼른 픽스해라,no_answer
김석한TV,5,2020년 8월 28일,no_answer,굳 좋아요,no_answer
