user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
김상희,5,2019년 12월 1일,no_answer,카카오택시보다 훨씬 좋아요 타다가 많이 생겼으면좋겠어요 기존이용하던걸 자꾸 멀리하는건 다 그럴만한이유가 있는거구 택시비 아무리 올려도 서비스는 늘 최하수준이니 당연히 타다를 더 이용을 할수밖에 없는거 아닌가요 저는 지금 타다 계속이용할 생각입니다,no_answer
Seulgi Jeong,5,2019년 12월 6일,no_answer,네... '타다 금지법'이 통과되기 직전이네요... 하지만 1년 6개월은 더 이용할 수 있다고 하니까 그 때 까지는 꾸준히 이용하겠습니다... 응원할게요...♡,no_answer
임윤성,5,2019년 12월 14일,no_answer,아직은 배차가 적어서 잘 안잡히는 것 같았지만 승차 거부도 없고 친절하게 와서 좋았습니다. 타다 창설 이래 가장 큰 위기인데 잘 극복해 나가길 바랍니다.,no_answer
서현태,5,2019년 10월 6일,no_answer,"택시와의 차이점이 확연히 보입니다. 1. 자동결제로 빠른 승,하차 2. 친절한 기사분들 (손님이 먼저 말걸지 않는이상 운전에 집중하심) 호기심 많은 질문들에도 친절히 답변해주심. 차량내 온도 조절과 크지않게 조절해두신 스피커 볼륨. 3. 택시처럼 무리한 운전이 없으심. 가장 편안하게 안전운전 하시는 모습이 보기좋음. (택시를 탑승했을땐 빠르게 운전하시려는 모습때문에 가는 내내 불편하지만, 타다는 여유롭게 이동하고 싶은 마음에 자주 이용하게됨. ) 물론 모든 택시가 그렇다는건 아닙니다 4. 가격이 탑승인원 3명이하라면 택시가 가성비 좋게 느껴지지만, 최대 승차인원 4명인 택시에 비해 탑승 가능인원 평균 7명 4~5명이상 탑승시 택시와 가격이 별반 차이없는듯 택시 2대 나눠타는것 보다 7명이 한대로 타고 가는점이 금액면이나 편안함이나 더좋은듯 합니다. 현재 서울에서만 서비스 되는게 아쉬울 정도. 현재까지 총 4번 이용해보았지만 기사님 4분들에 대한 평점 5점 만점으로 만족스럽습니다.",no_answer
영현조,5,2019년 12월 28일,no_answer,없어지지마라진짜ㅠㅠ,no_answer
Youngchan Lee,5,2019년 12월 28일,no_answer,친절하고 편안합니다. 귀국시 연착되었는데도 불편한 기색 없었고 추가 요금도 요구하지 않았습니다. 적극 추천합니다.,no_answer
So-young Kim,5,2019년 12월 28일,no_answer,좋아요,no_answer
가즈아,5,2019년 12월 28일,no_answer,제발없어지지마라제발,no_answer
원미경,5,2019년 12월 27일,no_answer,늘 아이와 편안히 안심하고 탈 수 있어서 좋아요.,no_answer
안석현,5,2019년 12월 27일,no_answer,타다 영원하라,no_answer
shfksskah,5,2019년 12월 26일,no_answer,승차감도 좋고 운잔자분들도 친절하세요,no_answer
meme so,5,2019년 12월 26일,no_answer,가성비를 논할거면 그냥 대중교통을 타고 다니시길.. 기존 택시 요금보다 비싸게 느껴질 수는 있지만 솔직히 다 이유가 있다고 생각함. 그리고 타다 이용했을때 택시보다 더 저렴한 가격으로 나온적이 훨씬 많습니다. 원래 이용하던 타 택시앱은 자꾸 일반요금 아니라 높은 요금대 리스트 위에 띄워놓고 이용하도록 유도하는데 타다보다 더 많이 나올때도 많고 잘 잡히지도 않아요. 강쥐 데리고 탄 적도 있는데 타다는 기사님들이 진짜 편안하고 반갑게 맞이해주심.. 여러명 탈때 타다 진짜 좋고 정직하게 운행하시니까 넘 좋아요. 타다 응원합니다!,no_answer
김영복,5,2019년 12월 25일,no_answer,아주 좋아요,no_answer
권재연,5,2019년 12월 25일,no_answer,저는 아기엄마입니다. 타다 생긴이후로는 타다만타요ㅎㅎ 너무 친절하시고! 항상 벨트체크확인후 출발하시구 아기가 있으니 운전 천천히 하시겠다고 해주시고 너무나 고맙고 감사해용♡ 타다 사랑합니다!!!!,no_answer
서스테이시,5,2019년 12월 25일,no_answer,만족도 넘 좋은 서비스에요~!!! 정확하게 합법화해주세요~!!!,no_answer
정한나,5,2019년 12월 24일,no_answer,항상 만족하며 타고 있습니다.,no_answer
박기량,5,2019년 12월 24일,no_answer,진짜 최고의 기사님들. 최고의 환경,no_answer
DONGWOOK KIM,5,2019년 12월 24일,no_answer,정말 좋은 서비스 입니다,no_answer
78youin,5,2019년 12월 24일,no_answer,굿,no_answer
Google 사용자,1,2019년 12월 24일,no_answer,타다택시가 짱 한국택시 몽땅 타다택시가 해주세요,no_answer
Go Mamaroo,5,2019년 12월 24일,no_answer,타다 늘 잘 이용하고있습니다 :),no_answer
Eric Park,5,2019년 12월 24일,no_answer,진짜 너무 편하고 다들 친절하십니다,no_answer
Jinhyo Koo,5,2019년 12월 24일,no_answer,항상 감시합니다,no_answer
안녕안녕,5,2019년 12월 24일,no_answer,타다 이용하는거 편리하고 좋아요!,no_answer
김형석,5,2019년 12월 23일,no_answer,good.forever,no_answer
치킨양념,1,2019년 12월 23일,no_answer,잘 안잡힘ㅃ2,no_answer
김수연,5,2019년 12월 23일,no_answer,"타다 처음 이용했는데 깔끔하고 승차거부도 없고 집까지 매너 있게 데려다 주셨어요 택시보다 1,2천원 더 낸 보람이 있었어요 앞으로 기존세력에 지지말고 꿋꿋히 이겨주세요 응원합니다...!!",no_answer
김준우,5,2019년 12월 21일,no_answer,타다 이후로는 택시 안탑니다,no_answer
Neople,5,2019년 12월 21일,no_answer,타다 조아용 오홍홍,no_answer
Cheol Woo Jeong,5,2019년 12월 20일,no_answer,굿,no_answer
약먹자,5,2019년 12월 20일,no_answer,늘 잘쓰고 있습니다,no_answer
조수영,5,2019년 12월 20일,no_answer,이좋은걸 왜 없애려고 하는지,no_answer
Byung Jun Kim,5,2019년 12월 20일,no_answer,타다가 없어지면 저 같이 택시에게 소외받는 지역에 사는 사람은 밤 늦게 집에 갈 방법이 사라집니다. 타다 화이팅!,no_answer
최지혜,5,2019년 12월 19일,no_answer,타다 정말좋아요 :),no_answer
Jiwon Kim,5,2019년 12월 18일,no_answer,타다 없어지면 안돼요ㅠㅠ 어린아가데리고 택시 타기 힘듭니다.,no_answer
이희진,5,2019년 12월 18일,no_answer,진짜 제가 탄 타다는 늘 친절하시고 승차거부도 없고 짧은 거리나 아이랑 차도 눈치 안보이고 중간에 들렸다 가도 너무 친절하게 다 기다려주시고요 차안도 택시보나 넓어 아이들 가방이며 이것저것 잔 짐 많아도 좋고 타다 타다가 다른거 못타겠어요 너무 좋은데 없어지지 않았음 좋겠어요 ㅜㅜ,no_answer
따꿍이,5,2019년 12월 18일,no_answer,병원에서 집으로 가는길에 택시를 타기는 애매한 거리라 타다를 이용했는데 환자분일거 같아서 의자시트를 따뜻하게 덮혀 놓으셨다는 말을듣고 감동받았어요 택시타면 가까운데 간다고 욕만먹었는데 타다 깨끗하고 친절하고 번창하세요,no_answer
홍승범,5,2019년 12월 18일,no_answer,이동이편리해서좋아요,no_answer
김보라,5,2019년 12월 17일,no_answer,한번타면 타다만타게되네요 친절하시고 너무좋아요,no_answer
SH Tae,5,2019년 12월 17일,no_answer,택시보다 타다가 더 편하고 쾌적하고 좋습니다 저는~,no_answer
이상근,5,2019년 12월 17일,no_answer,굿굿,no_answer
Hyorim Han,5,2019년 12월 16일,no_answer,아주좋음 매우친절,no_answer
jieun kwon,5,2019년 12월 16일,no_answer,편리함 ㅎㅎㅎ 타다 +지하철 조합만 이용중,no_answer
김현준,5,2019년 12월 16일,no_answer,믿음직한 교통수단! 타다 없애면 믿고 탈만한 수단이 없어요!,no_answer
fake account,5,2019년 12월 15일,no_answer,"진짜, 이걸 없앤다니. 말도 안된다.",no_answer
김지은,5,2019년 12월 15일,no_answer,최고의이동수단,no_answer
최세열,1,2019년 12월 14일,no_answer,운전 좀 그지같이 하지 마라.,no_answer
Juseong Lee,4,2019년 12월 14일,no_answer,타다 좋아요!!,no_answer
신용석,5,2019년 12월 14일,no_answer,최고입니당,no_answer
임윤성,5,2019년 12월 14일,no_answer,아직은 배차가 적어서 잘 안잡히는 것 같았지만 승차 거부도 없고 친절하게 와서 좋았습니다. 타다 창설 이래 가장 큰 위기인데 잘 극복해 나가길 바랍니다.,no_answer
tora yoko,1,2019년 12월 14일,no_answer,손절 졸라 빠르네...근성없는.,no_answer
김영문,5,2019년 12월 14일,no_answer,편하다,no_answer
송정우,1,2019년 12월 13일,no_answer,타다 기사로서 어플때문에 욕먹기도 지겹습니다. 제발 대기 시간 뜨는거 개선하셔서 제 네비와 같은 도착시간을 고객도 볼 수 있게 하시던지 아니면 차라리 대기시간 숫자를 없애고 기사분께 전화하는 쪽으로 유도하십시오. 고객분들 전화 얼마든지 걸으셔도 친절하게 응대해드릴테니 제발 이상한 대기시간 보게 해서 고객분들 추운데 미리 나가서 기다리게 하지 마십시오.,no_answer
Jay Ha,1,2019년 12월 13일,no_answer,이거 가입문자가 왜 안옴?,no_answer
윤원의,5,2019년 12월 12일,no_answer,너무 편함,no_answer
고병우,5,2019년 12월 12일,no_answer,차가 더 많아지면 좋겠습니다.,no_answer
yada4089,5,2019년 12월 12일,no_answer,최고에요,no_answer
유미영,5,2019년 12월 12일,no_answer,너무 편해서 좋아요,no_answer
김혜선,5,2019년 12월 12일,no_answer,정시도착해서 편리해요.,no_answer
이태영,5,2019년 12월 11일,no_answer,친절하고 감사해요,no_answer
불루데블스,5,2019년 12월 11일,no_answer,편하고 깨끗해요 내가 서비스를 받고있다는 기분이 들어요,no_answer
돈도토리,5,2019년 12월 11일,no_answer,편하고 친절하시고 깨끗하고 너무 좋아요,no_answer
lshn1024,5,2019년 12월 11일,no_answer,타다최고!!,no_answer
아무나,1,2019년 12월 11일,no_answer,아~ 진짜 당신들 사업하는데 살려달라고 문자보내는건 선을넘은거 아닌가요? 어떤 렌터카 회사에서 그딴 문자를 발송하나요? 택시기사 아니고 타다 이용자 입니다,no_answer
정의의사자,1,2019년 12월 11일,no_answer,너무불편해요앞으로택시이용해야겠어요,no_answer
minji woo,5,2019년 12월 11일,no_answer,타다 덕분에 일반 택시 운전기사님들도 예전보다 많이 친절해 지셨어요ㅋㅋㅋㅋ,no_answer
나나,5,2019년 12월 11일,no_answer,타다는 있어야한다고 생각해요보험만적용되면 좋겠어요,no_answer
Minkyu Park,5,2019년 12월 11일,no_answer,최고의앱,no_answer
Sogi,5,2019년 12월 10일,no_answer,타다금지법이 생기지 않기를 바라요,no_answer
Hansol Yoon,5,2019년 12월 10일,no_answer,타다는 계속되어야 합니다,no_answer
jin ko,1,2019년 12월 10일,no_answer,없어져라,no_answer
응삐쇼,5,2019년 12월 10일,no_answer,타다화이팅♡♡♡,no_answer
임해리,5,2019년 12월 10일,no_answer,편리합니다. 더 좋은 서비스 제공을 위해 힘써주세요.,no_answer
균우정,1,2019년 12월 10일,no_answer,뭔데단체문자보내냐 성명?불법이 아주 별짓을다하네,no_answer
임선용,1,2019년 12월 10일,no_answer,법은 지키면서 서비스 하세요. 우버도 타다도 참 편하게 썼지만 법 무시하고 나만 혁신이니 따르라는 마인드로 하는 사업에 돈 쓸 생각 없습니다...,no_answer
Suh Vincent.W.S.,5,2019년 12월 10일,no_answer,지지합니다,no_answer
흑마법사,5,2019년 12월 10일,no_answer,타다법 반대,no_answer
조은비,5,2019년 12월 10일,no_answer,GPS만 조금 불안정해서 그렇지 서비스 자체는 너무 좋음,no_answer
이효진,5,2019년 12월 10일,no_answer,승차감도 편안하고 안전운전에 실시간 위치 공유 할수 있어서 좋아요!!,no_answer
Syel Park,5,2019년 12월 9일,no_answer,절대 없어지면 안되는 대체불가 서비스,no_answer
이채원,5,2019년 12월 9일,no_answer,응원합니다,no_answer
김재창,1,2019년 12월 9일,no_answer,경기광주 확장좀... 오포도 안되니 원...,no_answer
seoeun kim,4,2019년 12월 9일,no_answer,티맵 바꾸시면 안되여? 경로가 안맞아서 기사님이랑 계속 엇갈려요ㅜ,no_answer
엔젤다크,5,2019년 12월 9일,no_answer,좋아요,no_answer
Hyungsuk Choi,5,2019년 12월 9일,no_answer,이거 불법 만들면 세금 안낼꺼임,no_answer
도윤호,5,2019년 12월 9일,no_answer,흥하길,no_answer
한희진,5,2019년 12월 8일,no_answer,매우좋음 안없어졌으면 좋겠다. 렌트로 안바꼈음 좋겠다,no_answer
이혜진,5,2019년 12월 8일,no_answer,"정말 최고라고 생각하는 서비스중 하나입니다, 일반택시는 타기도 싫고, 자차 있어도,,아이와 타다만 애용하는데 ㅠ 제발 좋은소식 들리면 좋겠어요, 서비스도 좋고 쾌적하고 편리하고, 아이도 정말 좋아합니다,,타다, 앞으로도 쭉 있어주세요 ㅠ",no_answer
박찬우,5,2019년 12월 8일,no_answer,너무 좋고 넓은 차 덕분에 많은 인원이 한꺼번에 잘 왔어요,no_answer
허혜영,5,2019년 12월 8일,no_answer,굳 지금처럼만,no_answer
Doffy Smith,5,2019년 12월 8일,no_answer,정말 좋다 불친절과 비인간적인 택시가 제발없어지고 타다만 있었으면 좋겠다 이게 왜 금지되냐,no_answer
Nu Nu,5,2019년 12월 8일,no_answer,타다 너무 편리하고 좋습니다ㅜㅜ 없어지지말고 꼭 오래오래 있어주세요ㅠㅠ!!!!,no_answer
새벽하늘,5,2019년 12월 7일,no_answer,타다 너무 편리하고 좋아요,no_answer
음식악평가,2,2019년 12월 7일,no_answer,시간에 따른 요금을 알고 싶습니다. 20분정도 걸려서 1.15배에 2.3킬로 움직였는데 8800원 나왔습니다. 정확한 요금에 대한 정보는 고지해야하지 않을까요.,no_answer
JK Yeo,5,2019년 12월 7일,no_answer,좋아요~,no_answer
최재형,5,2019년 12월 7일,no_answer,택시보다 편해요,no_answer
노무노무쿤,1,2019년 12월 7일,no_answer,이제 타다 못 탈 것 같아요 ^^ '몰카'사건도 그렇고 ...너무 오래기다리고 요금은 항상 x.xx배 받아먹고 ^^ 마치 택시를 민영화시키려는 수단으로 보입니다 ^^ 그리고 안잡히는 날에는 안잡히더라고요 ^^ 운전은 안전한게 아니라 답답할정도 ^^ 너무 느려 터졌어요 이래서 택시사납금이란게 존재하는것같습니다 월급제먄 한명이라도 덜태우려는 목적이 보이니^^ 천천히 가겠죠 아에 크루즈키고 편하게 쭉달리던데 ^^ 기사님 뒷통수 후려치고싶었어요 ^^ 액셀좀 쳐 밟지,no_answer
Hyungjin moon,5,2019년 12월 7일,no_answer,다좋은데 편의땜에 그런지 느림ㅋㅋ 안전운행도 좋지만 조금 빨리다녀주셨으면..ㅋㅋ,no_answer
Semi-Expert comm.,5,2019년 12월 7일,no_answer,택시 안잡히는데 타다 덕분에 집에 겨우 왔습니다. 타다 금지법 철회 요청,no_answer
고대승,5,2019년 12월 6일,no_answer,엄청편하고 안전하고 친절합니다,no_answer
단차,5,2019년 12월 6일,no_answer,국회가 후퇴되는 법안만 ㅉㅉ 타다 비싸져도 쓸게요~1년 6개월 아니라 16년 버팁시다!,no_answer
고니고니 TV,5,2019년 12월 6일,no_answer,택시보다 훨씬나은데 왜 이걸 못잡아먹어서 난리야??,no_answer
이동희,5,2019년 12월 6일,no_answer,없어지면.. 다시 택시 이용해야하나.. 싫다..,no_answer
꽁짜TV freeTV,5,2019년 12월 6일,no_answer,타다 잘데라~!,no_answer
Seulgi Jeong,5,2019년 12월 6일,no_answer,네... '타다 금지법'이 통과되기 직전이네요... 하지만 1년 6개월은 더 이용할 수 있다고 하니까 그 때 까지는 꾸준히 이용하겠습니다... 응원할게요...♡,no_answer
go yashiro,5,2019년 12월 6일,no_answer,타다 망하는건가 미친 문재앙 잡놈 택시노조가 다해달라는데로 해주네,no_answer
Sangduk Suh,5,2019년 12월 6일,no_answer,반드시 있어야 하는 서비스. 정치인들은 반성하라.,no_answer
로로,5,2019년 12월 6일,no_answer,4명이서 분당에서 서울 여러곳 거쳐 잘 왓습니다. 택시는 여러곳에 안내려주고 짜증내ㄴ고 눈치주는데 친절하셔서 너무 좋았어요. 이 놓은 걸 왜 없앤다는건지 ㅠㅠ,no_answer
Google 사용자,5,2019년 12월 6일,no_answer,대한민국 정부는 타다를 살려달라..,no_answer
이상규,5,2019년 12월 5일,no_answer,서울역에서 막차 끊겨서 반조난 상태였던 저를 살려줬어요.,no_answer
Mido Eunbit Jang,5,2019년 12월 4일,no_answer,대한민국 최고의 모빌리티 서비스,no_answer
kill sky,1,2019년 12월 4일,no_answer,참 서비스 왜 이용 하는지? 했다가 욕나오는 서비스 접던가 아님 교육을 하던가 기사님 기분따라 이용하는 승객 기분 생각 하지 않는 이 서비스 왜 해요? 그러면서 왜 싸우는지 ㅋㅋ 분기위 좋다 xx 타다 서비스 땜시 망쳤다 xxx,no_answer
개꿀밥한공기뚝딱,1,2019년 12월 4일,no_answer,지역이 부족함,no_answer
Miyeon Kim,5,2019년 12월 4일,no_answer,마음과 몸이 모두 편한 행복한 시스템입니다,no_answer
j kim,5,2019년 12월 4일,no_answer,택시보다 타다,no_answer
Kay,5,2019년 12월 3일,no_answer,소비자가 안전하고 편안하게 이동할 권리를 찾아준 타다! 힘내세요 :),no_answer
MJ JO,5,2019년 12월 3일,no_answer,나는 타다 항상 만족.,no_answer
ga ag,3,2019년 12월 3일,no_answer,비번맞는데틀리다고탈퇴가안되요,no_answer
훈-hun,1,2019년 12월 3일,no_answer,"타자마자 기사분이 근무시간 다됐는데 배차됐다며 성질에 막말에 이런 어이 없는 상황은 첨 격어봅니다 그럼 배차취소 하라고 했더니 ""그냥 가여"" 하며 개 어이없는 반응........ 초반엔 괜찮게 보였으니 요즘엔 완전 엉망인듯 합니다 완전 관리가 안되는거 같네요",no_answer
