user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
Han Kyu Choi,3,2019년 12월 18일,2019년 12월 20일,출장시 이용중인데 가격부분에서는 만족하고 사용중입니다. 다만 어플이나 홈페이지를 통해 영수증 출력이 안됩니다. 영수증을 받으려면 고객센터에 전화해서 목적까지 설명을 해야 받을수 있는 큰 단점이 있습니다. 또한가지는 조식선택에 있어서 1인 선택은 없다는 점이 있습니다. 울며겨자먹기로 2인 조식선택을 하고 결제합니다. 이두가지는 꼭 수정되어야할 부분이라 생각합니다.,no_specific_comment,answer
Soul Ahn,1,2019년 12월 20일,no_answer,"크리스마스 숙박예약을 몇날몇일 검색하고 리뷰보면서 가장 가성비좋은곳으로 12월초에 미리 예약했는데 해당모텔 리모델링으로 취소한다고 20날 연락을 주다니... 4일남겨놓고 너무 황당해 말이 안나옴, 결제금액의 20%를 더 보상해준다고하는데 그 가격대로는 이제 예약할수도 없음. 무조건 취소하고 무조건 죄송하다면 끝나는 업체 야놀자는 고객보다는 숙박업체 입장에 서있는거 같네요 평일도 아니고 특수일에 일방적으로 이렇게 취소당하니 열받네요~ 이런 숙박업체 걸르고 보상기준 제대로 마련하시오!",no_specific_comment,no_answer
박호준,2,2019년 12월 15일,2019년 12월 16일,어플 실행시 광고가 나오고나서 몇초 안되는 사이에 흰색화면이 오른쪽에서 슬라이드로 나타나더니 뒤로가기도 안 되고 화면 터치도 안 먹혀서 어플을 끌 수 밖에 없습니다 물론 다시 켜도 똑같이 반복되구요 갤럭시 s7입니다,no_specific_comment,answer
이동민,1,2019년 12월 16일,2019년 12월 17일,야놀자 쓰시려는분들 참고바랍니다. 야놀자는 11/25일에 12월31일 입실하도록 예약완료도됐고 결제도 됐는데 12월/16에 중복예약됐다고 환불하면서 취소하는 곳입니다. 확인하는데 무슨 20일이 넘게 걸립니까? 이제와서 다른날도아니고 12/31일 입실할 숙소를 이런식으로 처리하면 어쩌자는거죠? 이제와서 그럼 어쩌냐고하니까 예약규정에 그렇게 나와있다고 어쩔수 없다고만 말하네요. 예외규정에 나와있죠 그럼 그 규정대로라면 업주가 맘대로 핑계대면 끝인거네요? 소비자에대한 보호규정은 하나도 없고? 그런데 사용자 사정상 취소규정은 그렇게 까다롭...전체 리뷰,야놀자 쓰시려는분들 참고바랍니다. 야놀자는 11/25일에 12월31일 입실하도록 예약완료도됐고 결제도 됐는데 12월/16에 중복예약됐다고 환불하면서 취소하는 곳입니다. 확인하는데 무슨 20일이 넘게 걸립니까? 이제와서 다른날도아니고 12/31일 입실할 숙소를 이런식으로 처리하면 어쩌자는거죠? 이제와서 그럼 어쩌냐고하니까 예약규정에 그렇게 나와있다고 어쩔수 없다고만 말하네요. 예외규정에 나와있죠 그럼 그 규정대로라면 업주가 맘대로 핑계대면 끝인거네요? 소비자에대한 보호규정은 하나도 없고? 그런데 사용자 사정상 취소규정은 그렇게 까다롭고? 환불은 또 3일은 걸린다네요? 이제 어플 예약해두고도 내가 숙소에 전화해서 계속 확인받으며 증거남겨야 하는거네요? 그래도 업주가 취소하면 규정상 어쩔수없는건가요? 저희만 가는게 아니라 다른분들 31일 휴가 써둔상태인데 19년의 끝과 20년의 시작을 참 좋게 시작하게 해주네요. 생각할수록 화가나고 중요한날 방 예약도 못하겠네요ㅡㅡ,answer
이상일,5,2019년 12월 21일,no_answer,좋다!!,no_specific_comment,no_answer
김정원,5,2019년 12월 21일,no_answer,👍👍👍👍👍👍👍👍👍👍👍👍,no_specific_comment,no_answer
앵글이,5,2019년 12월 21일,no_answer,안써봤음 글도착지마셈!!♥,no_specific_comment,no_answer
승민이,5,2019년 12월 21일,no_answer,할인 굿,no_specific_comment,no_answer
김지수,5,2019년 12월 21일,no_answer,애용하고있습니다,no_specific_comment,no_answer
TaeJong Yoo,5,2019년 12월 21일,no_answer,원하는 조건의 객실을 빠르게 검색 비교할수있어좋아요 결제도 페이로 간단하게 되니 좋아요,no_specific_comment,no_answer
김태현,5,2019년 12월 21일,no_answer,좋아요,no_specific_comment,no_answer
김수민,5,2019년 12월 21일,no_answer,차이프로모션 짱짱 너무좋아요,no_specific_comment,no_answer
정인태,5,2019년 12월 21일,no_answer,굳구득ㆍㄷ편해요,no_specific_comment,no_answer
김수진,3,2019년 12월 21일,no_answer,상세하고 깔끔하게 구성되어있어요 숙박업체가 더 있었으면~,no_specific_comment,no_answer
심재연,5,2019년 12월 21일,no_answer,조아조아조아조아요,no_specific_comment,no_answer
김슬기,5,2019년 12월 21일,no_answer,어디놀러갈때마다 항상쓰는앱-! 너무좋아요,no_specific_comment,no_answer
김상준,5,2019년 12월 21일,no_answer,좋음,no_specific_comment,no_answer
김동환,5,2019년 12월 21일,no_answer,"간편,저렴",no_specific_comment,no_answer
김김태훈,5,2019년 12월 21일,no_answer,잘 사용중~,no_specific_comment,no_answer
박지현,4,2019년 12월 21일,no_answer,할인혜택과 쉽고 알기쉬운 정보들을 제공해서 사용하기 좋음,no_specific_comment,no_answer
뽀시래기,5,2019년 12월 21일,no_answer,많아요,no_specific_comment,no_answer
이석우,5,2019년 12월 21일,no_answer,너무편해요~,no_specific_comment,no_answer
송인혁,5,2019년 12월 21일,no_answer,편하고 좋음,no_specific_comment,no_answer
30 Seconds Travel,5,2019년 12월 21일,no_answer,굿굿,no_specific_comment,no_answer
