user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
RoMeo yoon,4,2019년 12월 21일,no_answer,"다 좋은데 쿠폰이라던가 너무 뭐가 없네요. 합병으로 인한 독과점 문제로 앞으로 어찌 운영해 나가실지 기대됩니다... 즉, 이를 견제할 새로운 배달앱들이 생겨야 경쟁이 되기 때문에 이용하는 사람들에게 혜택과 더불어 질좋은 서비스가 될거라 생각합니다. 배달앱으로 인해 배달해주시는 분들 신호위반은 기본에 빠른 속도로 위험하게 운전하는게 현실입니다. 배달해 주시는 분 입장에서는 어쩔 수 없는 경우가 많은거 언론에서 봤습니다. 배달해 주시는 분들도 문제이긴 하지만... 배달앱의 무책임함이 더 크다 생각합니다. 그리고 대한민국 사람들도 이제 ...전체 리뷰","다 좋은데 쿠폰이라던가 너무 뭐가 없네요. 합병으로 인한 독과점 문제로 앞으로 어찌 운영해 나가실지 기대됩니다... 즉, 이를 견제할 새로운 배달앱들이 생겨야 경쟁이 되기 때문에 이용하는 사람들에게 혜택과 더불어 질좋은 서비스가 될거라 생각합니다. 배달앱으로 인해 배달해주시는 분들 신호위반은 기본에 빠른 속도로 위험하게 운전하는게 현실입니다. 배달해 주시는 분 입장에서는 어쩔 수 없는 경우가 많은거 언론에서 봤습니다. 배달해 주시는 분들도 문제이긴 하지만... 배달앱의 무책임함이 더 크다 생각합니다. 그리고 대한민국 사람들도 이제 인식을 바꿀 필요가 있습니다. 웃긴 건 본인들이 운전할 땐 배달 오토바이들 위험하게 운전하면 욕하고 크락션 울리면서 집에서 배달 시키면 배달 늦게 온다고 난리~~이런 이중성이 있기에 모두가 책임을 갖고 개선해 나갔음 좋겠네요.",no_answer
foxandmy,4,2019년 12월 20일,no_answer,생각보다 편리하고 좋음... 하지만 가끔 쓰는거면 쿠폰도 별로 없고... 포인트도 잘 안 쌓임... 그리고 리뷰나 메뉴만 보고 시켯다가 실패한 곳도 좀 있지만 가끔 꿀맛인 가게도 있어서 가끔 모험삼아 시켜보게 되기도 합니다 ㅎ 그러나 음식 리뷰 남기는게 글자수가 좀 적어서 리뷰를 상세히 못 적어요;,no_specific_comment,no_answer
Tero Bot,2,2019년 12월 24일,2019년 12월 25일,"최근 UI 바꾸셨는데, 감도가 엄청 구려요. 옆으로 넘길려면 아이콘 꾹누르고 일자로 밀어야 넘겨야하는 수준이라서 답답해요. 기존의 버튼식으로 롤백 하던지, 패치해서 개선했으면 좋겠어요.",no_specific_comment,answer
김광일,2,2019년 12월 14일,2019년 12월 23일,먼가 문제 있습니다 어플이 문제가 있다는게 아니고 보세요 일정금액이상이면 배달료을 안받던가 아니면 최소주문금액이 없어지던가 해야하는거 아닌가요? 먼 대부분 최소 금액이 15000원~20000원인곳이 많고 고기파는곳은 25000이상인 곳이 많은데 혼자 사는사람들이 어플 많이 이용할껀데 분식집에 시키는데 최소금액 15000원? 김밥 한줄 2500원 생각하면 최소 6줄 시켜 먹어야되나요? 그리고 거기에 배달 요금 추가 이게 먼가요? 최소금액이 사라지던가 배달 요금이 사라지던가 해야한다고 생각합니다,no_specific_comment,answer
김창기,5,2019년 12월 25일,no_answer,편리하고 빠르고 리뷰도 볼수있어서 좋아요~,no_specific_comment,no_answer
손민해,5,2019년 12월 25일,no_answer,잘시켜서 잘먹는중이예요ㅋ,no_specific_comment,no_answer
케츠,5,2019년 12월 25일,no_answer,좋음,no_specific_comment,no_answer
류기춘,5,2019년 12월 25일,no_answer,편해요,no_specific_comment,no_answer
이상훈,3,2019년 12월 25일,no_answer,걍~~그럭저럭,no_specific_comment,no_answer
DW Various,5,2019년 12월 25일,no_answer,괜찮아요 좋아요,no_specific_comment,no_answer
