user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
우랄라대마왕,5,2020년 3월 25일,no_answer,항상 편하게 잘이용하고있습니다. 다만 쿠폰제도 문제가 있다고 생각해요 이달 주문 건수가 20건 일경우.. 다음달 쿠폰 받으려면 20건 이상 주문을해야하고 또 그 다음달 쿠폰을 받으려면 주문수가 누적되서 더늘어나고.. 주문을 많이 이용하는 고객이 더 분리하고 손해인 부분인데 이렇게 하는 의미가 있나요? 아니면 쿠폰 받자고 한달간 주문을 적게 해야하나요... 개인적인 의견으론 쿠폰제도를 매달 10건이던 15건 이던 기본수량 만큼 매달 리셋되도록 하고 그이상 주문량에 따라 쿠폰해택을 볼수있게 해야하는게 맞다고봅니다 검토부탁드려요,no_answer
김재헌,5,2020년 3월 26일,2020년 3월 27일,👍정말 좋아요👍 배달도 완전 빠르고 할인까지! 크.. 이렇게 좋은앱이 이제야 나온게 아까울 정도네요! 진짜 첫주문 할때 할인 할인쿠폰으로 할인 크... 정말 요기요 개발자들 진심으로 감사드리고 정말로 감사드립니다👍👍,answer
봄나비,2,2020년 3월 15일,no_answer,현장에서 직접 카드나 현금 결제시 아무런 혜택이 없더군요. 받은 쿠폰은 많으나 쓸모는 없고. 페이*으로만 결제를 해야만 이용가능하다니 현금결제해도 뭐 하나 깎아주거나 이벤트 해주는것도 없는데 그런건 좀 개선해야되지 않나요? 쿠폰은 왜 주는것임? 쓰지도 못할걸,no_answer
sujiniii036 S,1,2020년 3월 23일,no_answer,카드 결제 할때 자꾸 튕겨요. KG이시니스에서 해당카드앱 최종결제 완료 뜨고 요기요 앱 완료로딩 되다가 다시 KG이시니스로 결제창이 넘어와서 이번에만 6번이 빽 당하고 저번에는 5번 빽당했어요. 그래서 네이버로 했어요,no_answer
김선청,5,2020년 3월 30일,no_answer,혼자사는사람이나 같이 사는 사람들한테는 유용한 어플이고 맛있어요,no_answer
서유영,5,2020년 3월 30일,no_answer,"사랑해요, 이벤트 많이 열어주세용",no_answer
황혜수,5,2020년 3월 30일,no_answer,좋아요.,no_answer
김기대,5,2020년 3월 30일,no_answer,최고입니다.,no_answer
이성훈,5,2020년 3월 30일,no_answer,편리하네요,no_answer
YC S,1,2020년 3월 29일,no_answer,배달 라이더들 좀 똑바로 교육시키세요,no_answer
박재훈,5,2020년 3월 29일,no_answer,편해요~ 집 밖은 위험해 ㅋㅋ,no_answer
위즈,1,2020년 3월 29일,no_answer,"사용하지맙시다. 독일에서 빨대꼽기로 고객,업주,배달원 모두를 괴롭힙니다.",no_answer
도목,3,2020년 3월 29일,no_answer,짱,no_answer
강진원,5,2020년 3월 29일,no_answer,언제나 먹어도 강추입니다^^양많고 맛나요,no_answer
나동이루이,4,2020년 3월 29일,no_answer,늘 편리하게 사용중요~굿,no_answer
주선영,5,2020년 3월 29일,no_answer,편리해서 좋아요,no_answer
LEE창민,5,2020년 3월 29일,no_answer,간편하고 깔끔하게 정리되서 주문하기 쉬어요,no_answer
조현준,5,2020년 3월 29일,no_answer,배달앱은 요기요~ 항상 잘쓰고있습니다,no_answer
정훈,4,2020년 3월 29일,no_answer,편리,no_answer
안정운,4,2020년 3월 29일,no_answer,좋습니다,no_answer
하성호,3,2020년 3월 29일,no_answer,굿,no_answer
박철우,5,2020년 3월 29일,no_answer,편해요,no_answer
임지호,3,2020년 3월 29일,no_answer,배달이 조금 늦어요☆☆☆☆☆,no_answer
kim준수,5,2020년 3월 29일,no_answer,^^만나게요,no_answer
Sang-Hyuk JOO,5,2020년 3월 29일,no_answer,너무 좋아요!,no_answer
이용철,3,2020년 3월 29일,no_answer,약간 부족한 느낌,no_answer
몽이,3,2020년 3월 29일,no_answer,없는 업체가 많음... 수수료가 많이 들어서 그러는지...,no_answer
김정후,5,2020년 3월 29일,no_answer,좋다,no_answer
민안드레아,5,2020년 3월 29일,no_answer,등급떨어지는건 정말아쉽지만 전요기요만씁니다,no_answer
Soohwan Cho,2,2020년 3월 29일,no_answer,배달취소가 너무복잡해요,no_answer
Seungjin Na,4,2020년 3월 29일,no_answer,쿠폰 제공 활성화,no_answer
정순애,5,2020년 3월 29일,no_answer,넘 배달하기 편해요,no_answer
hyun no,5,2020년 3월 29일,no_answer,최고 입니다.,no_answer
차바,5,2020년 3월 29일,no_answer,조아요~~,no_answer
hayeon kim,4,2020년 3월 29일,no_answer,굿굿,no_answer
지리,4,2020년 3월 29일,no_answer,다좋은데 만나서 현금결제가없어서 아쉽네요ㅠㅠ 그래서 별4개드립니다... 남나서 현금결제가있으면 좋겠습니다,no_answer
이종명,3,2020년 3월 29일,no_answer,편리한기능!,no_answer
Yun윤경식,5,2020년 3월 29일,no_answer,배달안됨 쓰레기,no_answer
황영란,5,2020년 3월 29일,no_answer,이벤트도 다양하고 좋아요 ㅎㅎ,no_answer
김봉준,5,2020년 3월 29일,no_answer,주문도 편하고 1인분도 배달되니 아주 잘사용하고 있네요~ 좋아요~,no_answer
Oyattree,5,2020년 3월 29일,no_answer,편하게 주문하고 있어요,no_answer
김철,5,2020년 3월 29일,no_answer,아주 좋아요,no_answer
Chloe P.,3,2020년 3월 29일,no_answer,식당에 메뉴 담아놓은게 없어지지않으면 좋겠습니다,no_answer
Up전설의,1,2020년 3월 29일,no_answer,그닥 문재앙같음,no_answer
JooHun LEE,4,2020년 3월 29일,no_answer,좋아요,no_answer
구정화,5,2020년 3월 29일,no_answer,이런 신세계를 이제 접했네요. 항상 집밖으로 나가 먹었는데 집에서 배달이 이렇게 많은 종류가 될 수 있는지 이제 알았어요. 정말 좋네요,no_answer
최윤숭,5,2020년 3월 29일,no_answer,가끔 할인해줘서 좋은데 등급이 매달 달라져서 등급이 왜 있는지를 모르겠어요.. 많이 안시켜먹는정도는 아닌데 적어도 몇달은 유지시켜줘야지 한달마다 바뀌면 등급올려봤자뭐해요 그럼 시켜먹는만큼 이득도 없고,no_answer
오상우,4,2020년 3월 29일,no_answer,나름 타지에서 혼자쓰기에는 좋은 편인거같네요. 배민 보다는 종류가 많아서 좋아요,no_answer
이주희,3,2020년 3월 29일,no_answer,배달이 빠른곳은 빠른데 리뷰평 믿고 시키기에는 반반이네요.가까운곳도 배달비가 비싸서 좀 그러네요,no_answer
박상섭,4,2020년 3월 29일,no_answer,편리하네요^^,no_answer
아르고,1,2020년 3월 29일,no_answer,사용할수록 메리트가 떨어짐....,no_answer
두아들TV,5,2020년 3월 29일,no_answer,잘쓰고 있어요,no_answer
김지용,5,2020년 3월 29일,no_answer,Rme,no_answer
윤여현,5,2020년 3월 29일,no_answer,슈퍼클럽이 있어서좋아요~,no_answer
이후범,5,2020년 3월 29일,no_answer,좋습니다,no_answer
김기훈,5,2020년 3월 29일,no_answer,잘 쓰고 있어요 좋아요,no_answer
황정연,5,2020년 3월 29일,no_answer,너무 편리하고 좋아요^^,no_answer
김영세,5,2020년 3월 29일,no_answer,아주 편리하고 좋아요,no_answer
전재형,3,2020년 3월 29일,no_answer,다해줄것처럼 배달할인이라고 써놓고 특정메뉴만 할인이 되네요ㅡㅡ,no_answer
강민희,5,2020년 3월 29일,no_answer,빠르고 여러음식이 있어서 좋아요,no_answer
최우영,5,2020년 3월 29일,no_answer,편하게 사용하기 좋아여,no_answer
정종미,5,2020년 3월 29일,no_answer,결제도간단히 넘좋아요,no_answer
Jeffrey L,5,2020년 3월 29일,no_answer,가끔 할인쿠폰이 좋아요,no_answer
김쓰,5,2020년 3월 29일,no_answer,좋아요 좋아요 편해요,no_answer
yong-tae Lee,1,2020년 3월 29일,no_answer,bhc 12000원 최초주문하면 12000원 할인된다고 해서 회원 가입하고 주문했는데 할인적용 안되네요.매장마다 차이가 나는 거면 머하로 광고함????,no_answer
김윤환,5,2020년 3월 29일,no_answer,쓰기 편해요 배달이 얼마나 걸리는지 시간도 나오고요,no_answer
Taekyung KO,5,2020년 3월 29일,no_answer,나름 돈내고 멤버쉽가입해서 쓸만해요,no_answer
김0유리,5,2020년 3월 29일,no_answer,좋아요,no_answer
자작극,5,2020년 3월 29일,no_answer,좋음,no_answer
김김,3,2020년 3월 29일,no_answer,맛은 있는데 가격대는 싼편아니지만 그런대로 괜찮습니다 근데 시간도 좀 걸리네요ㆍ 수고하세요ㆍ,no_answer
김기성,5,2020년 3월 29일,no_answer,편리해서 좋아요~~,no_answer
탄애비,4,2020년 3월 29일,no_answer,역시....요기요,no_answer
배선옥,5,2020년 3월 29일,no_answer,완전 잘이용하고있습니다,no_answer
최유정,5,2020년 3월 29일,no_answer,좋아용,no_answer
김영준,5,2020년 3월 29일,no_answer,언제 먹어도 기대 이상인 최애 배달음식! 짱!!!,no_answer
Dk K,4,2020년 3월 29일,no_answer,좋아요!!!,no_answer
똥개보리,5,2020년 3월 29일,no_answer,늘묵습니다..,no_answer
정재인,5,2020년 3월 29일,no_answer,굿,no_answer
삒삒까츄,4,2020년 3월 29일,no_answer,요기요가 생기고 삶의 질은 향상되고 지갑의 질은 급격히 떨어졌다,no_answer
정수짱,5,2020년 3월 29일,no_answer,항상잘쓰고있어요,no_answer
PARK쭌,5,2020년 3월 29일,no_answer,최고의 음식앱입니다요 모두코로나조심들하세여~~~~,no_answer
서우진,5,2020년 3월 29일,no_answer,"요기만써요 잘쓰고있긴한데, 포인트가 안모여요 ㅎㅎ",no_answer
김영섭,5,2020년 3월 29일,no_answer,편리함 그자쳬에요.^^,no_answer
임민주,5,2020년 3월 29일,no_answer,할인제도가 많아서 넘조아여,no_answer
박기진,5,2020년 3월 29일,no_answer,편해서 좋아요,no_answer
이신웅,5,2020년 3월 29일,no_answer,좋아요,no_answer
yunkyoung lee,5,2020년 3월 29일,no_answer,좋아요,no_answer
김한결,5,2020년 3월 29일,no_answer,굿,no_answer
teo big bro,5,2020년 3월 29일,no_answer,편리하고 좋아요~!,no_answer
이봉주,5,2020년 3월 29일,no_answer,배달음식을 편하게 시킬 수 있어서 좋아요,no_answer
김동욱,5,2020년 3월 29일,2020년 3월 29일,좋아욥,answer
짱구바지,5,2020년 3월 29일,2020년 3월 29일,조치~♡ 배민보다 훨 나음,answer
김영진,5,2020년 3월 29일,2020년 3월 29일,항상잘사용하고있어요,answer
정성현,5,2020년 3월 29일,2020년 3월 29일,사용하기 너무편해요~~~~,answer
김건수,5,2020년 3월 29일,2020년 3월 29일,편하고 좋아요,answer
우빠TV,5,2020년 3월 29일,no_answer,아직 저희 지역은 많지가 않아 아쉽네요,no_answer
Junehyuk Han,3,2020년 3월 29일,no_answer,혜택이 너무 없어요. 쿠폰 좀 푸세요,no_answer
김병국,5,2020년 3월 29일,2020년 3월 29일,좋아요~,answer
the world Beyond,1,2020년 3월 29일,no_answer,"회원가입 할랬더니, 사용할 수 없는 계정이라는데 왜 사용할 수 없는지 이유도 안알려주고! 그래서 sns로 가입할랬더니 아무리 눌러도 계속 비로그인 상태야. 뭔 장사 하려면 앱을 똑바로 만들든가, 사람 놀리는 것도 아니고 더러워서 배달의민족 회원가입 하러 갑니다.",no_answer
Sangwoo Cha,5,2020년 3월 29일,no_answer,"편해요~~ 음식메뉴사진이 다양하고, 사이드추가메뉴도 수량을 추가할 수 있게 변경되었으면 좋겠어요",no_answer
미소방울,5,2020년 3월 29일,2020년 3월 29일,좋아요,answer
Tiger White.J,5,2020년 3월 29일,2020년 3월 29일,할인혜택이 많아서 애용중입니다.,answer
나리누리남매tv,5,2020년 3월 29일,2020년 3월 29일,굿,answer
hk choi,4,2020년 3월 29일,no_answer,미리결재처럼 현장결재도 할인되는게 있으면 좋겠고 막상 쿠폰 사용하려보면 큰 혜댁은 아닌거같은 아쉬움이 있습니다,no_answer
서효덕,5,2020년 3월 29일,2020년 3월 29일,배달주문은 항상이용하고있어용 편하고좋네용,answer
월화,1,2020년 3월 29일,no_answer,주문취소를 하려고 가게에 전화를 했더니 가게에선 요기요에 전화하라고 합니다. 그러나 요기요에선 가게에 전화하는게 빠르다고 하네요. 주문취소 버튼을 만들어주시던가 해주세요. 시스템 별롭니다.,no_answer
황미란,4,2020년 3월 29일,no_answer,좋아용^^,no_answer
황은경,4,2020년 3월 29일,no_answer,괜찮은듯 해요,no_answer
일선송,5,2020년 3월 29일,2020년 3월 29일,좋습니다!!,answer
Jae Hyeong Cho,5,2020년 3월 29일,2020년 3월 29일,빠른배송 맘에 속드네요,answer
Chris Jang,4,2020년 3월 29일,no_answer,환불시스템 필요,no_answer
Sun Eung Lee,5,2020년 3월 29일,2020년 3월 29일,굿국굿굿,answer
우일,4,2020년 3월 29일,no_answer,.good,no_answer
남명진,5,2020년 3월 29일,2020년 3월 29일,편해요,answer
김태중,5,2020년 3월 29일,2020년 3월 29일,아주좋아요,answer
송선호,4,2020년 3월 29일,no_answer,편해서조아요 조금먼데는 배달 안해주는데도 많은데 요기요에 부탁하면 되구요,no_answer
천정희,4,2020년 3월 29일,no_answer,되게 간편하게 사용하기 좋아요!!,no_answer
howon seo,5,2020년 3월 29일,2020년 3월 29일,좋습니다 항상 애용합니다,answer
