user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
대표원장.어인준,1,2019년 8월 27일,2019년 8월 27일,"구독취소 방법. 구글플레이 화면에서 정기결제관리를 누른다음, 나오는 글자를 클릭하면 취소화면이 나롭니다. 환불방법. 소비자보호원에 신고를 하면 알아서 처리해줍니다. 한국에서 개발된 앱이라서 예의주시하고 있었는데 운영을 이런식으로 해서 국제망신을 시키고 있으니, 관련자들을 반드시 구속시킬 수 있도록 지혜를 모아봅시다.",no_specific_comment,answer
김수진,1,2019년 8월 29일,2019년 8월 29일,"방금 설치후 바로 차단되었네요 욕설이나 상대방을 불쾌하게 했다는 차단사유.., 난 욕설이나 기타 불편하게 나눈 대화가 없는데도 차단 되었네요 대화내용을 확인도 안하고 상대방이 신고를 누르면 자동차단되는 시스템 이건 아닌듯하네요 무서워서 말이나 하겠어요 수화로 대화해야지.. 그래야 차단 안당할 듯.",no_specific_comment,answer
나박,1,2019년 9월 12일,2019년 9월 12일,차단?? 모욕이라고 차단인데 아자르에서는 말도 못하겠네요 무서워서;; 뭐해라고 물었을 뿐인데 차단 당했네요 그게 모욕감인가?국어사전 찾아봐야지.무작위로 차단 누르면 모두 차단되나봐요 우리 모두 들어가서 신고를 눌러요 이 앱에 유저들이 없게 만들어요.그래야 회사에서도 제대로 확인하고 차단할지말지 확인하겠죠,no_specific_comment,answer
MEN.,5,2019년 9월 4일,2019년 9월 4일,"보석 구매했는데 오류, 이미 보유한 아이템입니다. 뜨면서 지급도 안돼고 돈은 돈대로 빼가나요? 돈 돌려놓으세요 2만3000원이 개이름인가요? 구독취소합니다",no_specific_comment,answer
JY J,2,2019년 9월 14일,no_answer,"비방,노출없이 옷 다입고 인사만했는데 왜 바로 계정정지인가요? 정지 풀어주세요~~ 아무이유없이 신고누르면 정지먹나요? 아직 보석도 남아있는데..아니면 보석 환불 조치해주신더가요~~",no_specific_comment,no_answer
이왕조보,3,2019년 9월 14일,no_answer,안녕하세요 운영자님 제가 다이아1200개 환불요청 했는데요. 다이아는 없어졌는데 아직 핸드폰 소액결제 취소가 안됐습니다. 빠른 처리 부탁 드려요,no_specific_comment,no_answer
Kids Quiz,1,2019년 9월 14일,no_answer,누군가 신고만 하면 정지먹나봅니다 절대 하지마세요. 모욕죄로 한달 정지먹었습니다. 저는 유료결제 24만 원결제로 젬이 3만개 있는 회원이며 어제 옷도 입은상태로 태국 필리핀 사람들과 하이 사와디캅 두단어만 말했는데 한달정지 먹었습니다. 너무 억울하여 고객센터에 3번이나 문의해도 아무 응답없고 제가 적절한 행동했다합니다. 옷 입음. 인사만 함. 불쾌한 욕설이나 손짓도 안함. 근데 한 달 정지네요. 여기다가 올려도 제가 불적절한 행동이나 언행을 하면 정지당한다는 뻔한 답변만 올라옵니다.,no_specific_comment,no_answer
하앙이,3,2019년 9월 13일,no_answer,다 좋은데.. 1시간에 무료 통화도 1번밖에 안되고.. 또 하려면 140개를 내고 결제해야된다는 것 만 다시 바꿔주세요.. 3번으로.. 만일 안된다면 2번이라도 해주세요..ㅎㅎ;;.. 그럼 오늘도 좋은 하루 보내시고 힘내시길바랄게요!,no_specific_comment,no_answer
유튜브팬임,1,2019년 9월 13일,no_answer,Sms시스템 페지하세요 오늘 미치년이 아무런이우도업이 신고 때리네요 못생겨서 신고 때렷나? 걍 탈하고 재가입햇랫는데 없던 인증시스템 이잇네,no_specific_comment,no_answer
탈룰라,5,2019년 9월 13일,no_answer,환불부탁드려요 방금 추석이벤트로 50퍼 받으려고 23000원짜리 구매했는데 실수로 그냥 상점에서 구매해서 50퍼추가 보석이 안들어왔어요 환불부탁드려요 ㅠㅠ,no_specific_comment,no_answer
