user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
Jisun Lim,5,2019년 6월 28일,no_answer,잘 쓰고 있어요. sms나 스마트어플 알림이 아니라 직접 금융기관의 자료를 불러와서 너무 편해요. 수입과 지출을 모두 관리할 수 있고 이체나 카드사용내역도 정리할 수 있어 다른 어플보다 저에게 잘 맞아요. 일일이 수기작성이 아니라 업데이트로 한번에 자동으로 내역이 뜨니까 편해요. 부부계좌를 하나의 계정으로 연동/연동해제로 번갈아가며 연결하여 거래내역을 불러오는데 가끔 누락되서 다시 업데이트해야 하는 경우가 있더라구요. 보험회사가 아직 연동 안되는 곳이 있는데 연동되는 곳이 많아졌으면 좋겠습니다.,no_specific_comment,no_answer
백두진,4,2019년 6월 22일,no_answer,"뱅샐 잘 쓰고있는 1인입니다. 좋은앱개발해주신 분들께 감사드려요^^ 몇 가지 개선사항 부탁드립니다. 부부 중 하나가 뱅샐을 통합관리하는경우에 둘다 같은 은행에 계좌가있을때 한명의 인증서만 등록할수있어서 나머지사람은 수기로관리해야하는 불편함이 있는데요. 저같은 커플들을 위해 같은 은행에 인증서도 두개씩 해서 자동불러오기기능이 추가되었으면 합니다. 한가지 더, 사용내역 자동불러오기가 예전에는 상세내역에 동그라미모양 화살표를 한번 누르면 한번에 불려왔는데, 업데이트 이후 사용해보니 각은행 카드사마다 따로 눌러주는 UI만 보여서 하나하나 ...전체 리뷰","뱅샐 잘 쓰고있는 1인입니다. 좋은앱개발해주신 분들께 감사드려요^^ 몇 가지 개선사항 부탁드립니다. 부부 중 하나가 뱅샐을 통합관리하는경우에 둘다 같은 은행에 계좌가있을때 한명의 인증서만 등록할수있어서 나머지사람은 수기로관리해야하는 불편함이 있는데요. 저같은 커플들을 위해 같은 은행에 인증서도 두개씩 해서 자동불러오기기능이 추가되었으면 합니다. 한가지 더, 사용내역 자동불러오기가 예전에는 상세내역에 동그라미모양 화살표를 한번 누르면 한번에 불려왔는데, 업데이트 이후 사용해보니 각은행 카드사마다 따로 눌러주는 UI만 보여서 하나하나 누르니 꽤 불편합니다. 이부분 제가 못 찾고있는것인지...한번에 불러올수있는 단추가 있었음 좋겠습니다.",no_answer
Chris K,1,2019년 7월 11일,no_answer,가계부탭을 제외한 다른 기능들은 신용공여기간을 무시한 채 산정됩니다. 가령 저는 전달 3일부터 다음달 2일까지의 사용 금액을 가지고 혜택인 포인트의 양을 산정받는다면 뱅크샐러드는 무조건 매월 1일부터 말일까지의 사용치로 산정합니다. 부정확하단거죠. 일부 해외사용처에 대해서도 뱅크샐러드에서는 국내사용처로 사용 된 것으로 찍히구요. 가계부 이외의 기능은 믿지 마세요.,no_specific_comment,no_answer
Hyunseok Kim,4,2019년 7월 11일,no_answer,먼저 편하게 가계부 쓸 수 있는 어플을 만들어주셔서 감사합니다. 한가지 불편한 건 새로고침 시 로딩시간인데 아이폰용은 상단에 진행바가 있던데 안드로이드는 없나요? 그리고 일일히 어플켜서 새로고침하는거 보고있는 것도 답답한데 밤 사이에 혼자 백그라운드에서 최신화를 할 수 없는건지 궁금합니다. 수고하세오..,no_specific_comment,no_answer
강정아,3,2019년 7월 15일,no_answer,"다른모든부분 (카카오 제외하고) 신기하게 연동이 잘 되나, 가계부 앱으로써는 아직 정리가 덜 되었다는 느낌이 들어요. 시각적으로도 그렇고, 세부항목간 순서이동X, 이체내역기록방법, 텍스트일괄삭제불가, 초기화나 백업 등등... 저는 네*버가계부 사용하다가 넘어오려는 사용자인데 아무래도 아쉬운 부분이 있어서 글을 남깁니다...",no_specific_comment,no_answer
wooseon kim,2,2019년 7월 14일,no_answer,본인명의 휴대폰없으면 사용불가인가요?,no_specific_comment,no_answer
오나경,4,2019년 7월 14일,no_answer,동부화재는 연동이 안되나요?,no_specific_comment,no_answer
김의명,1,2019년 7월 14일,no_answer,아오 연동해제 겁나자주되서 갱신해주는거 귀찮아죽겠네,no_specific_comment,no_answer
딸기쨈,5,2019년 7월 14일,no_answer,"일, 주, 월 단위로 돈을 얼마쓰는지 눈으로 확인하는것만으로도 소비습관이 많이 교정되네요 항상 많은 도움 받고있어요",no_specific_comment,no_answer
강성진,5,2019년 7월 14일,no_answer,최고입니다,no_specific_comment,no_answer
진광호,1,2019년 7월 14일,no_answer,"1.업데이트로 킷캣,롤리팝 사용자 이용을 막아서 불편해요. 2.데스크탑 이용자 배려 전혀 없음(pc 사용자 배려 필요 및 연동 해야함 3.현대해상 보험 확인이 안됨",no_specific_comment,no_answer
