user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
Ha Young Jang,1,2019년 9월 2일,2019년 9월 4일,바디사진찍기에서 카메라로 촬영하기 들어가면 광각카메라로 설정이됩니다. 광각카메라로는 어깨선 무릎선 맞추기가 어려워 다시 제 핸드폰 카메라로 들어가서 기본카메라로 촬영 후 다노어플에 다시 들어가 앨범에서 선택해야합니다. 업데이트도 해보고 기존에 있던 어플 삭제 후 다시 깔아보고 혹시나 제 핸드폰 카메라 설정이 잘못되어있나 해서 카메라 초기설정도 다시 해보았는데도 똑같습니다. 매주 카메라로 사진을 찍어야하는데 너무 번거롭네요 1:1상담으로 첨부파일도 보내드리며 설명해드렸는데 아직도 똑같습니다.,no_specific_comment,answer
pyourorong pyou,4,2019년 9월 4일,2019년 9월 4일,다노 완전 좋아하는데...솔직히 통합앱은 실망이에요..북마크도 안되고 다짐하기두 안되구.좋은 의도로 통합하신건 알겠는데 지금은 쓰기가 넘 불편하구 실용적이지 못해요.별하나 남겨놨다가 그래도 지금까지 좋아하던 다노니깐 곧 더 좋아질거라 기대하며 별4개드립니다,no_specific_comment,answer
So-jeong Lee,1,2019년 8월 28일,2019년 8월 28일,"기존 다노샵 아이디가 있어서 기존아이디로 로그인 하면 로그인되면서 다시 회원가입 창이 나오고, 통합회원으로 가입하는건가 해서 가입하려고 절차를 받으면 기존 아이디가 있다고 다시 로그인창이 뜹니다. 기존아이디 로그인창 > 회원가입창 > 기존아이디 로그인창 이거의 반복이에요. 지웠다가 깔아도 그대로네요",no_specific_comment,answer
Kong free,1,2019년 9월 2일,2019년 9월 4일,업데이트 하고 오늘이 첫 수강날이었는데 앱이 너무 불안정해요 ㅠㅠ 운동을 끝까지 했는데 중간까지 한걸로 기록되고 계속 로딩 화면 뜨면서 버벅거려요 ㅜㅜ 그리고 운동영상 화질이 너무 안좋아요 ㅜㅜ,no_specific_comment,answer
강슬기,1,2019년 9월 10일,2019년 9월 11일,통합아이디 만들때 자꾸 오류가 떠서 로그인을 못하고있어요 ㅡㅡ,no_specific_comment,answer
이소연,1,2019년 9월 10일,2019년 9월 11일,프로그램이 실행이 안되요ㅜ 자꾸 로딩되고 답답하네요,no_specific_comment,answer
고뇽2,5,2019년 9월 9일,2019년 9월 9일,문제생겨서 안열렸는데 빠른답변으로 크롬업데이트 후 잘열리네요 ^^~,no_specific_comment,answer
Jeongeun Noh,2,2019년 9월 4일,2019년 9월 4일,"다노 운동과 코칭은 좋아요. 그런데 오늘 처음으로 다노샵 주문하려고 그랬더니 결제가 안되네요..? 잠깐의 오류이겠거니, 하고 다노앱 실행취소하고 다시 들어가도 결제하기에서 다음으로 안넘어갑니다.",no_specific_comment,answer
pyourorong pyou,4,2019년 9월 4일,2019년 9월 4일,다노 완전 좋아하는데...솔직히 통합앱은 실망이에요..북마크도 안되고 다짐하기두 안되구.좋은 의도로 통합하신건 알겠는데 지금은 쓰기가 넘 불편하구 실용적이지 못해요.별하나 남겨놨다가 그래도 지금까지 좋아하던 다노니깐 곧 더 좋아질거라 기대하며 별4개드립니다,no_specific_comment,answer
전진명,1,2019년 9월 3일,2019년 9월 4일,로그인오류지속 쓰라는거야 마라는거야ㅡㄷ,no_specific_comment,answer
화이니B,5,2019년 9월 3일,no_answer,말이 필요없는 앱,no_specific_comment,no_answer
김민희,5,2019년 9월 3일,no_answer,마이다노 넘나사랑해유,no_specific_comment,no_answer
송민주,2,2019년 9월 3일,2019년 9월 4일,기존 마이다노는 매거진 검색이 가능했는데 이건 안돼서 너무 불편해요.. 음주때나 영양소 등 그때그때 상황마다 검색해서 아 이렇게하면되는구나 했는데 검색이안되니까 이젠 그렇게 못해요 ...,no_specific_comment,answer
김나영,4,2019년 9월 3일,no_answer,체개적으로 잘 되어있어서 좋아요~,no_specific_comment,no_answer
채유미,5,2019년 9월 3일,no_answer,굿,no_specific_comment,no_answer
Kong free,1,2019년 9월 2일,2019년 9월 4일,업데이트 하고 오늘이 첫 수강날이었는데 앱이 너무 불안정해요 ㅠㅠ 운동을 끝까지 했는데 중간까지 한걸로 기록되고 계속 로딩 화면 뜨면서 버벅거려요 ㅜㅜ 그리고 운동영상 화질이 너무 안좋아요 ㅜㅜ,no_specific_comment,answer
남수연,1,2019년 9월 2일,2019년 9월 4일,완전 앱이 사용환경이 불안정하네요 업데이트되고나서 엄청버벅거리고 분명 영상다돌렸는데 기록이 안되어요,no_specific_comment,answer
Ha Young Jang,1,2019년 9월 2일,2019년 9월 4일,바디사진찍기에서 카메라로 촬영하기 들어가면 광각카메라로 설정이됩니다. 광각카메라로는 어깨선 무릎선 맞추기가 어려워 다시 제 핸드폰 카메라로 들어가서 기본카메라로 촬영 후 다노어플에 다시 들어가 앨범에서 선택해야합니다. 업데이트도 해보고 기존에 있던 어플 삭제 후 다시 깔아보고 혹시나 제 핸드폰 카메라 설정이 잘못되어있나 해서 카메라 초기설정도 다시 해보았는데도 똑같습니다. 매주 카메라로 사진을 찍어야하는데 너무 번거롭네요 1:1상담으로 첨부파일도 보내드리며 설명해드렸는데 아직도 똑같습니다.,no_specific_comment,answer
추지우,1,2019년 8월 31일,2019년 9월 2일,로그인하다가 빡쳐서 관뒀어요~아이디 존재하는데 없다고하고 찾기해서 힘들게 로그인햇더니 통합로그인에서 또 없는아이디로 나와요,no_specific_comment,answer
JIWOO SEO,1,2019년 8월 28일,2019년 8월 29일,하아.. 기존아이디 통합으로 안넘어감 5번 시도하다가 승질나서 지웁니다.,no_specific_comment,answer
hwhw s,2,2019년 8월 28일,2019년 8월 29일,로그인을 할려니까 없는 아이디라 하고 통합하려고 하니 중복되는 아이디라 하고 인증번호 전송하다가 시간다가네요,no_specific_comment,answer
So-jeong Lee,1,2019년 8월 28일,2019년 8월 28일,"기존 다노샵 아이디가 있어서 기존아이디로 로그인 하면 로그인되면서 다시 회원가입 창이 나오고, 통합회원으로 가입하는건가 해서 가입하려고 절차를 받으면 기존 아이디가 있다고 다시 로그인창이 뜹니다. 기존아이디 로그인창 > 회원가입창 > 기존아이디 로그인창 이거의 반복이에요. 지웠다가 깔아도 그대로네요",no_specific_comment,answer
갃섬석,1,2019년 8월 26일,2019년 8월 27일,다노샵 아이디로 로그인하려고 하면 없는 아이디라고 하고 새로 가입하려고 하면 다노샵 아이디가 있다고 하고 어쩌라는 건가요?,no_specific_comment,answer
손혜림,5,2019년 8월 24일,no_answer,조아용~ 스트레칭과 삭습관개선을 하니 다이어트 효과도 있지만 의외로 만상변비가 해결되었어요,no_specific_comment,no_answer
김민정,1,2019년 8월 18일,2019년 8월 19일,다노샵 아이디가 있다고 통합회원을 위한 절차 진행하라더니 인증번호 받으면 이미 아이디 있다고 로그인 화면이 나오는... 로그인하면 다시 통합회원 절차로 넘어가구요. 계속 반복되네요.,no_specific_comment,answer
김다솜,2,2019년 8월 14일,2019년 8월 16일,리뉴얼된 어플이 다운 받아지질 않네요ㅜ,no_specific_comment,answer
욱이,5,2019년 8월 13일,no_answer,좋아요,no_specific_comment,no_answer
Hyeyeon Kim,5,2019년 8월 13일,no_answer,운동 및 식사습관을 바로 잡는데 유용합니다,no_specific_comment,no_answer
김현숙,5,2019년 8월 13일,no_answer,정말좋은앱이요~~^^,no_specific_comment,no_answer
임수희,5,2019년 8월 13일,no_answer,좋아요,no_specific_comment,no_answer
정의,5,2019년 8월 13일,no_answer,좋아요,no_specific_comment,no_answer
서예지,5,2019년 7월 29일,2019년 7월 29일,3개월째 다이어트 성공적으로 진행하고 있어요! 그런데 업데이트 한 이후로 장바구니에 상품이 안담겨요,no_specific_comment,answer
민성현,1,2019년 7월 23일,2019년 7월 23일,어플이 자꾸잘안돼요 미션로딩중 뜨면서 화면 안뜨는게 일주일에 한두번은 꼭 있네요,no_specific_comment,answer
Mina Kim,4,2019년 7월 18일,no_answer,s헬스.걸음수가 동기화되몀 좋을것 같아요. 손에 핸드폰을 잘 안들고 다니기도하고 스마트워치가 s헬스랑.연동되다보니 실제 걸음수랑 기록되는.걸음수 차이가 발생해요,no_specific_comment,no_answer
김지아,4,2019년 7월 15일,2019년 7월 23일,만보를 찍은 다음날이면 만보걷기다짐기록도 볼 수없고 측정도안됩니다,no_specific_comment,answer
Dahyun Lee,3,2019년 7월 14일,2019년 7월 15일,"오늘 12시까지 미션 완료해야되는데 ㅜㅜㅜㅜㅜㅜ 계속 접속이 안 돼요 ㅜㅜ 얼른 해결해주세요... ㅜㅜㅜㅜ ----‐-------------------------- 결국 미션 다 못해서 실패했어요 ㅠㅠㅠ 럭키세븐 쿠폰도 걸려있는데 ㅜㅜ 완전 대박 속상 ㅜㅜㅜㅜㅜㅜ 아 ㅜㅜ 시스템 문제가 갑자기 생길 수도 있으니 당직 직원이라도 두는게 맞지 않나요.. ㅜ 온라인 PT 특성상 주말, 야간에도 진행 중인데.. 소비자가 불편함이 있어도 당장 해결을 못 하잖아요.. ㅜㅜ",no_specific_comment,answer
고우니수연,1,2019년 7월 13일,2019년 7월 15일,지금 저만 안되나여? 미션하고 운동강도 선택만 안되서 다시껏다켯는데 미션자체도 안뜨고 그래서 앱제거했다가 다시깔앗는데 이젠 로그인도 안되는데요?,no_specific_comment,answer
모나,3,2019년 7월 13일,2019년 7월 15일,지금 접속이 안되는데 다른분들도 있는거 보니 제가 해외라 그런건 아닌가봐요. 한 시간 전만 해도 되는거 봤는데?,no_specific_comment,answer
신여정,1,2019년 7월 13일,2019년 7월 15일,앱 오류때문에 삭제 후 재설치해서 로그인하려는데 로그인이 안되네요 주말에 오류나면 운동을 못하게 되는건가요...,no_specific_comment,answer
CAT쀼,3,2019년 7월 13일,2019년 7월 15일,지금 접속이 안돼요...,no_specific_comment,answer
최인영,4,2019년 7월 13일,2019년 7월 15일,어플실행이안돼요 ㅠ ㅠ 미션이안떠요 ..,no_specific_comment,answer
서유진,5,2019년 7월 11일,no_answer,쓰기쉽고 편해요!,no_specific_comment,no_answer
이수진,4,2019년 7월 6일,no_answer,마이다노어플사용하기편하긴한데 다른사람들의 식단일기도같이 볼수있었으면좋겠어요!! 식단짜기가제일어려워서 다른사람들은어떻게먹는지 보고싶어서요!,no_specific_comment,no_answer
eunah kim,5,2019년 7월 5일,no_answer,굿,no_specific_comment,no_answer
soojin lee,5,2019년 7월 5일,no_answer,아직 5일차지만 벌써 제 삶의 긍정적인 변화를 느끼고 있어요,no_specific_comment,no_answer
찬은,5,2019년 7월 5일,no_answer,잘 쓰고 있어요 ~ ^^,no_specific_comment,no_answer
Doyoung Kim,5,2019년 7월 5일,no_answer,♡다노최고,no_specific_comment,no_answer
두둥,5,2019년 7월 5일,no_answer,너무 좋아요 자극되어서 열심히하게돼요,no_specific_comment,no_answer
아니뿌니,1,2019년 7월 3일,no_answer,오랜만에 다시 어플을 다운받아 로그인하려니 통합하라고 하면서 계속 없는 아이디라고 나옵니다..어플을 종료하고 다시 실행해서 시도해도 똑같네요...아이디찾기로는 맞다고 하는데..,no_specific_comment,no_answer
hs cho,4,2019년 7월 1일,no_answer,어플너무 좋아요~ 근데 갤럭시노트9 만보걷기가 안되네요 고칠수없나요?,no_specific_comment,no_answer
정민희,1,2019년 6월 20일,2019년 6월 21일,다노샵 사용자라서 통합시킬려고 하는데 중복아이디아니라면서 완료누르면 중복아이디라며 어플이 멈추네요..................7월강의 등록하려고 들어간건데 어쩌죠ㅜ,no_specific_comment,answer
annie *,1,2019년 6월 18일,2019년 6월 18일,앱이 열리질 않습니다 ㅜ 고쳐 주세요 ㅠㅠ 돈내서 운동하는건데 안되니까 답답합니다.,no_specific_comment,answer
스콘,1,2019년 6월 17일,no_answer,계속 에러코드 502번 뜨면서 미션목록불러오기가 안되요 ㅠ 지난달도 연속수강생 등록기간에 버벅이더니 오늘은 넘 심하네요. 오전에 업데이트해서 더 그런가 싶기도 하구요.,no_specific_comment,no_answer
장효정,5,2019년 6월 17일,no_answer,갑자기마이다노안되네요....로그아웃한다음다시로그인해도실패라뜨고....어제까진잘됬는데....확인좀해주세요,no_specific_comment,no_answer
Kyungjin Woo,3,2019년 6월 17일,no_answer,업데이트 했는데도 마이다노 오늘 미션이 안떠요ㅜ 맘먹고 지금시간에 운동하려고했는데.. 베이직반인데 오늘 계속이러면 어떡하나요?,no_specific_comment,no_answer
Siwon Kim,3,2019년 6월 17일,no_answer,영상보다가 전화오거나 카톡이 오면 그냥 영상이 끊겨서 다시 봐도 기록이 업뎃이 안됨니다,no_specific_comment,no_answer
NI YO,5,2019년 6월 17일,no_answer,업데이트 이후 어플이 실행되지 않아요,no_specific_comment,no_answer
Chanmi Roh,5,2019년 6월 17일,no_answer,다노 짱,no_specific_comment,no_answer
벨스텔라,5,2019년 6월 17일,no_answer,최고최고♡♡,no_specific_comment,no_answer
장인홈트,5,2019년 6월 17일,no_answer,조아오오오,no_specific_comment,no_answer
