user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
박나연,5,2019년 7월 21일,2019년 7월 22일,이사하면서 필요한 물품을 가성비 좋게 잘 구매하고 있습니다.ㅎㅎ 사기전에 볼 수 있는 다양한 분들의 상품후기가 너무 잘 되어있어 참고하기 좋고 꾸미기팁들을 보면서 많은 아이디어 얻어가고 있습니다! 좋은 어플 만들어주셔서 감사해요 :),no_specific_comment,answer
서경욱,1,2019년 7월 26일,2019년 7월 26일,회원가입 따로 없이 카톡으로 로그인하였는데 로그아웃만 있고 탈퇴는 없네여;; 그래서 찾다가 그냥 로그아웃만 하면되나싶었는데 카톡으로 계속 물건 사라고 푸시알람만 오네여 탈퇴좀시켜주세요~~~ 들어올땐맘대로지만 나갈땐 아니라는건가 푸시알람끄라거나 이메일로 문의하라거나 쓰지말고!! 정확히 이 계정 탈퇴를 시켜주시던지 제가 모르던거면 탈퇴절차를 제대로 알려주세요!!,no_specific_comment,answer
원민재,1,2019년 7월 23일,2019년 7월 24일,원가금액에 배송비를 왜 묶으시나요?? 결론만 놓고 보자면 소비자 기만이고 우롱에 해당됩니다 풀어서 이야기해드리자면 1. 배송비 제외라고 작성되어있다면 제품에 대한 금액만 산정이 되어야 합니다 2. 할인금액 산정을 참 이상하게 하시더군요~~^^ 3. 결국엔 배송비가 이중포함이 되는 웃기는 상황이 되네요?? 4. 제대로 보지 않고 구매를 하시는분들 대량구매 하시는 분들도 계시는데 저도 대량구매 고객중 하나구요 해결이 된다고 해도 이미 결제한 부분에 대해선 어떻게 하시려고 하시는지요? 설명해주세요 아니요 해명에 가깝겠네요 이해가게 설명을...전체 리뷰,원가금액에 배송비를 왜 묶으시나요?? 결론만 놓고 보자면 소비자 기만이고 우롱에 해당됩니다 풀어서 이야기해드리자면 1. 배송비 제외라고 작성되어있다면 제품에 대한 금액만 산정이 되어야 합니다 2. 할인금액 산정을 참 이상하게 하시더군요~~^^ 3. 결국엔 배송비가 이중포함이 되는 웃기는 상황이 되네요?? 4. 제대로 보지 않고 구매를 하시는분들 대량구매 하시는 분들도 계시는데 저도 대량구매 고객중 하나구요 해결이 된다고 해도 이미 결제한 부분에 대해선 어떻게 하시려고 하시는지요? 설명해주세요 아니요 해명에 가깝겠네요 이해가게 설명을 해주신다면 기꺼이 인정하겠습니다,answer
Yena Park,1,2019년 8월 8일,2019년 8월 8일,"왜 자꾸 화면이 밑으로 넘어가는걸까요? 깜빡깜빡 하다가 계속 밑으로 내려가서 상품을 볼 수가 없네요. 이럴거면 앱을 왜 깔았는지 자꾸 버그,오류 나는 것 같습니다. 기종은 갤럭시 s10 5g 최신 기종이니 기종 탓은 아닐거에요. 진짜 참아보려고 했는데 찜한 상품을 보고 싶어서 들어가면 상세 설명이 안보여서 비교를 할 수가 없네요; 찜 상품 오류인가요? 정말 짜증납니다.",no_specific_comment,answer
Jungho So,5,2019년 8월 10일,no_answer,너무 재밌고 유용해요,no_specific_comment,no_answer
MinJu Jeong,5,2019년 8월 10일,no_answer,강추,no_specific_comment,no_answer
선호산,5,2019년 8월 10일,no_answer,좋은정보많아요,no_specific_comment,no_answer
juju cook,5,2019년 8월 10일,no_answer,편하게 좋은제품 구매했으요,no_specific_comment,no_answer
조경준,5,2019년 8월 10일,no_answer,좋은집은어머니가 집구한데요 정보로보기 좋아요,no_specific_comment,no_answer
Jihye Ahn,5,2019년 8월 10일,no_answer,좋습니다,no_specific_comment,no_answer
송민수,4,2019년 8월 10일,no_answer,괜잖아,no_specific_comment,no_answer
김수진,5,2019년 8월 10일,no_answer,여러가지 리모델링 후기를볼수있어좋아요,no_specific_comment,no_answer
Youjin Oh,5,2019년 8월 10일,no_answer,인테리어 시작하기에 굉장히 도움되는 앱입니다^^,no_specific_comment,no_answer
최용환,1,2019년 8월 10일,no_answer,왜 추천인이 없다고 하고 이미가입되었다고 나오나요? 어떻게 가입을 했는지도 모르겠네요. 페이스북 광고보고 가입하려고하니 계속 추천인이 없는것으로 나오고 이미가입했다고 로그인도 안되고...,no_specific_comment,no_answer
HongBeom Shin,5,2019년 8월 10일,no_answer,오늘의집 너무 좋아요,no_specific_comment,no_answer
김아영,5,2019년 8월 9일,no_answer,좋아요~,no_specific_comment,no_answer
김희경,5,2019년 8월 9일,no_answer,"필요한게 있으면 무조건 여기서 사요. 최저가에 찾기도 쉬워, 인테리어 참고하기도 좋아서 계속 이용할 것 같아요~^^",no_specific_comment,no_answer
이디움,5,2019년 8월 9일,no_answer,도움많이받고있어용 넘 조어요!,no_specific_comment,no_answer
김미경,5,2019년 8월 9일,no_answer,넘 유익해요,no_specific_comment,no_answer
너잡으러왔다,5,2019년 8월 9일,no_answer,편하네요 방이별로없는거빼고,no_specific_comment,no_answer
Ha San,5,2019년 8월 9일,no_answer,정말 예쁜 인테리어들이 많아요,no_specific_comment,no_answer
LiYul Lee,5,2019년 8월 9일,no_answer,좋아요^^,no_specific_comment,no_answer
조소연,5,2019년 8월 9일,2019년 8월 9일,가격도 저렴하고 집인테리어도 많은 도움이 되어요,no_specific_comment,answer
윤소희,1,2019년 8월 9일,no_answer,일처리 핵느리고 진짜 조잡한상품파는데도 나몰라라하고 무책임함. 역대 최악 쇼핑앱. 일처리 진심 화나게 못함.,no_specific_comment,no_answer
박희정,5,2019년 8월 9일,2019년 6월 21일,"소비욕구를 마구 일으키긴 하지만, 물건 하나를 사더라도 세밀하게 착샷까지 볼 수 있고, 인테리어의 실제 효과를 후기 사진들을 통해 장.단점 까지 직접 확인하고 신중하게 살 수 있어서 완소'' 어플이다.. 이사하고 오늘의 집을 통해 산 물건들은 실패가 없었음.너~~~~무 좋아요^^♡감사해요",no_specific_comment,answer
이가연,5,2019년 8월 9일,2019년 8월 9일,저렴한가격에 가구 소품등도 구매하고 인테리어정보도얻고 좋아요^^,no_specific_comment,answer
두드림,5,2019년 8월 9일,2019년 8월 9일,좋아요 매우,no_specific_comment,answer
BIG님,5,2019년 8월 9일,2019년 8월 9일,유용해요,no_specific_comment,answer
HJ PARK,5,2019년 8월 9일,2019년 8월 9일,예뻐요♡ 세일할때 간혹 득템도♡,no_specific_comment,answer
장대근,5,2019년 8월 9일,2019년 8월 9일,굿,no_specific_comment,answer
조광민,5,2019년 8월 9일,2019년 8월 9일,최고,no_specific_comment,answer
박성용,5,2019년 8월 9일,2019년 8월 9일,굿,no_specific_comment,answer
안준수,5,2019년 8월 9일,2019년 8월 9일,좋음,no_specific_comment,answer
안찬빈,5,2019년 8월 9일,2019년 8월 9일,트랜드 보기 좋아요,no_specific_comment,answer
돌쓰,3,2019년 8월 9일,2019년 8월 9일,업데이트가 너무 잦음,no_specific_comment,answer
아앤,5,2019년 8월 9일,2019년 8월 9일,원룸으로 이사가고 방꾸밀려면 꼭 필수어플 인거같습니다!!,no_specific_comment,answer
Sang-Min Lee,5,2019년 8월 9일,2019년 8월 9일,좋아요,no_specific_comment,answer
김영신,5,2019년 8월 9일,2019년 8월 9일,인테리어에 도움이되는 정보도 많고 제품 구매도 할 수있어서 좋아요,no_specific_comment,answer
남박상우,4,2019년 8월 9일,2019년 8월 9일,도움이 많이됬어요,no_specific_comment,answer
이한낮,5,2019년 8월 9일,2019년 8월 9일,좋아요,no_specific_comment,answer
SuJi Hwang,5,2019년 8월 9일,2019년 8월 9일,"스토어,온라인 집들이 모두 유용하고 가독성 좋아요",no_specific_comment,answer
장아랑,5,2019년 8월 8일,2019년 8월 9일,정보도 많고 좋아요,no_specific_comment,answer
지우님,5,2019년 8월 8일,2019년 8월 9일,앱 좋네요 집꾸밀때 참고할 수 있어서 너무 간편하고 좋아요,no_specific_comment,answer
이현일,5,2019년 8월 8일,2019년 8월 9일,"가구정보와 배치, 꾸밈 등의 정보가 많아서 좋습니다",no_specific_comment,answer
히리삐뽕최유리,5,2019년 8월 8일,2019년 8월 9일,정보공유좋아요,no_specific_comment,answer
DaGyu K,5,2019년 8월 8일,2019년 8월 9일,굿,no_specific_comment,answer
김형민,5,2019년 8월 8일,2019년 8월 9일,조아요,no_specific_comment,answer
누룽이,5,2019년 8월 8일,2019년 8월 9일,굿,no_specific_comment,answer
안상희,5,2019년 8월 8일,2019년 8월 8일,제품이 많고 배송도 빨라 좋아요,no_specific_comment,answer
이소영,5,2019년 8월 8일,2019년 8월 8일,좋은 정보가 많네요.,no_specific_comment,answer
aam h,5,2019년 8월 8일,2019년 8월 8일,좋아요. 인테리어 물품 살 때 싸고 이쁜거 살 슈 있어요,no_specific_comment,answer
Jelly,5,2019년 8월 8일,2019년 8월 8일,질리지않는 어플. 신혼집꾸미면서 달고 삽니다~ 다른분들이 올린 사진에서 바로 살수 있기 링크도 되고 좋아요~,no_specific_comment,answer
SuRiMeet JUJU,4,2019년 8월 8일,2019년 8월 8일,"이사준비중인 요즘, 인스타보다 더 자주 보는데 재미랑 정보로 도움 받고 있네요!",no_specific_comment,answer
안세진,4,2019년 8월 8일,2019년 8월 8일,괜찮은거 같아요~,no_specific_comment,answer
Yena Park,1,2019년 8월 8일,2019년 8월 8일,"왜 자꾸 화면이 밑으로 넘어가는걸까요? 깜빡깜빡 하다가 계속 밑으로 내려가서 상품을 볼 수가 없네요. 이럴거면 앱을 왜 깔았는지 자꾸 버그,오류 나는 것 같습니다. 기종은 갤럭시 s10 5g 최신 기종이니 기종 탓은 아닐거에요. 진짜 참아보려고 했는데 찜한 상품을 보고 싶어서 들어가면 상세 설명이 안보여서 비교를 할 수가 없네요; 찜 상품 오류인가요? 정말 짜증납니다.",no_specific_comment,answer
박태욱,5,2019년 8월 8일,2019년 8월 8일,굿,no_specific_comment,answer
백운국,4,2019년 8월 8일,2019년 8월 8일,쇼핑하기도 편하고 실사용기가 많아서 좋네요,no_specific_comment,answer
송아람,5,2019년 8월 8일,2019년 8월 8일,도움이 되는게 참 많아요~,no_specific_comment,answer
오주영,5,2019년 8월 8일,2019년 8월 8일,이쁜가구와집들을한눈에 볼수있어 좋은 앱이네요 그런데 좀더 많은 집디자인을공유받고싶어서요^^응원드려요^^,no_specific_comment,answer
육근애,5,2019년 8월 8일,2019년 8월 8일,다른집의 인테리어도 보며 집 꾸미는데 많은 도움을 받았고 가격비교에서 오늘의 집 앱에서 싸게 구매했어요,no_specific_comment,answer
김혜연,1,2019년 8월 8일,2019년 8월 8일,여기서그렇게홍보하든제품삿더니 ㅋ 부품도제대로안보내주고;;다긁혀진상품오고..대체그런상품을왜내놓으세여ㅎ;;시간낭비돈낭비오지게했네진짜^^앞으로쓰기싫어질듯영~,no_specific_comment,answer
JH N,5,2019년 8월 8일,2019년 8월 8일,좋음.,no_specific_comment,answer
kyungah lim,5,2019년 8월 8일,2019년 8월 8일,짱짱!,no_specific_comment,answer
김김명수,4,2019년 8월 8일,2019년 8월 8일,좋은거같아요,no_specific_comment,answer
sang mee J.,5,2019년 8월 8일,2019년 8월 8일,솔직히 가격도 진짜 좋은경우가많고 여러가지 정보도 얻을수있어서 매일 보고 있습니다 너무좋아욤,no_specific_comment,answer
박다솔,5,2019년 8월 7일,2019년 8월 8일,굳,no_specific_comment,answer
권영애,5,2019년 8월 7일,2019년 8월 8일,최고에영,no_specific_comment,answer
최병철,5,2019년 8월 7일,2019년 8월 8일,집꾸미기 최고 도움되는 어플! 엄지척!!,no_specific_comment,answer
중독을일으킵니다,5,2019년 8월 7일,2019년 8월 8일,좋음,no_specific_comment,answer
이재문,5,2019년 8월 7일,2019년 8월 8일,"감성 취향 저격,,, 너무 맘에 드는 물건들이 많습니다 ㅠㅠ",no_specific_comment,answer
이재우,5,2019년 8월 7일,2019년 8월 8일,좋아요 ㅎㅎㅎ,no_specific_comment,answer
이무혁,5,2019년 8월 7일,2019년 8월 8일,잘 써먹고 있음 다양한 사람들이 써먹는 걸 공유할 수 있어 좋음,no_specific_comment,answer
HS Y,5,2019년 8월 7일,2019년 8월 8일,알림뜰때마다 들어가서 보는데 이쁘게 꾸며놓은 공간들 보고있으면 기분좋아져요. 힌트도 많이 얻어서 방꾸미기에 도움이 됩니다. 굳굳,no_specific_comment,answer
Hyeonmi Kim,4,2019년 8월 7일,2019년 8월 8일,예쁜 아이템 소개 많이 해줘서 좋구요 다른사람들의 이쁜 집구경도 할 수 있어서 좋아요ㅋㅋ,no_specific_comment,answer
Janis Seo,5,2019년 8월 7일,2019년 8월 8일,최고에요 ~~~,no_specific_comment,answer
