user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
ᄀ준우,4,2019년 10월 29일,no_answer,"거의 모든 수학 문제들을 카메라로 찍어서 답을 찾을 수 있다는 점은 아직까지도 훌륭하다고 생각합니다. 또한 실제 출제된 적이 있던 많은 문제들을 무료로 제공해주신 것은 너무나도 감사드립니다. 그렇지만 콴다를 이용하면서 불편하였던 경험 역시 있었습니다. 학년을 설정했음에도 제 학년보다 높은 수준의 문제들이 나오는 것에 대해서 고쳐주셨으면 좋겠습니다. 매일 750코인을 모으기위해서 문제를 풀고 있는데 항상 제 학년보다 높은 수준의 문제들이 나오게되서 불편하였습니다. 또한 제가 중학생인지라 앞으로 다가올 기말고사, 수행평가 등을 준비하기...전체 리뷰","거의 모든 수학 문제들을 카메라로 찍어서 답을 찾을 수 있다는 점은 아직까지도 훌륭하다고 생각합니다. 또한 실제 출제된 적이 있던 많은 문제들을 무료로 제공해주신 것은 너무나도 감사드립니다. 그렇지만 콴다를 이용하면서 불편하였던 경험 역시 있었습니다. 학년을 설정했음에도 제 학년보다 높은 수준의 문제들이 나오는 것에 대해서 고쳐주셨으면 좋겠습니다. 매일 750코인을 모으기위해서 문제를 풀고 있는데 항상 제 학년보다 높은 수준의 문제들이 나오게되서 불편하였습니다. 또한 제가 중학생인지라 앞으로 다가올 기말고사, 수행평가 등을 준비하기위하여 트랙을 설정하는데, 관련 검색어가 나오지 않아 중학교 수준의 문제들로 트랙을 만드는 것이 불가능하였습니다. 번거로우시겠지만 저같은 중학생들을 위하여 더많은 문제들을 만들어주셨음 좋겠습니다. 항상 많은 의견들, 계속 귀 기울여 주셔서 감사드립니다.",no_answer
가을사과TV,2,2019년 11월 5일,no_answer,저기 이거 제가 푸는 문제집은 풀이가 못너오네요..딴건 다 좋은디 왜 내 문제집은 찍기만 하면 다시 카매라 모드로 실행됨?? 학년 1학년 부터 고등까지 다 바꿔서 찍었는대 되는거 1도 없음.....하.....정말 이거 첨앤 좋은가? 하고 했눈댜 이잰 정말 쓰래기가 됬움 ;; 6학년 2학기 과정 책이 안먹힌다고 개발자야..!!!,no_specific_comment,no_answer
디바제시카언니 짱짱,5,2019년 10월 29일,no_answer,정말 급할때 사용하기 너무 좋고 설명이 부족 할 때나 너무 어려울 때 참고가 아주 많이 되는 것 같아요. 질문권이 유료인 것과 문제 몇 개가 설명이 없는것은 너무 아쉽지만 그것을 참고 할 만큼의 가치가 있는 것 같아요 ! 거기다가 콴다 문제집을 잘 풀면 질문권도 주니까 할 만 한것 같아요. 콴다 화이팅!!!!,no_specific_comment,no_answer
기펭,1,2019년 11월 3일,no_answer,처음에는 잘되서 수학푸는데 잘사용했는데 오늘들어가니까 앱에 하얀색화면이뜨고 돌아가기버튼 눌러서 돌아가니까 원래화면으로돌아와서 이제 되겠지 하고 질문했는데... 사진을찍고 기다리는데 계속 로딩만하고 나중에는 이미지가 업로드가 안됬다고 계속뜹니다. 어떻게 해야되나요?,no_specific_comment,no_answer
신대열,5,2019년 11월 10일,no_answer,콴다를 유튜브광고에서 코인으로 기프트를 얻을수있다해서 코인모으려고 들어갔다가 성적 너무좋아져서 올려요 공부도하고 기프트도얻고 여러분들께 강추⭐⭐⭐⭐⭐,no_specific_comment,no_answer
김경미,1,2019년 11월 10일,no_answer,도대체 왜 풀이는 안나오는거.... 답만알려주고 끝이면 차라리 답지를보지;;,no_specific_comment,no_answer
한혜림,5,2019년 11월 10일,no_answer,친절하게 설명이 너무 잘되있어서 혼자서도 공부할수 있어요,no_specific_comment,no_answer
박태욱,5,2019년 11월 10일,no_answer,정말 좋아요,no_specific_comment,no_answer
이현주,2,2019년 11월 10일,no_answer,원래 잘썼었는데 업데이트가 된건지 문제 인식도 못하고 로딩만 계속 돌아가네요 갑자기 왜 이러는건지 정말 엿같아요 저만 이러는것도 아닌거같네요 빨리 해결해 주세요,no_specific_comment,no_answer
조현한,5,2019년 11월 10일,no_answer,짱짱,no_specific_comment,no_answer
