user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
been,5,2019년 9월 9일,no_answer,정말 진심으로 최고의 앱입니다. 교육분야 뿐만 아니라 전체적으로 통틀어서 이렇게 유익하고 재미있고 사용자들을 깊이 신경써주는 앱은 보지못한것같아요. 매일 빠짐없이 사용하던 무료이용자였는데 슈퍼팬은 이용권을 꼭 구매해야겠어요. 앞으로도 많은 발전 바래요 !! 아직 100만다운인게 이해가안되네요 ㅠ 슈퍼팬은 천만넘기고도 남을듯!!,no_specific_comment,no_answer
DH choi,4,2019년 9월 2일,no_answer,다 좋은데 어플을 좀더 경량화해서 데이터 소모량이 줄어들면 좋겠네요. 외국에서 인터넷 환경이 안좋아서 이용이 불편해요.,no_specific_comment,no_answer
윤카라,3,2019년 8월 17일,no_answer,"UX도 맘에 들고, 실생활에서 활용할 수 있는 영어를 배울 수 있어서 좋아요. 다만 가격이 좀 높네요. 글로절 기업이라지만 왓차플레이, 넷플릭스 1달 구매권보다 갑절이상 높아서 구매하기에 망설어지는 건 사실이에요.",no_specific_comment,no_answer
SunAh Jeong,2,2019년 8월 5일,no_answer,"컨텐츠는 나쁘지 않으나 1. 전문성이 떨어짐. 미국물은 먹어 영어는 잘하나 꼼꼼하지 못한 라이터가 많아보임. 체감상 100편의 영상중 약 10건의 오류정도..스팰링, you/your 혼동 등 (실제로 100편의 영상을 봄) 스크립트와 해석, 예시문구의 퀄리티가 사람마다 편차가 심함. 설명해줄법한 표현 스킵하기도...유투브 자막과 검색을 그냥 활용할껄, 광고에 속은게 분함. 2. 너무나 성의 없는 pc버전. pc버전용으로 하면 9천원인가 더 내는데 pc화면 최적화 아니고 그냥 폰 비율 그대로 화면에 갖다 붙임. 이정도로 9천원? 다들...전체 리뷰","컨텐츠는 나쁘지 않으나 1. 전문성이 떨어짐. 미국물은 먹어 영어는 잘하나 꼼꼼하지 못한 라이터가 많아보임. 체감상 100편의 영상중 약 10건의 오류정도..스팰링, you/your 혼동 등 (실제로 100편의 영상을 봄) 스크립트와 해석, 예시문구의 퀄리티가 사람마다 편차가 심함. 설명해줄법한 표현 스킵하기도...유투브 자막과 검색을 그냥 활용할껄, 광고에 속은게 분함. 2. 너무나 성의 없는 pc버전. pc버전용으로 하면 9천원인가 더 내는데 pc화면 최적화 아니고 그냥 폰 비율 그대로 화면에 갖다 붙임. 이정도로 9천원? 다들 좋은소리하니 별 생각이 없어지는 것 같음 3. 융통성없는 이용권 한달 이용권에 일시정지나 양도 기능이 없다니. 할인하는 때 기다렸다 결제한것도 아닌데 할인된 이용권은 모두 일시정지가 없나?(근데 10번 로그인함 9번은 할인중)분명 조건상 일시정지 기능 없다는게 명시되 있겠지만 있어다 한들 가독성이 떨어짐. 일시정지 안되는 이용권 처음봄.",no_answer
Sheila jorin,5,2019년 9월 13일,no_answer,영어공부 어플중에 가장 좋네요,no_specific_comment,no_answer
CHANGGEUN YU,4,2019년 9월 11일,no_answer,오늘아침부터 카톡로그인안되요 ㅜㅜ,no_specific_comment,no_answer
ᄋᄉᄋ.,4,2019년 9월 11일,no_answer,헉 잘 쓰고있는데 갑자기 .. 로그아웃되고...에러낫어요;-;,no_specific_comment,no_answer
정성한,1,2019년 9월 11일,no_answer,자꾸 서버에러 라고 뜨면서 로그인이 안되요,no_specific_comment,no_answer
friends friends,5,2019년 9월 11일,no_answer,Http500 Internal server error 떠서 이메일 로그인이 안됩니다,no_specific_comment,no_answer
been,5,2019년 9월 9일,no_answer,정말 진심으로 최고의 앱입니다. 교육분야 뿐만 아니라 전체적으로 통틀어서 이렇게 유익하고 재미있고 사용자들을 깊이 신경써주는 앱은 보지못한것같아요. 매일 빠짐없이 사용하던 무료이용자였는데 슈퍼팬은 이용권을 꼭 구매해야겠어요. 앞으로도 많은 발전 바래요 !! 아직 100만다운인게 이해가안되네요 ㅠ 슈퍼팬은 천만넘기고도 남을듯!!,no_specific_comment,no_answer
신의창,5,2019년 9월 7일,no_answer,공부하기 아주 좋습니다,no_specific_comment,no_answer
조완용,5,2019년 9월 4일,no_answer,사용자가 사용하기 쉽고 편리해요.,no_specific_comment,no_answer
용구허,5,2019년 9월 3일,no_answer,잘보고있어요,no_specific_comment,no_answer
DH choi,4,2019년 9월 2일,no_answer,다 좋은데 어플을 좀더 경량화해서 데이터 소모량이 줄어들면 좋겠네요. 외국에서 인터넷 환경이 안좋아서 이용이 불편해요.,no_specific_comment,no_answer
이해정,1,2019년 9월 1일,no_answer,무료이용너무적어요ㅠ,no_specific_comment,no_answer
Lee hyeyeon,3,2019년 8월 25일,no_answer,난잡함,no_specific_comment,no_answer
Hanna Kim,4,2019년 8월 23일,no_answer,굿,no_specific_comment,no_answer
김은영,5,2019년 8월 23일,no_answer,영화로 공부할수 있게되서 재밌어요,no_specific_comment,no_answer
장지형,4,2019년 8월 22일,no_answer,영어공부에 적당함 길지도 짧지도 않고 가끔 오역이 있는거 같지만 여전히 좋은 앱,no_specific_comment,no_answer
Jay Song,5,2019년 8월 22일,no_answer,혼자 공부하기 넘 좋아요!!^^ 그런데 토크쇼가 좀 더 자주 업데이트 되면 좋을 것 같아요,no_specific_comment,no_answer
skyjune0426,2,2019년 8월 21일,no_answer,돈들어요~무료 많은데,no_specific_comment,no_answer
Joong Jae Yoo,5,2019년 8월 21일,no_answer,좋아요!!,no_specific_comment,no_answer
쁨쁘니아,5,2019년 8월 20일,no_answer,다 좋은데 더 정확히 알아들을수있게 약간 재생속도 조절같은것도 생겼으면 좋겠어요!,no_specific_comment,no_answer
김ᄀᄅ,5,2019년 8월 20일,no_answer,미국식인가요? 영국식인가요?,no_specific_comment,no_answer
HooN Han,5,2019년 8월 19일,no_answer,굿!,no_specific_comment,no_answer
윤카라,3,2019년 8월 17일,no_answer,"UX도 맘에 들고, 실생활에서 활용할 수 있는 영어를 배울 수 있어서 좋아요. 다만 가격이 좀 높네요. 글로절 기업이라지만 왓차플레이, 넷플릭스 1달 구매권보다 갑절이상 높아서 구매하기에 망설어지는 건 사실이에요.",no_specific_comment,no_answer
박용화,2,2019년 8월 14일,no_answer,리ㅍ 시 ㅋㅅ 이 시 긱ㅍ 시 ㄱㅂ 곋ㅊㅅㅌ.ㄱ ㅣ비 ㅈmas,no_specific_comment,no_answer
이미그란,5,2019년 8월 11일,no_answer,꾸준히만 한다면 단연코 후회없을 겁니다.,no_specific_comment,no_answer
유예진,5,2019년 8월 9일,no_answer,사용한지 얼마 되진 않았지만 매우 만족스럽게 이용중이에요!,no_specific_comment,no_answer
수빈민,1,2019년 8월 9일,no_answer,요즘 업로드 속도도 늦고 대충 영화클립 3분정도 되는 짧은거 2개정도 띡 올리고 끝인 느낌. 분명 내가 좋아하는 배우들을 팔로우해서 영어배운다는 컨셉이라고 했으면 배우들이 나오는 영상들을 좀 골고루 업데이트 해야되는데 요즘 몇달간 주구장창 영화클립만 업로드.. 장난하냐?? 영화 클립만 올릴거면 할리우들 배우들 카테고리들은 왜 만든거임? 분명 영어를 배우는데에는 참 좋은 앱인건 인정하지만 요즘 그놈의 영화클립만 올리는거 지긋지긋🤬🤬 그리고 이거랑 비슷한 앱들도 많은데 이 앱 가격조절이 필요함.. pc버전도 쓰레기고 정 확 떨어짐 ...전체 리뷰,요즘 업로드 속도도 늦고 대충 영화클립 3분정도 되는 짧은거 2개정도 띡 올리고 끝인 느낌. 분명 내가 좋아하는 배우들을 팔로우해서 영어배운다는 컨셉이라고 했으면 배우들이 나오는 영상들을 좀 골고루 업데이트 해야되는데 요즘 몇달간 주구장창 영화클립만 업로드.. 장난하냐?? 영화 클립만 올릴거면 할리우들 배우들 카테고리들은 왜 만든거임? 분명 영어를 배우는데에는 참 좋은 앱인건 인정하지만 요즘 그놈의 영화클립만 올리는거 지긋지긋🤬🤬 그리고 이거랑 비슷한 앱들도 많은데 이 앱 가격조절이 필요함.. pc버전도 쓰레기고 정 확 떨어짐 다음엔 결제 안할거다 바이바이,no_answer
최수연,5,2019년 8월 7일,no_answer,좋아요,no_specific_comment,no_answer
