user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
heartto heart,4,2019년 8월 6일,no_answer,"잘 쓰고 있는데 건의하고 싶은 것들이 있어요. 1. 채팅 박스에도 남은 시간이 표시 되어있음 좋겠어요. (수업중에 채팅박스를 주로 열어놓는데 시간가는 줄 몰랐다가 종료된 적들이 있어서 당황스러웠거든요.) 2. 복습기능에서 원하는 구간으로 옮기는 게 쉬우면 좋겠어요. (원하는 지점인 몇분몇초에서 딱 듣고 싶어도 터치가 너무 어려워요.) 그리고 배속도 조정해서 빨리 들을 수 있게 지원해주시면 빠른 복습도 가능할 것 같아요. 3. ""나의 튜터"" 목록이 바로 보였으면 좋겠어요. 매번 튜터 탭 - 지금 접속 중인 튜터 - 나의 튜터 이렇게 ...전체 리뷰","잘 쓰고 있는데 건의하고 싶은 것들이 있어요. 1. 채팅 박스에도 남은 시간이 표시 되어있음 좋겠어요. (수업중에 채팅박스를 주로 열어놓는데 시간가는 줄 몰랐다가 종료된 적들이 있어서 당황스러웠거든요.) 2. 복습기능에서 원하는 구간으로 옮기는 게 쉬우면 좋겠어요. (원하는 지점인 몇분몇초에서 딱 듣고 싶어도 터치가 너무 어려워요.) 그리고 배속도 조정해서 빨리 들을 수 있게 지원해주시면 빠른 복습도 가능할 것 같아요. 3. ""나의 튜터"" 목록이 바로 보였으면 좋겠어요. 매번 튜터 탭 - 지금 접속 중인 튜터 - 나의 튜터 이렇게 들어가서 확인해야돼서 불편해요ㅠ 4. 수업하면서 매번 학생이 하는 말이 틀렸는지 안 틀렸는지 체크해주시는 게 기본 룰이었으면 좋겠어요ㅠ 그렇게 매번 짚어서 가르쳐주시는 튜터보다는, 주로 그냥 한번에 마지막에 몰아서 정리해주시는 튜터분들이 많으신데, 가끔 정리받은 내용을 보면 너무 짧아서 실망스러울 때가 있어요ㅠ",no_answer
레이첼,5,2019년 7월 26일,no_answer,안녕하세요 튜터링을 거의 3년째 이용하고있는 회원입니다. 영어회화를 위해 이 앱을 이용하게 되었는데 정말 좋아요. 튜터분들도 다 친절하시구...근데 불편한점은 요즘 튜터링 수업을 할때 계속 앱을 재시작한다고...뜨네요 한두번도 아니고 거의 수업하려고할때마다 뜨니까;;예약할때도 이것때문에 계속 늦어서 튜터분께 죄송하고 저도 불편하네요...와이파이도 분명 잘되는데.. 이런 문제점같은것만 빼면 진짜 좋은 앱 같아요. 사전도 바로 찾을수있구 좋습니다!!,no_specific_comment,no_answer
master 37,1,2019년 8월 5일,2019년 8월 6일,"15살 학생입니다. 영어회화가 잘 하고싶어서 이 앱으로 일단 한 달 수강권을 결제했는데, 이틀 뒤 시작할려고 앱을 들어가니 결제하지 않았다고 나오더군요. 어머니의 게좌로 입금해서 그런건가요? 후기를 보니 다른 분도 비슷한 일을 겪으셨던데, 프로그램 오류인지 궁금합니다. 빠른 답변 부탁드립니다.",no_specific_comment,answer
김룰루,1,2019년 7월 24일,2019년 7월 26일,한달에 152000원씩 결제되는데 전산오류로 4번이나 중복결제돼있어서 깜짝 놀라서 연락하니까 제대로 확인하신거냐고 되려 나한테 확인하라고함ㅋ 게다가 6일전에 4번이나 중복결제된걸 6일지나서도 모르고 이쪽에서 따지니까 그제서야 환불해주겠다고함 소비자 쪽에서 제대로 확인안했으면 눈먼 돈 「45만원」이나 날릴뻔함ㅋㅋ1~2만원도 아니고ㅋㅋ이 정도면일처리 수준이 진짜 심각한듯 다른분들도 결제금액 잘 확인하세요 눈먼돈 결제되어있을수도있음ㅋ,no_specific_comment,answer
백곰,1,2019년 8월 7일,no_answer,아니 씨 발 돈내야됨,no_specific_comment,no_answer
[원스]모모,1,2019년 8월 7일,2019년 8월 7일,이거 무통장 입금으로해서 수강할려 했는데 왜 안되는거죠? 이거 보시면 환불 부탁드리겠습니다.,no_specific_comment,answer
ᄋᄋ,4,2019년 8월 6일,no_answer,"안녕하세요 토픽카드 추가 요청했던 리뷰어입니다! 튜터링 특성상 원어민 분들과 실제에 많이 사용되는 표현들을 배울 수 있으니 일상회화 같은 토픽을 더 추가해주셨으면 좋겠어요. 원어민 코스프레 토픽 정말 잘 사용하고 있습니다XD 그리고 한가지 더 부탁드리고 싶은건 원어민 코스프레: 길 설명하기 카드와 원어민 코스프레: 스쿨 라이프 카드를 예로 들자면 예시 카드에서 표현을 배우고, 다음 카드에서 문장을 만들어 연습해 볼 수 있는데 여기서 한 표현을 배우자마자 바로 실전에 들어가자니 어떻게 문장에 그 표현을 사용하는지를(뒤에 부사구나 전치...전체 리뷰","안녕하세요 토픽카드 추가 요청했던 리뷰어입니다! 튜터링 특성상 원어민 분들과 실제에 많이 사용되는 표현들을 배울 수 있으니 일상회화 같은 토픽을 더 추가해주셨으면 좋겠어요. 원어민 코스프레 토픽 정말 잘 사용하고 있습니다XD 그리고 한가지 더 부탁드리고 싶은건 원어민 코스프레: 길 설명하기 카드와 원어민 코스프레: 스쿨 라이프 카드를 예로 들자면 예시 카드에서 표현을 배우고, 다음 카드에서 문장을 만들어 연습해 볼 수 있는데 여기서 한 표현을 배우자마자 바로 실전에 들어가자니 어떻게 문장에 그 표현을 사용하는지를(뒤에 부사구나 전치사를 붙혀야 하는 것 처럼요!) 잘 모르겠어서 조금 어렵고 표현이 기억이 안나는 등 어려움이 있는 것 같아요ㅠㅠ Let's practice 카드나 Let's practice 카드와 표현카드 사이에 배운 표현을 어떻게 활용하는지에 대한 방법을 알려주는 카드를 넣는 등 표현 사용 방법을 알려주셨으면 합니다! 튜터링 정말 잘쓰고 있어요. 늘 감사합니다:)",no_answer
박영해,3,2019년 8월 6일,2019년 8월 7일,"수업이 예약되어 있는데, 돌기만 돌고 앱이 열리지도 않네요. 삭제하고 다시 깔아도 똑같아요. 가끔 이렇게 안되는경우가 자주있네요",no_specific_comment,answer
무밍,3,2019년 8월 6일,no_answer,다른 앱들보다 저렴해서 좋아요. 대부분의 튜터분들도 친절하셔서 좋구요. 저는 지금 중국어와 영어 입문을 하고있는데요 솔직히 실력은 엄청 일취월장하게 늘지는 않지만 자신감이 생기는게 눈에 띄게 보여서 뿌듯했어요. 하지만 새로운 튜터와 수업을하는것은 좀 부담스러워서 늘 하는 튜터분과만 수업을 하고있어요ㅎ근데 수업예약을 해놔서 들어가려했는데 계속 안돼요. 튜터한테 메세지가와서보니 튜터도 로그인이 안된다고 하더라고요;; 근데 문제는 이런일이 한두번이 아니라 자주있는일이어서 좀 짜증이나네요. 또 수업도중 소리가 잘 안들리거나 잡음이 심한경우...전체 리뷰,다른 앱들보다 저렴해서 좋아요. 대부분의 튜터분들도 친절하셔서 좋구요. 저는 지금 중국어와 영어 입문을 하고있는데요 솔직히 실력은 엄청 일취월장하게 늘지는 않지만 자신감이 생기는게 눈에 띄게 보여서 뿌듯했어요. 하지만 새로운 튜터와 수업을하는것은 좀 부담스러워서 늘 하는 튜터분과만 수업을 하고있어요ㅎ근데 수업예약을 해놔서 들어가려했는데 계속 안돼요. 튜터한테 메세지가와서보니 튜터도 로그인이 안된다고 하더라고요;; 근데 문제는 이런일이 한두번이 아니라 자주있는일이어서 좀 짜증이나네요. 또 수업도중 소리가 잘 안들리거나 잡음이 심한경우가 많아요 이런부분은 업데이트를 몇번을 해도 안고쳐지네요.. 요약 1.다른앱보다 저렴하고 얼굴을 보는게 아닌 '통화'여서 마음이 좀더 편함 2.레벨별로있어 선택의 폭이 넓음 3.로그인이 안되거나 렉이 자주걸림 4.수업 중 잡음이 심함 5.소심한 사람은 수업하기전 많이 망설이게됨 6.자신감이 늘긴하지만 솔직히 실력이 많이 안늠(단어를 많이 알아야됨),no_answer
Sae Rom Kim,3,2019년 8월 6일,2019년 8월 7일,시스템이 너무 불안해서 접속이 잘안되요 ㅠ 수업은 너무 좋은데 이건 좀 ㅠㅠ,no_specific_comment,answer
