user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
진영,4,2019년 9월 28일,no_answer,검색기능이 추가되면 좋겠고요. 구매할때 구입할수있는 카드 종류가 적고 앱카드를 사용하지 않는 사람들에게 불편한 점이 있었습니다.,no_specific_comment,no_answer
이응유,3,2019년 9월 30일,no_answer,물건이 왔는데도 배송중이라고 뜨고 산지 3일이상된 물건이 있는데 배송완료만 뜨네요 예약판매도 아니던데...(앨범이요) 출고중도 안뜨고 뭐죠,no_specific_comment,no_answer
X소리씹어먹는까막귀,2,2019년 8월 27일,no_answer,평소에 이용하는 쇼핑몰 앱에서 무통장 입금을 사용해서 쓰는데 이 어플에는 그 기능이 적용이 안된 모양이네요; 빅히트 샵에는 있어서 쓸 수 있었는데 무통장 입금 기능을 추가해주시면 좋겠습니다^^; 가족 명의를 쓰고 있는 저와 같은 사람들에겐 그 기능이 꼭 필요합니다..ㅠ,no_specific_comment,no_answer
잇진【Army】,4,2019년 8월 8일,no_answer,앱이 나오자마자 사용하고 있는 아미에요!! 빅히트샵 때보다는 일단 편리한 것 같아서 좋아요.. 근데 일단 굿즈가 새로 들어오게 되면 알림 오는게 있었으면 좋겠어요.. 원래 있는 건지는 모르겠지만 저는 안되네요..품절 되면 사질 못하니까 만날 들어가봐야 해서 불편해요.. 품절 품목은 재고를 좀 늘려주시던지 해주셨으면 해여..,no_specific_comment,no_answer
이서윤,3,2019년 10월 6일,no_answer,"다 좋은데 체크카드도 없는 학생들을 조금이나마 배려해 주셨으면 좋겠네요...돈이 있어도 결제하려면 너무 복잡해서 사지 못하는 상황입니다. 예전 빅히트샵 때처럼 ""현금입금"" 해서살 수 있도록 결제 항목에 추가해 주셨으면 좋겠습니다💜",no_specific_comment,no_answer
괴물이,1,2019년 10월 5일,no_answer,품절됀상품 다시 안들어오나요 잘모르겠지만 꼭사구싶었어요ㅠㅠ,no_specific_comment,no_answer
이우엉,1,2019년 10월 4일,no_answer,뭣도 바꾸는것도 없으면서 업데이트만 조지게 많이해요 진짜 위해라 일플리,no_specific_comment,no_answer
김예찬,4,2019년 10월 4일,no_answer,1:1 문의신청에서 수정 삭제 기능좀 넣어주세요 불편해요.,no_specific_comment,no_answer
EBRAHIM HD,5,2019년 10월 3일,no_answer,Wow the army bomb official avry thing official,no_specific_comment,no_answer
ARMYorBUDDY ·,5,2019년 10월 2일,no_answer,이메일 바꾸기 있음 좋겠어요,no_specific_comment,no_answer
여우비,4,2019년 10월 2일,no_answer,택배보낼때 제품명 가리는 기능도 추가되면 좋겠어요ㅠㅠ,no_specific_comment,no_answer
Jin L,1,2019년 10월 1일,no_answer,방탄굿즈 앱에서만 팔아서 리셀러들 신났는데 대책없어요?아미밤 네이버쇼핑에서 68000원에 파는거 아십니까? 사태파악하고있어요? 앱만 운용해서 접근성 최악인데 상황파악했어요?,no_specific_comment,no_answer
이응유,3,2019년 9월 30일,no_answer,물건이 왔는데도 배송중이라고 뜨고 산지 3일이상된 물건이 있는데 배송완료만 뜨네요 예약판매도 아니던데...(앨범이요) 출고중도 안뜨고 뭐죠,no_specific_comment,no_answer
진영,4,2019년 9월 28일,no_answer,검색기능이 추가되면 좋겠고요. 구매할때 구입할수있는 카드 종류가 적고 앱카드를 사용하지 않는 사람들에게 불편한 점이 있었습니다.,no_specific_comment,no_answer
원스,5,2019년 9월 27일,no_answer,완전 좋음,no_specific_comment,no_answer
뀨앙,1,2019년 9월 27일,no_answer,제 기억 상으로 분명 빅히트샵 때는 삼 만원 이상이면 배송비 무료였는데 왜 올랐는지 궁금하네요ㅎㅋ... 이건 그냥 그렇다 쳐도 고객센터 대응이 너무 느립니다. 와도 다른 데 물어보라 그럴 거면 고객센터는 왜 있나요?,no_specific_comment,no_answer
LJ현,5,2019년 9월 27일,no_answer,쓸마 하규 좋은데 배송메세지 보냐는 항목 추가 해주세오~!,no_specific_comment,no_answer
양서연,1,2019년 9월 27일,no_answer,업데이트고만좀시키세요뭐가나아진다고계속시키는거야옘병,no_specific_comment,no_answer
Rᄀ,1,2019년 9월 26일,no_answer,콘서트..선예매인데 1인 2매가 웬말이냐..동반지인말고 아미한테 혜택을 줘라,no_specific_comment,no_answer
DaeHyou KooK,5,2019년 9월 26일,no_answer,BTS 💜 A good apply to buy officials products for Army around in the world,no_specific_comment,no_answer
08 LYA,4,2019년 9월 26일,no_answer,제가 엄마폰으로 코야 목배게를 샀는데 9월21일 10시 넘어서 주문했는데 한국에서 사면 2~4일 정도 배송하는데 걸린다고 했는데 지금은 9월26일이거든요 5일째에요....짜증나는건 아닌데 빨리 왔으면 좋겠어요 저번에는 화양연화: the note샀었을땐 딱 4일 걸렸는데 이런거 빼고는 다 좋은것 같아요!,no_specific_comment,no_answer
Lee Joo,3,2019년 9월 26일,no_answer,업데이트 하라는데 업데이트가 없으면 어떡하나요;;;,no_specific_comment,no_answer
문06,1,2019년 9월 26일,no_answer,무통장 입금이 생겼으면 좋겠습니다 저같은 학생들은 사질 못하니..,no_specific_comment,no_answer
박지민계좌불러,5,2019년 9월 25일,no_answer,개 좋고 가성비 짱,no_specific_comment,no_answer
손순녀,5,2019년 9월 25일,no_answer,덕분에 아미밤샀네여어:),no_specific_comment,no_answer
ᄋᄋ,3,2019년 9월 23일,no_answer,회원가입 어캐함,no_specific_comment,no_answer
정꾸기보라해,5,2019년 9월 22일,no_answer,좋아요! 근데 캐시는 왜 모으나욥?,no_specific_comment,no_answer
