user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
김시연,2,2019년 9월 30일,no_answer,영상보는데 엄청끊기고..하아..답답해답답해ㅠㅠㅠㅠ 영상좀안끊겼으면제발...ㅠㅠㅠㅠㅠㅠㅠㅠ보라는건가요보지말라는건가요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ어플종료하고다시열어도 그대로끊긴다요...ㅠㅠㅠㅠㅠㅠㅠㅠ,no_specific_comment,no_answer
수현,3,2019년 9월 25일,no_answer,아티스트랑 소통하고 같은 버디분들이랑 소통하는거 다 좋은데 사진이 자꾸 안뜹니다ㅠㅜ며칠 전 부터 사진이 아예 안 보여요ㅠㅠㅜ그리고 위버스를 이용하는 사람들중 게시물에 눈쌀 찌푸려지는 내용들도 많은 편이고...보완할점이 아직 많은 것 같아요.,no_specific_comment,no_answer
방탄이 하버드보라해,1,2019년 10월 2일,no_answer,별 하나도 주기아까워요;;;이메일 전송 뭐 어쩌자는거죠? 이메일 전송되지도 않고 가입조차 안돼고 눌렀는대 팅기고;;;;이내용 리뷰 많은거같은대 좀 개선이 필요하다고느껴요,no_specific_comment,no_answer
박소연,5,2019년 9월 22일,no_answer,이 앱을 사용하니깐 많이 좋아요 근데 몇까지만 해결 해주셨으면 좋겠어요 1신고 기능인데 가끔 어떤 질투느끼시는 몇몇 팬분들이 아무런 문제가 되지도 않은 글에 맴버들이 댓글을 많이 달아주거나 그 외에도 다른 것 때문에 신고를 하여 없어지는 일이 있더라고요 만약에 신고를 당하였으면 없어지는것보다 경고나 메시지나 다른방안으로 마련 해주셨으면 좋겠고요 2트위터나 인스타 같은 sns소식도 같이 넣으셨으면좋겠습니다 친해지고 싶은 팬들과 채팅방이 따로 있었으면 좋겠습니다.(쪽지 같은거) 왜냐하면 같이 덕질하면서 친해지고 싶는 이유도 있고 댓글에...전체 리뷰,이 앱을 사용하니깐 많이 좋아요 근데 몇까지만 해결 해주셨으면 좋겠어요 1신고 기능인데 가끔 어떤 질투느끼시는 몇몇 팬분들이 아무런 문제가 되지도 않은 글에 맴버들이 댓글을 많이 달아주거나 그 외에도 다른 것 때문에 신고를 하여 없어지는 일이 있더라고요 만약에 신고를 당하였으면 없어지는것보다 경고나 메시지나 다른방안으로 마련 해주셨으면 좋겠고요 2트위터나 인스타 같은 sns소식도 같이 넣으셨으면좋겠습니다 친해지고 싶은 팬들과 채팅방이 따로 있었으면 좋겠습니다.(쪽지 같은거) 왜냐하면 같이 덕질하면서 친해지고 싶는 이유도 있고 댓글에다가 쓰면서 다른 사람또는 아티스트에게 보여주고 싶지 않을 때 메세지나 쪽지 같은걸로 주고받으먼서 친해지고 싶어요 4.사진이나 움짤을 올릴수 있는 갯수를 늘렸으면 좋겠습니다 동영상도 올리고 싶어요 팬들만 볼수있게 하는 기능도 있듯이 아티스트에게만 볼수있게 하는 기능도 있었으면 좋겠어요 아티스트 댓글은 위로 고정을해서 쉽게 볼수있게 하면좋겠어요,no_answer
SUGA LOVE-슙슙이,5,2019년 10월 6일,no_answer,아티스트와 소통할 수 있어서 엄청 좋아요!,no_specific_comment,no_answer
방소단처돌이,2,2019년 10월 6일,no_answer,"저 방탄소년단이랑 투모로우바이투게더 둘 다 가입했는데요 1. 글을 쓸 때 내가 방탄 위버스인지 투바투 위버스인지 구분을 할 수 있게 해달라. (잘 못 쓰면 다른 팬들이 엄청 싫어함.) 2. 알림도 그냥 대충 ""[BTS 위버스]"", ""[TXT 위버스]"" 이렇게 하지말고 구분 창을 만들어주세요.. 3. 가입을 좀 어렵게 해달라. 투바투는 아직 신인이어서 잘 안 꼬이는데 방탄은 진짜 너무 많이 꼬이는 사람들이 많음. 경고 연속으로 3번 당하면 탈퇴당하는 기능 좀 추가해주시고요. 4. '한국어 ☞ 영어' 번역은 있는데 왜 '영어 ☞ 한국어...전체 리뷰","저 방탄소년단이랑 투모로우바이투게더 둘 다 가입했는데요 1. 글을 쓸 때 내가 방탄 위버스인지 투바투 위버스인지 구분을 할 수 있게 해달라. (잘 못 쓰면 다른 팬들이 엄청 싫어함.) 2. 알림도 그냥 대충 ""[BTS 위버스]"", ""[TXT 위버스]"" 이렇게 하지말고 구분 창을 만들어주세요.. 3. 가입을 좀 어렵게 해달라. 투바투는 아직 신인이어서 잘 안 꼬이는데 방탄은 진짜 너무 많이 꼬이는 사람들이 많음. 경고 연속으로 3번 당하면 탈퇴당하는 기능 좀 추가해주시고요. 4. '한국어 ☞ 영어' 번역은 있는데 왜 '영어 ☞ 한국어'는 왜 안되나요? 5. 나이 제한 좀 만들어주세요. 만 14세 이상으로요. 제발 부탁드려요. 6. 그리고 혹시나해서 절대로 팬들끼리 친목다지는 그런거 절대로 추가하지마세요. 사람들끼리 친목다지는 그런거 앱이 망하기에 좋은 길입니다. 혹시나 친목다질 수 있게 해달라는 글 보여서 식겁해서 남겨봐요",no_answer
김선미,5,2019년 10월 5일,no_answer,🙆‍♀️🙆‍♂️💜,no_specific_comment,no_answer
현정,5,2019년 10월 4일,no_answer,너무 좋아여💜💜,no_specific_comment,no_answer
Annie. J,5,2019년 10월 4일,no_answer,좋아요.방탄때문에 가입,no_specific_comment,no_answer
례쁨이,5,2019년 10월 4일,no_answer,너무 방탄소년단이 조아영,no_specific_comment,no_answer
kpop btś . twice . exo. aarohi,5,2019년 10월 4일,no_answer,وأخيرا لقيت تطبيق يمكني من التواصل مع bts حقا😘😘😘😘😘😘😍😱💋😵❤😉,no_specific_comment,no_answer
소원아소정해,3,2019년 10월 2일,no_answer,업뎃은 자꾸 하라는데 바뀌는건 못 찾겠네 그냥 답글 다는 기능 좀 생성해 주세요 업뎃할 공간도 읎는데 자꾸 업뎃하라 그러고 하면 바뀌는 것도 없고 근데 안 하면 사용을 못하게 하고 다 됬으니까 답글 기능 부탁해요 그거 넣으시고 업뎃하라 하세여 저만 머가 바뀌는지 모르나요 ? _ ?,no_specific_comment,no_answer
_The_Novak_,4,2019년 10월 2일,no_answer,Благодаря этому я могу сказать что у меня есть только одно правило на работе с человеком который меня бесит,no_specific_comment,no_answer
ARMYorBUDDY ·,5,2019년 10월 2일,no_answer,이메일 바꾸기 있음 좋겠어요,no_specific_comment,no_answer
방탄이 하버드보라해,1,2019년 10월 2일,no_answer,별 하나도 주기아까워요;;;이메일 전송 뭐 어쩌자는거죠? 이메일 전송되지도 않고 가입조차 안돼고 눌렀는대 팅기고;;;;이내용 리뷰 많은거같은대 좀 개선이 필요하다고느껴요,no_specific_comment,no_answer
김소현,1,2019년 10월 2일,no_answer,업데이트좀 앤만하세요 업데이트 하던말던 실행은 되게 만들어야될거아니에요;,no_specific_comment,no_answer
YouTube정적가든,3,2019년 10월 1일,no_answer,개발자님 to artist 기능 27일 이후로 글이 안보입니다 그리고 알림 울리는게 너무 느려요;; 이 문제 해결좀 해주세요...,no_specific_comment,no_answer
시원한선풍기,5,2019년 10월 1일,no_answer,방탄과 소통가능으로 별 5개,no_specific_comment,no_answer
하솜%,1,2019년 10월 1일,no_answer,이메일 전송을 하는데 이메일이 오질 않네요;;제가 이 앱을 깐지 3주나 됐는데 아직도 가입이 안되네요;;이것좀 고쳐주세요.,no_specific_comment,no_answer
지수,1,2019년 10월 1일,no_answer,지금 회원가입하고 있는데 이메일에 인증이 안돼요 엄저라는거죠?????,no_specific_comment,no_answer
레이나,5,2019년 10월 1일,no_answer,❤,no_specific_comment,no_answer
김시연,2,2019년 9월 30일,no_answer,영상보는데 엄청끊기고..하아..답답해답답해ㅠㅠㅠㅠ 영상좀안끊겼으면제발...ㅠㅠㅠㅠㅠㅠㅠㅠ보라는건가요보지말라는건가요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ어플종료하고다시열어도 그대로끊긴다요...ㅠㅠㅠㅠㅠㅠㅠㅠ,no_specific_comment,no_answer
이정은,5,2019년 9월 30일,no_answer,팬과 아이돌이 소통할 수 있어서 개인적으로 정말좋아요👍,no_specific_comment,no_answer
Hayoung Jeon,4,2019년 9월 28일,no_answer,업데이트가 안돼서 지우고 다시 다운받으려니까 다운도 안돼요ㅠㅠㅠ 핸드폰 용량도 많은데ㅠㅠㅠ뭐가 문제일까요ㅠㅠㅠ어떻게 해야되나요ㅠㅠ,no_specific_comment,no_answer
이소은,5,2019년 9월 28일,no_answer,여윽시 방탄방탄💜💜,no_specific_comment,no_answer
뷔글뷔글,5,2019년 9월 27일,no_answer,너무좋근데 아티스트에서 개인 쪽지그런거보낼수있었음좋겠어요 ㅜㅜ,no_specific_comment,no_answer
최창순,5,2019년 9월 27일,no_answer,좋습니다,no_specific_comment,no_answer
김아미,5,2019년 9월 27일,no_answer,말해뭐함 최고의 앱입니다. 아포방포,no_specific_comment,no_answer
수현,3,2019년 9월 25일,no_answer,아티스트랑 소통하고 같은 버디분들이랑 소통하는거 다 좋은데 사진이 자꾸 안뜹니다ㅠㅜ며칠 전 부터 사진이 아예 안 보여요ㅠㅠㅜ그리고 위버스를 이용하는 사람들중 게시물에 눈쌀 찌푸려지는 내용들도 많은 편이고...보완할점이 아직 많은 것 같아요.,no_specific_comment,no_answer
김효준,1,2019년 9월 24일,no_answer,제가 어제 새벽부터 피드를 쓰고싶은데 글을쓰면 저만 보이고 다른사람에겐 안보입니다. 그레서 네이버 메일을 봐도 스펨을 봐도 위버스 메일이 없어서 무슨이유때문에 다른사람에게 제 피드가 안보여서 너무 불편합니다. 저도 다른사람에게 제 피드를 보여주고싶은데 안떠서 너무 화납니다.,no_specific_comment,no_answer
황보배,4,2019년 9월 23일,no_answer,진짜 다 좋고 팬들이랑도 소통할 수 있어서 너무 좋은데 댓글에 답을 달 수 있게 해주셨으면 좋겠어요 ㅠㅠ 댓글에 대한 답을 드리고 싶어도 드릴 수가 없고 그냥 그 밑에 댓글로 쓰면 당사자분한테는 알림이 안 가니까 그 분이 못 보셔요 ㅠㅠ 한 번만 생각해 주세요 제발 ㅜㅠㅠ,no_specific_comment,no_answer
민윤기천재짱짱맨뿡뿡,2,2019년 9월 23일,no_answer,공카처럼 등업있으면 좋겠어요 머글유입이 너무많아서 악플이 많습니다,no_specific_comment,no_answer
이가현,5,2019년 9월 23일,no_answer,위머스 아미들과 소통할수있어서 좋은데 언제부턴가 갑자기 위버스가 중지 되었다네요.ㅜ 저만그런가요?? 이점 개선해주시면 감사하겠습니다.,no_specific_comment,no_answer
이연탄소녀,3,2019년 9월 23일,no_answer,저만 그런건지는 모르겠는데여 이메일 인증을 하라니 무슨 말인지 모르겠네요 이메일 전송을 해도 되지도 않고요 방탄오빠들이랑 소통하고 싶었는데ㅜㅜ 어떻게 하는지 알려주시면 안될까요????,no_specific_comment,no_answer
