user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
박호준,2,2019년 12월 15일,2019년 12월 16일,어플 실행시 광고가 나오고나서 몇초 안되는 사이에 흰색화면이 오른쪽에서 슬라이드로 나타나더니 뒤로가기도 안 되고 화면 터치도 안 먹혀서 어플을 끌 수 밖에 없습니다 물론 다시 켜도 똑같이 반복되구요 갤럭시 s7입니다,no_specific_comment,answer
Jae L,4,2019년 12월 14일,2019년 12월 16일,보통 숙박업소 어플 시스템은 도찐개찐인데 내가 야놀자를 사용하는 이유는 딱 한가지다. 엿같은 업데이트 내 결정으로 하고 안하고 정할 수 있고 업데이트 안해도 사용가능하다. 다른 어플들은 업데이트 강제로 겁나 자주 하는게 강요처럼 느껴져서 기분나쁘다. 국내 호텔 모텔은 야놀자하나만 쓴다.,no_specific_comment,answer
유하림,1,2019년 12월 13일,2019년 12월 13일,아 장난하는것고 아니고 검색란에서 서울대전대구부산제주도 그어디를쳐도 검색결과가없다고만나오고 뭐어쩌라는건지???? 지역검색오류인가해서 숙소이름쳐넣어도 검색할수가없다그러고 지역선택들어가서 니들이 제공해둔 지역탭선택하거나 지하철역선택해서 들어가도아무것도안나오고 대한민국에 숙소가 단한개도없는거야뭐야 짜증나게하네 일정에없다가 당장 내일숙소잡아야하니까 어플사용하는건데 뭐어쩌란거임????,no_specific_comment,answer
이동민,1,2019년 12월 16일,2019년 12월 17일,야놀자 쓰시려는분들 참고바랍니다. 야놀자는 11/25일에 12월31일 입실하도록 예약완료도됐고 결제도 됐는데 12월/16에 중복예약됐다고 환불하면서 취소하는 곳입니다. 확인하는데 무슨 20일이 넘게 걸립니까? 이제와서 다른날도아니고 12/31일 입실할 숙소를 이런식으로 처리하면 어쩌자는거죠? 이제와서 그럼 어쩌냐고하니까 예약규정에 그렇게 나와있다고 어쩔수 없다고만 말하네요. 예외규정에 나와있죠 그럼 그 규정대로라면 업주가 맘대로 핑계대면 끝인거네요? 소비자에대한 보호규정은 하나도 없고? 그런데 사용자 사정상 취소규정은 그렇게 까다롭...전체 리뷰,야놀자 쓰시려는분들 참고바랍니다. 야놀자는 11/25일에 12월31일 입실하도록 예약완료도됐고 결제도 됐는데 12월/16에 중복예약됐다고 환불하면서 취소하는 곳입니다. 확인하는데 무슨 20일이 넘게 걸립니까? 이제와서 다른날도아니고 12/31일 입실할 숙소를 이런식으로 처리하면 어쩌자는거죠? 이제와서 그럼 어쩌냐고하니까 예약규정에 그렇게 나와있다고 어쩔수 없다고만 말하네요. 예외규정에 나와있죠 그럼 그 규정대로라면 업주가 맘대로 핑계대면 끝인거네요? 소비자에대한 보호규정은 하나도 없고? 그런데 사용자 사정상 취소규정은 그렇게 까다롭고? 환불은 또 3일은 걸린다네요? 이제 어플 예약해두고도 내가 숙소에 전화해서 계속 확인받으며 증거남겨야 하는거네요? 그래도 업주가 취소하면 규정상 어쩔수없는건가요? 저희만 가는게 아니라 다른분들 31일 휴가 써둔상태인데 19년의 끝과 20년의 시작을 참 좋게 시작하게 해주네요. 생각할수록 화가나고 중요한날 방 예약도 못하겠네요ㅡㅡ,answer
이명훈,4,2019년 12월 18일,no_answer,좋아요,no_specific_comment,no_answer
으잉,5,2019년 12월 18일,no_answer,편하고좋아요.,no_specific_comment,no_answer
박은비,4,2019년 12월 17일,no_answer,좋아요! 저렴하게 할수있는것들이 많아서 좋아요!,no_specific_comment,no_answer
Google 사용자,5,2019년 12월 17일,no_answer,출장와서 가성비 좋은곳을 찾기 좋아요^^,no_specific_comment,no_answer
김민준,5,2019년 12월 17일,no_answer,타 어플에 비해 저렴해서~,no_specific_comment,no_answer
유승환,5,2019년 12월 17일,no_answer,간편하게 예약할때 상당히 도움돼요,no_specific_comment,no_answer
구성욱,5,2019년 12월 17일,no_answer,편하네요,no_specific_comment,no_answer
