user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
대현김,5,2019년 7월 7일,2019년 7월 8일,영상통화 재미있고 유용한 앱입니다. 하지만 영상통화에 걸맞는 앱처럼 예쁜 필터가 있으면 좋겠습니다. 현재 아자르 앱 필터는 뽀샵처리가 거의 안되거나 너무 하얗게 되거나 노랗게 됩니다. 예쁘지 않게 나옵니다. 적당한 필터가 추가되었으면 좋겠습니다. 꼭이요ㅜㅜ 가끔 사람들이 아자르 속 자신의 모습이 마음에 들지 않아 얼굴을 비추지 않는 경우가 종종 있는데 적당한 필터가 도입되면 사람들끼리 더 좋은 모습을 마주하고 영상통화를 할 수 있을 거라 봅니다. 긴글 읽어주셔서 감사합니다. 추가로 앱 배터리 소모량이 어마무시합니다. 개선이 될 수 ...전체 리뷰,영상통화 재미있고 유용한 앱입니다. 하지만 영상통화에 걸맞는 앱처럼 예쁜 필터가 있으면 좋겠습니다. 현재 아자르 앱 필터는 뽀샵처리가 거의 안되거나 너무 하얗게 되거나 노랗게 됩니다. 예쁘지 않게 나옵니다. 적당한 필터가 추가되었으면 좋겠습니다. 꼭이요ㅜㅜ 가끔 사람들이 아자르 속 자신의 모습이 마음에 들지 않아 얼굴을 비추지 않는 경우가 종종 있는데 적당한 필터가 도입되면 사람들끼리 더 좋은 모습을 마주하고 영상통화를 할 수 있을 거라 봅니다. 긴글 읽어주셔서 감사합니다. 추가로 앱 배터리 소모량이 어마무시합니다. 개선이 될 수 있다면 이 점도 검토해주시면 좋겠습니다.,answer
추성천,5,2019년 6월 21일,2019년 6월 21일,채팅 어플에 대한 그런 선입견 같은거 있었는데 아자르는 뭔가 다르네요 지금까지 잘 이용 중에 있습니다 . 한번 이용하고 나면 중독이 되서 그런지 너무 재미있네요! ㅋㄷㅋㄷ 더 많이 업데이트 해주세요~!!!!,no_specific_comment,answer
is dan,1,2019년 4월 27일,2019년 4월 29일,한국남자 같은 남자보면 욕설 시비거는 것들 있음. 한국여자 대부분 본인얼굴 다가리거나 눈만 내밀고 시작 라디오방송인가.. 랜덤돌리면 터키 인도 이집트 등 이쪽 나라 엄청 걸리고 동양인비하 많이함 신고해도 안먹힘. 간간히 옷벗고 본인 성기보여주는 남자나 가슴보여주는 여자들 있음 한국사람은 신고하면 먹히는듯한데 외국애들 신고해도 계속 보임. 아르헨여자 첨 볼땐 얼굴 보이다가 삼십분뒤 다시 매칭됬을때 옷벗고 가슴보여주고 있길래 웃었더니 곧 내가 정지댐 응?ㅋㅋㅋ백날 이거써도 보니까 이어플은 죄다 모든사람한테 메크로 똑같은 답변 달기해서 ...전체 리뷰,한국남자 같은 남자보면 욕설 시비거는 것들 있음. 한국여자 대부분 본인얼굴 다가리거나 눈만 내밀고 시작 라디오방송인가.. 랜덤돌리면 터키 인도 이집트 등 이쪽 나라 엄청 걸리고 동양인비하 많이함 신고해도 안먹힘. 간간히 옷벗고 본인 성기보여주는 남자나 가슴보여주는 여자들 있음 한국사람은 신고하면 먹히는듯한데 외국애들 신고해도 계속 보임. 아르헨여자 첨 볼땐 얼굴 보이다가 삼십분뒤 다시 매칭됬을때 옷벗고 가슴보여주고 있길래 웃었더니 곧 내가 정지댐 응?ㅋㅋㅋ백날 이거써도 보니까 이어플은 죄다 모든사람한테 메크로 똑같은 답변 달기해서 답이없음. 안함 ㅅㄱ,answer
min kim,1,2019년 5월 20일,2019년 5월 21일,와 날강도같은 기업임. 일주일 체험판이 있어서 사용했음. 딱10분 . 그런데 어느날 정기구독 유료결재됨. 취소해달라고하니 안된다함. 1주일지나면 자동결재가된다내요. 그런 문구가 어디에 써붙어 있는지 모르겠지만. 당일 10분사용하고 지운앱입니다. 자신들의 고지의 의무는 어디 코딱지만한글씨로 써서 고객이 알지도 못하게 결재를 유도하내요. 참고하셔서 저같은 피해를 입지말기바랍니다. 방통위나. 공정거래위원회에 고발하겠습니다.,no_specific_comment,answer
김석찬,1,2019년 7월 15일,no_answer,욕도안했는대 신고 먹어서 문의했는대 바뀌는게 없다,no_specific_comment,no_answer
고래가래사바리가,5,2019년 7월 15일,no_answer,제발.. 저 이거 잘못 눌러서 결제 된간데 어떻게 환불 안되나요?????,no_specific_comment,no_answer
소대장,1,2019년 7월 15일,no_answer,아니 대놓고 지 성기보여주는애들은 정지안시키고 전 천장보여주고 안녕하세요 했는데 왜 정지죠?,no_specific_comment,no_answer
박유진,1,2019년 7월 14일,no_answer,번호인증 왜넣은거지? 문자는오지도 않고ㅉ 쓰레기같은 번호인증좀 빼지?,no_specific_comment,no_answer
하나,2,2019년 7월 14일,no_answer,안깔아져여,no_specific_comment,no_answer
위건욱,5,2019년 7월 14일,no_answer,제가 많은결제를했는데 혜택은 없나요?,no_specific_comment,no_answer
