user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
숄뎨,4,2019년 7월 9일,2019년 7월 10일,"간단히 말하자면 많은 사람들의 리뷰를 볼 수 있어서, 총 별점을 볼 수 있어서, 저의 피부 상태에 따라 빠르게 검색할 수 있어서, 이벤트에 참여 할 수 있어서(아직 한 번도 당첨되보진 않았지만) 화장품의 성분을, 그 성분의 역할, 의도 등을 알 수 있어서 정말 편리하고 믿음이 갔지만 인터넷 배송이 힘들 수 있는 저에겐 그 화장품이 어느 로드샵에서 파는지 알 수 있었으면 좋겠습니다. 예를들어 제가 코스알엑스 제품의 '아하/바하 클래리파잉 트리트먼트 토너'제품을 찾는데 앞서 말씀드린것과 같이 저처럼 인터넷 배송이 힘드신 분들을 위해 제...전체 리뷰","간단히 말하자면 많은 사람들의 리뷰를 볼 수 있어서, 총 별점을 볼 수 있어서, 저의 피부 상태에 따라 빠르게 검색할 수 있어서, 이벤트에 참여 할 수 있어서(아직 한 번도 당첨되보진 않았지만) 화장품의 성분을, 그 성분의 역할, 의도 등을 알 수 있어서 정말 편리하고 믿음이 갔지만 인터넷 배송이 힘들 수 있는 저에겐 그 화장품이 어느 로드샵에서 파는지 알 수 있었으면 좋겠습니다. 예를들어 제가 코스알엑스 제품의 '아하/바하 클래리파잉 트리트먼트 토너'제품을 찾는데 앞서 말씀드린것과 같이 저처럼 인터넷 배송이 힘드신 분들을 위해 제품 이름 옆에 이 제품은 (예)올리브영, 랄라블라, 롭스에서 팔고있습니다. 와 같이 오프라인 매장을 함께 알려주시면 더더욱 괜찮을 것 같아요.",answer
송태영,4,2019년 7월 12일,2019년 7월 12일,"리뷰가 누가봐도 조작이 아닌 실 사용자가 작성했다는 점이 보이고, 이용자를 위한 이벤트가 다양하다는 점이 아주 좋아요^^ 옥에 티라면 화해쇼핑으로 구매 가능한 브랜드가 생각보다 적고, 화해쇼핑을 이용할 가격이나 편리함 면에서 메리트라 적어서 아쉽습니다ㅠㅠ",no_specific_comment,answer
Ray Han,5,2019년 5월 24일,no_answer,"그동안 앱 다운만 받아놓고, 본격적으로 쓰기 시작한 지 1달된 유저입니다. 정말 좋은 앱입니다. 화장품 성분들도 전부 확인할 수 있고, 각 카테고리별로 랭킹도 볼 수 있고, 그리고 제가 생각하는 가장 큰 장점은 저랑 비슷한 피부타입을 가진 사람들의 후기를 볼 수 있다는 점입니다. 화장품 고를때 실패할 확률도 줄어들고, 정말 유용해요. 리뷰관리도 운영측에서 철저히 하는거 같은데, 앞으로도 꼼꼼하게 리뷰관리해서 신뢰있는 정보가 많이 쌓이면 좋겠습니다!!!",no_specific_comment,no_answer
JJI N,5,2019년 6월 7일,no_answer,"화해 앱을 알고 피부가 정말 많이 좋아진 유저입니다. 오늘 제가 올린 리뷰들 쭉 훑어보다가 아 정말 피부가 많이 좋아졌구나, 화해 앱 개발하신 분께 넘 감사하다 ㅜ 이런 생각하고 있는데 앱에 화해칭찬하기가 있길래 리뷰씁니다ㅋㅋㅋ 일단 화해가 아니었으면 알지 못했을 현재 사용중인 화장품 브랜드들을 알게 되었고, 성분을 보고 구매여부를 판단할 수 있게 되었어요. 초반에는 무조건 화해어플에서 제공하는 기준에만 맞춰서 사려고 했지만, 이제는 어떤 성분이 어떤 역할을 하고 어떤 성분이 내 피부에 맞는지 어떤 성분을 피해야할 지 스스로 판단하...전체 리뷰","화해 앱을 알고 피부가 정말 많이 좋아진 유저입니다. 오늘 제가 올린 리뷰들 쭉 훑어보다가 아 정말 피부가 많이 좋아졌구나, 화해 앱 개발하신 분께 넘 감사하다 ㅜ 이런 생각하고 있는데 앱에 화해칭찬하기가 있길래 리뷰씁니다ㅋㅋㅋ 일단 화해가 아니었으면 알지 못했을 현재 사용중인 화장품 브랜드들을 알게 되었고, 성분을 보고 구매여부를 판단할 수 있게 되었어요. 초반에는 무조건 화해어플에서 제공하는 기준에만 맞춰서 사려고 했지만, 이제는 어떤 성분이 어떤 역할을 하고 어떤 성분이 내 피부에 맞는지 어떤 성분을 피해야할 지 스스로 판단하고 구매할 수 있게 되었어요. 화해 통해서 제품을 좀 더 저렴하게 구입하기도 했구요. 화해라는 어플은 사람들이 티비광고나 브랜드의 유명세가 아닌 다양한 기준들로 제품을 판단하는 똑똑하고 현명한 고객이 될 수 있게 해주었고, 화장품 브랜드들이 성분을 신경써서 제품을 만들도록 이끌었다고 생각해요. 감사하고 응원합니다!",no_answer
l 22,5,2019년 7월 13일,no_answer,예전엔 리뷰 다 올려졌었다. 욕도 거친말도 없고 추천못하겠다 정도의 솔직한 리뷰를 쓰면 무조건 규정 나불대면서 블라인드처리. 사용감이 별로일 수도 있지 긍정적인 리뷰만 올려지는 화해. 변했다. 사람끌어모으고나니 이젠 장사속. 이벤트낚시로 유지하면서 점점 광고위주고 실사용자들의 이런저런 리뷰가 없는 지금의 화해. 이젠 네이버블로그같은 그저그런 앱.,no_specific_comment,no_answer
은지,3,2019년 7월 13일,no_answer,이벤트 처음 참여할때는 리뷰를 남길수 있는게 없어서 당첨 되기가 어려워요...,no_specific_comment,no_answer
ᄑᄑ,5,2019년 7월 13일,no_answer,"자칫 놓치기쉬운 화장품 성분도 알 수 있고, 자주 열리는 이벤트까지 다 너무너무 좋아요ㅜㅜ♡ 그리고 개발자분들이 얼마나 화해에 정성을 쏟으시는지 느껴집니다..",no_specific_comment,no_answer
아현Yes i am,5,2019년 7월 13일,no_answer,유용해요. 이번에 이벤트에 당첨이 되었는데 적은번호가 수신이 불가하여 설문조사 문자를 못받게 되었는데요. 설문조사 문자를 다른번호나 이메일로 보내줄순없나요? 택배는 받았어요.,no_specific_comment,no_answer
이서희,4,2019년 7월 13일,no_answer,오늘 깔았는데 혹시 이거 15살부터 되는 건가요? 가입할 때 출생년도가 05까지밖에 없던데....,no_specific_comment,no_answer
츄르리,5,2019년 7월 12일,no_answer,내가 쓴 리뷰도 화장품 카테고리 스킨케어 클렌징 등 랭킹처럼 나누어주셨음 좋겠습니다 리뷰 밑에는 찾기가 힘들어서요,no_specific_comment,no_answer
