user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
무밍,3,2019년 8월 6일,2019년 8월 8일,다른 앱들보다 저렴해서 좋아요. 대부분의 튜터분들도 친절하셔서 좋구요. 저는 지금 중국어와 영어 입문을 하고있는데요 솔직히 실력은 엄청 일취월장하게 늘지는 않지만 자신감이 생기는게 눈에 띄게 보여서 뿌듯했어요. 하지만 새로운 튜터와 수업을하는것은 좀 부담스러워서 늘 하는 튜터분과만 수업을 하고있어요ㅎ근데 수업예약을 해놔서 들어가려했는데 계속 안돼요. 튜터한테 메세지가와서보니 튜터도 로그인이 안된다고 하더라고요;; 근데 문제는 이런일이 한두번이 아니라 자주있는일이어서 좀 짜증이나네요. 또 수업도중 소리가 잘 안들리거나 잡음이 심한경우...전체 리뷰,다른 앱들보다 저렴해서 좋아요. 대부분의 튜터분들도 친절하셔서 좋구요. 저는 지금 중국어와 영어 입문을 하고있는데요 솔직히 실력은 엄청 일취월장하게 늘지는 않지만 자신감이 생기는게 눈에 띄게 보여서 뿌듯했어요. 하지만 새로운 튜터와 수업을하는것은 좀 부담스러워서 늘 하는 튜터분과만 수업을 하고있어요ㅎ근데 수업예약을 해놔서 들어가려했는데 계속 안돼요. 튜터한테 메세지가와서보니 튜터도 로그인이 안된다고 하더라고요;; 근데 문제는 이런일이 한두번이 아니라 자주있는일이어서 좀 짜증이나네요. 또 수업도중 소리가 잘 안들리거나 잡음이 심한경우가 많아요 이런부분은 업데이트를 몇번을 해도 안고쳐지네요.. 요약 1.다른앱보다 저렴하고 얼굴을 보는게 아닌 '통화'여서 마음이 좀더 편함 2.레벨별로있어 선택의 폭이 넓음 3.로그인이 안되거나 렉이 자주걸림 4.수업 중 잡음이 심함 5.소심한 사람은 수업하기전 많이 망설이게됨 6.자신감이 늘긴하지만 솔직히 실력이 많이 안늠(단어를 많이 알아야됨),answer
자듀,5,2019년 8월 8일,2019년 8월 8일,지금까지 다른 전화영어도 해보았지만 이렇게 신박한 영어앱은 처음입니다.. 시간에 치이고 장소에 치였던 과거는 ㅜㅜ 무엇보다 24시간 언제든 내가 원하는시간에 무한대로 하고싶은만큼 원어민을 만날 수 있어서 대박입니다!!!! 강사는 내맘대로 비교도 하면서 초이스할 수 있어요! 혁명입니다.. 꼭 써보세요ㅜㅜ,no_specific_comment,answer
조미호,5,2019년 7월 6일,no_answer,"중국에 어학연수 가기 전에 튜터링으로 공부하고 가려고 수강권 결제했습니다. 튜터가 정말 친절하게 잘 가르쳐주시고, 발음도 하나하나 다 잡아주셔서 굳이 어학연수가 필요없을 것 같다는 생각도 드네요. 연수 다녀와서도 이걸로 꾸준히 공부해야겠습니다.",no_specific_comment,no_answer
레이첼,5,2019년 7월 26일,no_answer,안녕하세요 튜터링을 거의 3년째 이용하고있는 회원입니다. 영어회화를 위해 이 앱을 이용하게 되었는데 정말 좋아요. 튜터분들도 다 친절하시구...근데 불편한점은 요즘 튜터링 수업을 할때 계속 앱을 재시작한다고...뜨네요 한두번도 아니고 거의 수업하려고할때마다 뜨니까;;예약할때도 이것때문에 계속 늦어서 튜터분께 죄송하고 저도 불편하네요...와이파이도 분명 잘되는데.. 이런 문제점같은것만 빼면 진짜 좋은 앱 같아요. 사전도 바로 찾을수있구 좋습니다!!,no_specific_comment,no_answer
hyesun KIM,1,2019년 9월 4일,no_answer,앱이 실행이 안되는데요???????? 수강권 어ㅉㅓ죠?????,no_specific_comment,no_answer
최강민,5,2019년 9월 4일,no_answer,영어 초보에게도 고수에게도 추천하는 앱입니다. 친절하시고 활발하신 선생님들과 1:1으로 토픽을 정해 수업하다보면 제 영어 실력도 점점 늘어나는 것 같습니다! 튜터링 파이팅입니다! 👍✌👐❤,no_specific_comment,no_answer
인간성우,1,2019년 9월 4일,no_answer,수강권 넘 비쌈...,no_specific_comment,no_answer
오늘은귤이좋겠어,5,2019년 9월 4일,no_answer,맨날 묵언수행으로 영어를 해서 그런지 아는 만큼 영어를 말로 할 수 없었는데 튜터링을 시작하고 단 이틀만에 제 보완점을 찾았고 훨씬 발전했어요! 또 24시간 중 제가 원하는 시간에 수업을 들을 수 있다는 점이 저같이 정해진 시간에 수업하는 걸 귀찮아 하는 사람한테 너무 좋은 것 같아요ㅠㅜㅠ영어 항상 재미없이 배웠는데 1대1로 대화하면서 배우니 흥미도 생기고 제가 하는 말이 맞는지 틀렸는지 교정도 받을 수 있고 정말 저에겐 완벽한 영어어플이네요! 꾸준히 하면 진짜 영어를 한국어만큼 자연스럽게 얘기할 수 있을 것 같아요ㅎㅎ아 포인트 제...전체 리뷰,맨날 묵언수행으로 영어를 해서 그런지 아는 만큼 영어를 말로 할 수 없었는데 튜터링을 시작하고 단 이틀만에 제 보완점을 찾았고 훨씬 발전했어요! 또 24시간 중 제가 원하는 시간에 수업을 들을 수 있다는 점이 저같이 정해진 시간에 수업하는 걸 귀찮아 하는 사람한테 너무 좋은 것 같아요ㅠㅜㅠ영어 항상 재미없이 배웠는데 1대1로 대화하면서 배우니 흥미도 생기고 제가 하는 말이 맞는지 틀렸는지 교정도 받을 수 있고 정말 저에겐 완벽한 영어어플이네요! 꾸준히 하면 진짜 영어를 한국어만큼 자연스럽게 얘기할 수 있을 것 같아요ㅎㅎ아 포인트 제도가 생각보다 빵빵해서 수업을 지속하면 보여지는 가격보다 사실상 더 싼 가격으로 수업할 수 있다는 것도 좋네욯ㅎㅎㅎ,no_answer
kim hong seok,5,2019년 9월 4일,no_answer,앱 실행☞나의 코스☞괴목 선택 후에 선택 가능 한 튜터 분들 표시 리스트에서 튜터 평점도 같이 표시 될수 있도록 부탁드립니다. 매번 리스트에 선택 가능 한 튜터분 평점을 보기 위해서 별도록 해당 튜터 검색해서 평점 보고 있습니다. 혹시 리스트 회면에서 확인 가능한 방법이 있으면 공유 해주세요~,no_specific_comment,no_answer
구지영,2,2019년 9월 4일,no_answer,왜가입이안되죠 인증번호에서 계속막히네요 어떻게좀 도와주세요,no_specific_comment,no_answer
