user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
한귤이નયૃગ,5,2019년 8월 5일,2019년 8월 6일,"진짜 제 최애 쇼핑앱이에요. 옷의 사이즈도 아주 자세히 나와있고,무엇보다 가격대와 색상,카테고리,옵션 등을 설정할 수 있어서 원하는 제품을 잘 찾을 수 있어요.전 이제 브랜드 없는 옷은 다 여기서 살 겁니다.지그재그 강추!!",no_specific_comment,answer
이예은,5,2019년 8월 3일,2019년 8월 5일,쇼핑몰별 세일 정보 시즌오프 기간 등 알려주는 코너가 있었음 좋겠어요 ㅜㅜ 대부분 쇼핑몰에서 문자나 안내를 받을 수 있는게 아니라서 모르고 넘어가는데 지그재그가 일괄로 이 쇼핑몰이 시즌오프 세일 기간이다 라고 알려주면 좋을 것 같아요,no_specific_comment,answer
이도희,3,2019년 8월 6일,no_answer,좋습니다! 그런데 유투브 광고 걸린거 다시보기 못하나요? 거기서 사고싶은 옷을 발견했는데 광고 다시보기는 안보이더라구요ㅜㅠ 체크원피스 였는데 답 부탁드려요!,no_specific_comment,no_answer
Daseul Choi,1,2019년 8월 4일,2019년 8월 5일,"스크롤이 왜 잘 안올라가죠 정말 보는데 화나네요. 쇼핑몰을 보는데 자동으로 스크롤이 내려가는 기능이 있듯이 확확 내려가고, 위에 사진 다시 보려고 올리면 렉걸리듯이 잘 안올라가네요. 일부 쇼핑몰만 그런건가요? 상품을 비교하는게 이앱의 매력인데 그런걸 할수가없어요",no_specific_comment,answer
_우에퐁,4,2019년 8월 7일,no_answer,"잘 쓰고 있으니까 다음 업데이트에는 부디 찜한 상품을 추가한 순, 낮은 가격 순, 높은 가격 순으로 볼 수 있는 것도 추가해주세요 추가 되면 별 다섯 개 달러 다시 올게요 그럼 이만",no_specific_comment,no_answer
영김채,1,2019년 8월 7일,no_answer,광고좀작작,no_specific_comment,no_answer
Google 사용자,5,2019년 8월 6일,2018년 7월 12일,쇼핑이 수월해졌어요. 그런데 사진 꾹 눌러서 비슷한 옷 찾는 건 어떻게 하는 건가요?,no_specific_comment,answer
J.W S,4,2019년 8월 6일,no_answer,very good!,no_specific_comment,no_answer
이도희,3,2019년 8월 6일,no_answer,좋습니다! 그런데 유투브 광고 걸린거 다시보기 못하나요? 거기서 사고싶은 옷을 발견했는데 광고 다시보기는 안보이더라구요ㅜㅠ 체크원피스 였는데 답 부탁드려요!,no_specific_comment,no_answer
Hes Y,4,2019년 8월 6일,no_answer,편함,no_specific_comment,no_answer
나야나힛쥬.,4,2019년 8월 6일,no_answer,초등학생 고학년이 입을 옷은 안나와 있어서 조금 아쉽네요,no_specific_comment,no_answer
Sungjun Lim,5,2019년 8월 6일,no_answer,정말 랙없이👌(느려짐)옷보기가 아쥬👍조습니댜!,no_specific_comment,no_answer
Marry,3,2019년 8월 6일,no_answer,좋은 옷들은 많이 찾는데 가게가 모두 달라서 한번에 사기가 힘들어요.,no_specific_comment,no_answer
థ수영 [ ARMY ],1,2019년 8월 6일,no_answer,삭제했다 다시깔면 최근 봤던게 안보이니 좀 짜증나고 배송현황도 안보여서 짜증나요,no_specific_comment,no_answer
top k,5,2019년 8월 5일,2019년 8월 6일,좋아요,no_specific_comment,answer
윤슬,5,2019년 8월 5일,2019년 8월 6일,엄... 일단 진짜 좋구요.. 세일 기간에 알람 왔으면 좋을것 같아요 자신이 좋아하는 매장에. ㅎㅎ,no_specific_comment,answer
꽃만난여름,2,2019년 8월 5일,2019년 8월 6일,품질이....,no_specific_comment,answer
한귤이નયૃગ,5,2019년 8월 5일,2019년 8월 6일,"진짜 제 최애 쇼핑앱이에요. 옷의 사이즈도 아주 자세히 나와있고,무엇보다 가격대와 색상,카테고리,옵션 등을 설정할 수 있어서 원하는 제품을 잘 찾을 수 있어요.전 이제 브랜드 없는 옷은 다 여기서 살 겁니다.지그재그 강추!!",no_specific_comment,answer
수민06,5,2019년 8월 5일,2019년 8월 5일,굳이 쇼핑몰들 한개씩 어플 깔아서 하는것보다 훨씬 편하고 찾기 쉬워서 좋아요 !,no_specific_comment,answer
힣헬로우,5,2019년 8월 5일,2019년 8월 6일,옷 고르거나 스타일 고를때 도움이 되서 좋아요,no_specific_comment,answer
Google 사용자,4,2019년 8월 4일,2019년 8월 6일,잘 이용중,no_specific_comment,answer
황지현,5,2019년 8월 4일,2019년 8월 6일,정말좋아요,no_specific_comment,answer
쿠미하,4,2019년 8월 4일,2019년 8월 6일,되게 유용해요!!,no_specific_comment,answer
돌떡이,5,2019년 8월 4일,2019년 8월 6일,다른 친구들에 비해서 옷을 진짜 못 입었는데 예전보다 훨씬 나아지게 해준 앱입니다ㅠㅠ 진짜 유용하니 강추드려요!!!,no_specific_comment,answer
Picasso Pablo Ruiz,1,2019년 8월 4일,2019년 8월 5일,아니 이거 원래 폰 1개에 계정 하면 오류납니까? 폰 2개로 해야 할 일이 있어서 했더니 찜 목록 다 사라졌네요;;; 지금 기억도 안나서 개빡치거든요? 하....진짜 기분 좋아지려다가 망쳤네요;;;;;;,no_specific_comment,answer
하량,4,2019년 8월 4일,2019년 8월 6일,일단 내 상품에 내 마음대로 카테고리를 정해서 보관해둘 수 있다는게 너무 좋아요. 그리고 일단 옷도 많이 있고 같이 코디된 상품들도 제시된다는게 좋은것 같아요,no_specific_comment,answer
이승현,2,2019년 8월 4일,2019년 8월 6일,다 좋은데 이 어플쓰다 보면 렉걸려요 뒤로가기도 안되고 홈버튼도 안눌리네요 터치도 안되고..,no_specific_comment,answer
이지영,4,2019년 8월 4일,2019년 8월 6일,다양한 쇼핑사이트들이 모여있어서 편리하지만 키 몇부터 몇까지 입을수있는지도 알려주실수있나요? 잘 모르겠어서ㅠㅠ,no_specific_comment,answer
노갑일,4,2019년 8월 4일,2019년 8월 5일,미 ㆍ,no_specific_comment,answer
Daseul Choi,1,2019년 8월 4일,2019년 8월 5일,"스크롤이 왜 잘 안올라가죠 정말 보는데 화나네요. 쇼핑몰을 보는데 자동으로 스크롤이 내려가는 기능이 있듯이 확확 내려가고, 위에 사진 다시 보려고 올리면 렉걸리듯이 잘 안올라가네요. 일부 쇼핑몰만 그런건가요? 상품을 비교하는게 이앱의 매력인데 그런걸 할수가없어요",no_specific_comment,answer
박박순희,5,2019년 8월 4일,2019년 8월 5일,광고좀 작작 해요 근데 앱은 또 괜찮네,no_specific_comment,answer
김희정,4,2019년 8월 3일,2019년 8월 5일,모든 쇼핑몰들을 한꺼번에 볼 수 있는 점은 너무 좋지만 다른 쇼핑몰들을 추가해달라고 했는데 그렇지 않는것은 아쉬운 것 같아요.,no_specific_comment,answer
강민혜,2,2019년 8월 3일,2019년 8월 5일,"이쁜거두 많고 택배 한번에 보이는건 좋은데 가끔 렉이 너무 많이 걸리네요,,,,ㅎ^",no_specific_comment,answer
윤지영,5,2019년 8월 3일,2019년 8월 5일,쇼핑몰이 많아서 좋음ㅋㅋ,no_specific_comment,answer
이현주,4,2019년 8월 3일,2019년 8월 5일,"평점 남기래서 왔어요...거절하는데 아니, 귀찮아라고 해두면 어떡해요... 일단 아직까지는 좋은거 같아요 딱히 문제점도 없고",no_specific_comment,answer
김선영,1,2019년 8월 3일,2019년 8월 5일,"배송도 너무 늦고,입금을 했는데도 발송은 커녕 몇일있다가 품절됐다고 문자오고...소비자를 희롱하는것도 아니고 완전 왕 짜증.",no_specific_comment,answer
은수,5,2019년 8월 3일,2019년 8월 5일,완전좋아요ㅠㅠ!!😭😍 쇼핑몰 모아있는거도 좋고 쇼핑몰회원가입할때 편리하게 할수 있도록 만들어주신거 완전 좋아요ㅠㅠ 옷고르고 옷구경?할때 진짜편리하구 조아용 자주 애용할게용 ㅠㅠ!!😍❤❤❤,no_specific_comment,answer
이예은,5,2019년 8월 3일,2019년 8월 5일,쇼핑몰별 세일 정보 시즌오프 기간 등 알려주는 코너가 있었음 좋겠어요 ㅜㅜ 대부분 쇼핑몰에서 문자나 안내를 받을 수 있는게 아니라서 모르고 넘어가는데 지그재그가 일괄로 이 쇼핑몰이 시즌오프 세일 기간이다 라고 알려주면 좋을 것 같아요,no_specific_comment,answer
배수정,5,2019년 8월 2일,2019년 8월 5일,편하고 좋아요,no_specific_comment,answer
chae yeon,5,2019년 8월 2일,2019년 8월 5일,다양한 옷들을 한 눈에 볼 수 있어서 너무 좋은 것 같아요!!,no_specific_comment,answer
박아미,5,2019년 8월 2일,2019년 8월 5일,왕..징짜 입허요ㅠ👍👍❤,no_specific_comment,answer
이시온,5,2019년 8월 2일,2019년 8월 5일,"쇼핑몰도 다양하게 볼 수 있고, 옷도 검색해서 원하는 옷을 쉽게 찾을 수 있어요 진짜 편하고 좋아요ㅎㅎ",no_specific_comment,answer
새벽하늘,5,2019년 8월 2일,2019년 8월 5일,아니진짜ㅜㅜ너무인생앱ㅜㅜ,no_specific_comment,answer
Muzi무지,5,2019년 8월 2일,2019년 8월 5일,쇼핑몰이 다 모여있어서 너무 편해요!! 이거 하나만 깔면 쇼핑몰이 거의 다 나와요~!!,no_specific_comment,answer
Google 사용자,5,2019년 8월 2일,2019년 8월 5일,완죤좋음 최고!ㅎㅎ,no_specific_comment,answer
에베ᅦᄇ,5,2019년 8월 2일,2019년 8월 5일,너무 좋아여!♥ 잘 쓰고 있습니다💕,no_specific_comment,answer
빠네노,3,2019년 8월 2일,2019년 8월 5일,진짜 너무 좋은데 각각 다른 쇼핑몰의 상품들 한번에 결제 하는거 있었으면 좋겠어요 그것만 있으면 별 5개 진짜 완벽할 거 같아요,no_specific_comment,answer
빗애,5,2019년 8월 2일,2019년 8월 5일,원하는 옷을 쉽고 빠르게 찾을 수 있어서 좋았어요,no_specific_comment,answer
배영주,5,2019년 8월 1일,2019년 8월 5일,이게 젤 편해요 저는,no_specific_comment,answer
메타몽젤리,5,2019년 8월 1일,2019년 8월 1일,다양한 스타일의 쇼핑몰들을 한 앱에서 모두 구경할수 있어서 좋고 편리해요~,no_specific_comment,answer
{딸기맛 우유}{딸기맛 우유,3,2019년 8월 1일,2019년 8월 1일,너무 좋와요ㅠㅠ 예쁜옷을 살수있어서 좋와욤👏,no_specific_comment,answer
김예선,4,2019년 8월 1일,2019년 8월 1일,렉 걸릴때가 종종 있지만... 그래도 지그재그로 편하게 쇼핑할 수 있어서 좋아요! 특히 장바구니에 저장한 상품 말고 찜해놓은것들도 확인할 수 있어서 편해요!,no_specific_comment,answer
배지원,4,2019년 8월 1일,2019년 8월 1일,쇼퍼백담기 버튼이 안뜨는데 어떻게 쇼퍼백 장바구니에 추가하죠??,no_specific_comment,answer
긍근지,1,2019년 8월 1일,2019년 8월 1일,업데이트하고 나서 쇼핑몰에 연결이 안되네요,no_specific_comment,answer
김연지,5,2019년 8월 1일,2019년 8월 1일,괜찮음.,no_specific_comment,answer
박서영,4,2019년 7월 31일,2019년 8월 1일,좋은데 쇼퍼백 어떻게이용하는지 설명을 읽어도 이해가 안돼요 ㅜㅜㅠㅠㅠㅠ,no_specific_comment,answer
솜탕마법사,5,2019년 7월 31일,2019년 8월 1일,진짜 너무편하고 짱이에요,no_specific_comment,answer
bebe Kim,1,2019년 7월 31일,2019년 8월 1일,다운 안받아지는디요?,no_specific_comment,answer
두두,5,2019년 7월 31일,2019년 7월 31일,솔직히 이 지그재그 자식이 제일 쓰기 편하긴 함 하지만 전 상품 무료 배송이 아니라는 게 가슴 아파//// ㅋㅋㅋㅋ리뷰 답글 누가 다나요...아 웃겨 죽겠네 ㅜㅠ 지그재그 짱,no_specific_comment,answer
뚠뚠,4,2019년 7월 31일,2019년 7월 31일,궁금한게 있는데요. 제가 이제 옷을 구매하려는데 쇼핑몰마다 다 따로 구매해서 택배비까지 다 따로 내야하나요? 아님 지그재그에서 한번에 주문해서 한번에 오나요? 꼭 답장 부탁드려요!,no_specific_comment,answer
정윤정,5,2019년 7월 31일,2019년 8월 1일,너무 맘에 듬,no_specific_comment,answer
크리스찬디오르,4,2019년 7월 31일,2019년 8월 1일,한눈에 쇼핑할수 있어서 최고ㅋ,no_specific_comment,answer
LUNA ROH,4,2019년 7월 30일,no_answer,뷰티같은 거 넣었음 좋겠어요! 나머지는 다 괜찮고요!,no_specific_comment,no_answer
정연진,5,2019년 7월 30일,2019년 8월 1일,짱 조아요,no_specific_comment,answer
수은하,5,2019년 7월 30일,2019년 7월 31일,재밌네요^^,no_specific_comment,answer
