user_name,user_app_rating,user_review_date,company_comment_date,comment,company_answer_check
swkj,5,2019년 12월 6일,no_answer,취업이나 이직 준비할때 정말 유용하고 좋아요~~ 정말 최고 중에 최고!! 하나 추가해 주셨으면 하는 기능은 예전에 평점순으로 기업 볼수 있는 기능이 있었는데 지금은 없어진 거 같습니다~ 그 기능 다시 살려주셨으면 좋겠습니다~~,no_answer
김석현,2,2019년 12월 19일,no_answer,"다 좋은데, 정규직과 계약직의 리뷰를 좀 분리해주실 수 없을까요? 분명히 처우가 많이 달라서 느끼는 게 다를 텐데 통으로 묶어서 보여주는 이유를 잘 모르겠어요.",no_answer
마시멜로ふわふわ,2,2019년 12월 17일,no_answer,제가 이 앱을 처음 사용하는 거라서 회원가입을 할려고 했는데 년도가 2000년생 까지만 나와있던데 2001년생은 가입이 안된다는 건가요??,no_answer
이나경,1,2019년 11월 20일,2019년 12월 9일,왜 계속 서버오류라면서 사용할 수 없다고 뜨는걸까요? 검색도 못하고 오류가 생겨요. 그리고 검색창에 이전에 썼던 검색어를 지울 수 있는 엑스 아이콘이 있을때도 있고 그냥 돋보기아이콘이 있을때도 있고..통일이 필요해보여요.,answer
JH Cha,4,2019년 12월 27일,no_answer,다소 주관적이긴해도 경험자들의 소중한 의견과 정보를 얻을수 있어서 좋아요 이직 판단이 쉽지 않을때 참고하면 어느정도 지표가 되준다고 생각합니다,no_answer
강지현,5,2019년 12월 26일,no_answer,좋아요 딱이에요,no_answer
강지원,5,2019년 12월 24일,no_answer,구직자들에게 희망과도 같은 앱,no_answer
칭구빠이,4,2019년 12월 23일,no_answer,이직 준비 중일때 도움이 많이 됨,no_answer
Hye-Min Kim,4,2019년 12월 23일,no_answer,괜찮음 다른데 리뷰도 보고 좋음,no_answer
이정환,5,2019년 12월 22일,no_answer,정보 많이 알아 갑니다.,no_answer
김민호,1,2019년 12월 19일,no_answer,그냥 후기 아님 돈이네 칵퉤 그냥 망해라,no_answer
김종진,5,2019년 12월 19일,no_answer,굿 펙트로조짐,no_answer
김석현,2,2019년 12월 19일,no_answer,"다 좋은데, 정규직과 계약직의 리뷰를 좀 분리해주실 수 없을까요? 분명히 처우가 많이 달라서 느끼는 게 다를 텐데 통으로 묶어서 보여주는 이유를 잘 모르겠어요.",no_answer
Nam-il Heo,2,2019년 12월 19일,no_answer,생생한 경험담은 때론 하향치들의 설렘의 장이 되기도 한다.,no_answer
강현명,3,2019년 12월 17일,no_answer,"왜 빈번하게 일시적 접속오류라 뜨면서 앱 실행이 안 되는 겁니까? 멤버십 가격은 계속 올리고, 기본 혜택은 계속 축소하고, 앱 안정성은 엉망이고, 상당히 실망스럽네요.",no_answer
마시멜로ふわふわ,2,2019년 12월 17일,no_answer,제가 이 앱을 처음 사용하는 거라서 회원가입을 할려고 했는데 년도가 2000년생 까지만 나와있던데 2001년생은 가입이 안된다는 건가요??,no_answer
Woo Gostaux,5,2019년 12월 16일,no_answer,확실히 양질의 서비스를 제공합니다,no_answer
장진우,1,2019년 12월 15일,no_answer,"기업리뷰 1페이지에는 5점으로 도배된 리뷰로 고정시켜주는 걸 당당히 밝혀주세요.. 사용자 기만이자 사기, 허위광고입니다.",no_answer
디스,3,2019년 12월 14일,no_answer,왜 출생연도에 2001년생이 없어요?? 빠른년생이라 공고졸업하고 군대대신 사업체로 알아보고있는데,no_answer
래리윌리엄스,5,2019년 12월 14일,no_answer,후기 읽다보면 시간 가는줄 모름,no_answer
Vanechka Park,5,2019년 12월 14일,no_answer,좋아요,no_answer
Train Btc,4,2019년 12월 13일,no_answer,나름대로 생생한 전현직자의 칭찬과 날선 비난 모두 들을수 있는 앱,no_answer
